Year,Month,State,Species,Metric Tons,Pounds
1990,Jan,Alabama,AMBERJACK,0.1,251
2001,Jan,Alabama,AMBERJACK,0.1,211
2004,Jan,Alabama,AMBERJACK,0.1,296
2002,Jan,Alabama,"AMBERJACK, GREATER",0.1,203
2010,Jan,Alabama,"AMBERJACK, GREATER",3,"6,548"
2002,Jan,Alabama,"AMBERJACK, LESSER",0.3,681
1990,Jan,Florida West Coast,AMBERJACK,86.9,"191,652"
1991,Jan,Florida West Coast,AMBERJACK,24.6,"54,213"
1993,Jan,Florida West Coast,AMBERJACK,2.4,"5,289"
1994,Jan,Florida West Coast,AMBERJACK,0.6,"1,358"
1995,Jan,Florida West Coast,AMBERJACK,20.5,"45,163"
1996,Jan,Florida West Coast,AMBERJACK,11.1,"24,469"
1997,Jan,Florida West Coast,AMBERJACK,1.1,"2,371"
1992,Jan,Florida West Coast,"AMBERJACK, GREATER",33.9,"74,835"
1993,Jan,Florida West Coast,"AMBERJACK, GREATER",67,"147,702"
1994,Jan,Florida West Coast,"AMBERJACK, GREATER",25.3,"55,873"
1995,Jan,Florida West Coast,"AMBERJACK, GREATER",44.1,"97,179"
1996,Jan,Florida West Coast,"AMBERJACK, GREATER",29.8,"65,797"
1997,Jan,Florida West Coast,"AMBERJACK, GREATER",36.8,"81,095"
1998,Jan,Florida West Coast,"AMBERJACK, GREATER",35.7,"78,594"
1999,Jan,Florida West Coast,"AMBERJACK, GREATER",32.6,"71,875"
2000,Jan,Florida West Coast,"AMBERJACK, GREATER",24.1,"53,175"
2001,Jan,Florida West Coast,"AMBERJACK, GREATER",25.1,"55,357"
2002,Jan,Florida West Coast,"AMBERJACK, GREATER",23.5,"51,902"
2003,Jan,Florida West Coast,"AMBERJACK, GREATER",32.4,"71,520"
2004,Jan,Florida West Coast,"AMBERJACK, GREATER",52.4,"115,464"
2005,Jan,Florida West Coast,"AMBERJACK, GREATER",44.2,"97,526"
2006,Jan,Florida West Coast,"AMBERJACK, GREATER",25.9,"57,043"
2007,Jan,Florida West Coast,"AMBERJACK, GREATER",18.1,"39,899"
2008,Jan,Florida West Coast,"AMBERJACK, GREATER",18.9,"41,762"
2009,Jan,Florida West Coast,"AMBERJACK, GREATER",31.3,"69,046"
2010,Jan,Florida West Coast,"AMBERJACK, GREATER",30.2,"66,616"
2011,Jan,Florida West Coast,"AMBERJACK, GREATER",27.8,"61,390"
2012,Jan,Florida West Coast,"AMBERJACK, GREATER",46.5,"102,410"
2013,Jan,Florida West Coast,"AMBERJACK, GREATER",41,"90,369"
2014,Jan,Florida West Coast,"AMBERJACK, GREATER",22.9,"50,457"
2015,Jan,Florida West Coast,"AMBERJACK, GREATER",40.4,"89,119"
2016,Jan,Florida West Coast,"AMBERJACK, GREATER",21.1,"46,529"
1992,Jan,Florida West Coast,"AMBERJACK, LESSER",2.5,"5,445"
