Year,Month,State,Species,Metric Tons,Pounds,$
2001,Jan,Florida West Coast,BARRACUDAS,1.2,"2,673",762
2002,Jan,Florida West Coast,BARRACUDAS,0.1,201,77
2003,Jan,Florida West Coast,BARRACUDAS,0.3,676,318
2004,Jan,Florida West Coast,BARRACUDAS,0.4,959,646
2005,Jan,Florida West Coast,BARRACUDAS,0.9,"1,933","1,624"
2006,Jan,Florida West Coast,BARRACUDAS,0.1,243,158
2007,Jan,Florida West Coast,BARRACUDAS,0.2,335,153
2009,Jan,Florida West Coast,BARRACUDAS,0.3,553,546
2010,Jan,Florida West Coast,BARRACUDAS,0.7,"1,565","1,240"
2011,Jan,Florida West Coast,BARRACUDAS,0.2,389,351
2013,Jan,Florida West Coast,BARRACUDAS,2.3,"4,980","5,259"
2014,Jan,Florida West Coast,BARRACUDAS,0.9,"1,988","2,572"
2015,Jan,Florida West Coast,BARRACUDAS,1.4,"3,028","3,751"
2016,Jan,Florida West Coast,BARRACUDAS,0.6,"1,299","1,284"
2002,Jan,Louisiana,BARRACUDAS,0,8,6
1999,Feb,Florida West Coast,BARRACUDAS,0.4,917,323
2002,Feb,Florida West Coast,BARRACUDAS,0.1,277,109
2003,Feb,Florida West Coast,BARRACUDAS,0.4,989,461
2004,Feb,Florida West Coast,BARRACUDAS,0.4,904,707
2005,Feb,Florida West Coast,BARRACUDAS,1.1,"2,517","1,925"
2006,Feb,Florida West Coast,BARRACUDAS,0.2,342,210
2007,Feb,Florida West Coast,BARRACUDAS,0.4,841,623
2008,Feb,Florida West Coast,BARRACUDAS,0.3,711,384
2009,Feb,Florida West Coast,BARRACUDAS,0.1,138,103
2010,Feb,Florida West Coast,BARRACUDAS,0.4,835,630
2011,Feb,Florida West Coast,BARRACUDAS,0.8,"1,855","1,435"
2012,Feb,Florida West Coast,BARRACUDAS,1.8,"3,927","3,271"
2013,Feb,Florida West Coast,BARRACUDAS,1.6,"3,501","2,822"
2014,Feb,Florida West Coast,BARRACUDAS,2,"4,469","6,065"
2015,Feb,Florida West Coast,BARRACUDAS,1.2,"2,611","3,542"
2016,Feb,Florida West Coast,BARRACUDAS,0.2,440,472
2002,Feb,Louisiana,BARRACUDAS,0,10,5
2002,Feb,Mississippi,BARRACUDAS,0,52,16
1997,Mar,Florida West Coast,BARRACUDAS,0.1,175,89
1999,Mar,Florida West Coast,BARRACUDAS,0.4,938,"1,408"
2001,Mar,Florida West Coast,BARRACUDAS,0.3,732,583
2002,Mar,Florida West Coast,BARRACUDAS,0.9,"1,986",957
2003,Mar,Florida West Coast,BARRACUDAS,0.7,"1,505",673
2005,Mar,Florida West Coast,BARRACUDAS,1.2,"2,748","2,251"
2006,Mar,Florida West Coast,BARRACUDAS,0.2,333,170
2007,Mar,Florida West Coast,BARRACUDAS,0.2,384,332
2009,Mar,Florida West Coast,BARRACUDAS,0.2,365,273
2010,Mar,Florida West Coast,BARRACUDAS,0.5,"1,087",886
2012,Mar,Florida West Coast,BARRACUDAS,1.6,"3,578","3,096"
2013,Mar,Florida West Coast,BARRACUDAS,1.2,"2,642","2,515"
2014,Mar,Florida West Coast,BARRACUDAS,1.7,"3,682","4,118"
2015,Mar,Florida West Coast,BARRACUDAS,2.9,"6,339","8,773"
2016,Mar,Florida West Coast,BARRACUDAS,0.8,"1,696","1,690"
1997,Apr,Florida West Coast,BARRACUDAS,0.4,980,724
2002,Apr,Florida West Coast,BARRACUDAS,0.9,"1,962",800
2003,Apr,Florida West Coast,BARRACUDAS,0.5,"1,124",583
2004,Apr,Florida West Coast,BARRACUDAS,0.2,333,215
2005,Apr,Florida West Coast,BARRACUDAS,0.6,"1,343","1,073"
2006,Apr,Florida West Coast,BARRACUDAS,0.1,252,157
2007,Apr,Florida West Coast,BARRACUDAS,0.3,586,490
2009,Apr,Florida West Coast,BARRACUDAS,0.1,244,191
2010,Apr,Florida West Coast,BARRACUDAS,0.4,774,606
2012,Apr,Florida West Coast,BARRACUDAS,1.3,"2,876","2,463"
2013,Apr,Florida West Coast,BARRACUDAS,1.5,"3,333","3,549"
2014,Apr,Florida West Coast,BARRACUDAS,0.9,"1,985","2,905"
2015,Apr,Florida West Coast,BARRACUDAS,2.6,"5,710","8,188"
2016,Apr,Florida West Coast,BARRACUDAS,1,"2,138","3,541"
2002,Apr,Louisiana,BARRACUDAS,0,40,20
1991,May,Florida West Coast,BARRACUDAS,0.1,323,165
1992,May,Florida West Coast,BARRACUDAS,0,22,12
1993,May,Florida West Coast,BARRACUDAS,0.2,389,197
1994,May,Florida West Coast,BARRACUDAS,0.2,465,136
1996,May,Florida West Coast,BARRACUDAS,0.1,135,70
1997,May,Florida West Coast,BARRACUDAS,0.3,623,203
1998,May,Florida West Coast,BARRACUDAS,0,42,27
1999,May,Florida West Coast,BARRACUDAS,1,"2,141","1,366"
2000,May,Florida West Coast,BARRACUDAS,0.8,"1,654",585
2002,May,Florida West Coast,BARRACUDAS,0.2,343,174
2003,May,Florida West Coast,BARRACUDAS,0.2,430,205
2004,May,Florida West Coast,BARRACUDAS,0.1,243,155
2005,May,Florida West Coast,BARRACUDAS,0.9,"2,074","1,621"
2006,May,Florida West Coast,BARRACUDAS,0.3,555,358
2007,May,Florida West Coast,BARRACUDAS,0.2,387,182
2008,May,Florida West Coast,BARRACUDAS,0.2,518,334
2009,May,Florida West Coast,BARRACUDAS,0.7,"1,607","1,537"
2010,May,Florida West Coast,BARRACUDAS,0.5,"1,185",902
2011,May,Florida West Coast,BARRACUDAS,0.3,563,443
2012,May,Florida West Coast,BARRACUDAS,1.6,"3,462","2,960"
2013,May,Florida West Coast,BARRACUDAS,0.7,"1,537","1,600"
2014,May,Florida West Coast,BARRACUDAS,1.1,"2,336","2,979"
2015,May,Florida West Coast,BARRACUDAS,2.6,"5,823","8,155"
2016,May,Florida West Coast,BARRACUDAS,0.8,"1,752","2,326"
2002,May,Louisiana,BARRACUDAS,0,12,9
2013,May,Texas,BARRACUDAS,0.2,383,482
1993,Jun,Florida West Coast,BARRACUDAS,0.3,587,326
1994,Jun,Florida West Coast,BARRACUDAS,0.2,410,176
1996,Jun,Florida West Coast,BARRACUDAS,0.1,311,205
2000,Jun,Florida West Coast,BARRACUDAS,0.1,260,179
2001,Jun,Florida West Coast,BARRACUDAS,0.3,583,858
2002,Jun,Florida West Coast,BARRACUDAS,0.6,"1,421",585
2003,Jun,Florida West Coast,BARRACUDAS,0.2,338,184
2004,Jun,Florida West Coast,BARRACUDAS,0.2,447,213
2005,Jun,Florida West Coast,BARRACUDAS,1.2,"2,569","2,141"
2006,Jun,Florida West Coast,BARRACUDAS,0.4,789,579
2007,Jun,Florida West Coast,BARRACUDAS,0.2,342,333
2008,Jun,Florida West Coast,BARRACUDAS,0.2,434,247
2009,Jun,Florida West Coast,BARRACUDAS,0.8,"1,665","1,353"
2010,Jun,Florida West Coast,BARRACUDAS,0.6,"1,393",983
2011,Jun,Florida West Coast,BARRACUDAS,0.6,"1,303","1,069"
2012,Jun,Florida West Coast,BARRACUDAS,0.7,"1,510","1,288"
2013,Jun,Florida West Coast,BARRACUDAS,2.2,"4,950","6,105"
2014,Jun,Florida West Coast,BARRACUDAS,3.8,"8,305","12,298"
2015,Jun,Florida West Coast,BARRACUDAS,1.5,"3,363","4,543"
2016,Jun,Florida West Coast,BARRACUDAS,0.7,"1,443","1,769"
2002,Jun,Louisiana,BARRACUDAS,0,53,38
2004,Jun,Louisiana,BARRACUDAS,0.2,490,174
2002,Jun,Texas,BARRACUDAS,0.2,526,310
2007,Jun,Texas,BARRACUDAS,1.1,"2,475","1,476"
2013,Jun,Texas,BARRACUDAS,0.2,501,643
