Year,Month,State,Species,Metric Tons,Pounds,$
2000,Jan,Louisiana,"BASS, LONGTAIL",0,19,19
2002,Jan,Louisiana,"BASS, LONGTAIL",0,28,27
2004,Jan,Louisiana,"BASS, LONGTAIL",0,60,58
2002,Feb,Louisiana,"BASS, LONGTAIL",0,8,8
2004,Feb,Louisiana,"BASS, LONGTAIL",0.1,114,118
1999,Mar,Louisiana,"BASS, LONGTAIL",0,31,33
2000,Mar,Louisiana,"BASS, LONGTAIL",0,89,85
2001,Mar,Louisiana,"BASS, LONGTAIL",0,26,26
2002,Mar,Louisiana,"BASS, LONGTAIL",0,5,5
2003,Mar,Louisiana,"BASS, LONGTAIL",0,60,58
2004,Mar,Louisiana,"BASS, LONGTAIL",0,81,79
2007,Mar,Louisiana,"BASS, LONGTAIL",0,76,74
1999,Apr,Louisiana,"BASS, LONGTAIL",0.1,124,144
2000,Apr,Louisiana,"BASS, LONGTAIL",0,53,54
2001,Apr,Louisiana,"BASS, LONGTAIL",0,57,56
2002,Apr,Louisiana,"BASS, LONGTAIL",0,42,36
2003,Apr,Louisiana,"BASS, LONGTAIL",0,87,84
1998,May,Louisiana,"BASS, LONGTAIL",0.1,171,186
1999,May,Louisiana,"BASS, LONGTAIL",0,104,87
2000,May,Louisiana,"BASS, LONGTAIL",0.1,114,115
2001,May,Louisiana,"BASS, LONGTAIL",0,82,80
2003,May,Louisiana,"BASS, LONGTAIL",0,86,83
2004,May,Louisiana,"BASS, LONGTAIL",0,68,66
2005,May,Louisiana,"BASS, LONGTAIL",0,67,64
2008,May,Louisiana,"BASS, LONGTAIL",0,39,39
2014,Jun,Florida West Coast,"BASS, LONGTAIL",0,25,42
1998,Jun,Louisiana,"BASS, LONGTAIL",0.1,217,245
1999,Jun,Louisiana,"BASS, LONGTAIL",0.1,206,205
2002,Jun,Louisiana,"BASS, LONGTAIL",0,14,14
2005,Jun,Louisiana,"BASS, LONGTAIL",0.1,275,265
1994,Jul,Louisiana,"BASS, LONGTAIL",0.2,334,364
1999,Jul,Louisiana,"BASS, LONGTAIL",0.1,132,132
2002,Jul,Louisiana,"BASS, LONGTAIL",0,46,44
2002,Aug,Florida West Coast,"BASS, LONGTAIL",0,8,16
2013,Aug,Florida West Coast,"BASS, LONGTAIL",0,19,22
1994,Aug,Louisiana,"BASS, LONGTAIL",0.1,233,259
1996,Aug,Louisiana,"BASS, LONGTAIL",0,41,44
1997,Aug,Louisiana,"BASS, LONGTAIL",0.1,142,142
1999,Aug,Louisiana,"BASS, LONGTAIL",0,105,106
2002,Aug,Louisiana,"BASS, LONGTAIL",0,109,107
2012,Sep,Florida West Coast,"BASS, LONGTAIL",0,65,116
2013,Sep,Florida West Coast,"BASS, LONGTAIL",0,20,38
1994,Sep,Louisiana,"BASS, LONGTAIL",0.1,191,194
1997,Sep,Louisiana,"BASS, LONGTAIL",0,94,94
1999,Sep,Louisiana,"BASS, LONGTAIL",0,87,96
2001,Sep,Louisiana,"BASS, LONGTAIL",0,54,52
2002,Sep,Louisiana,"BASS, LONGTAIL",0,45,43
2012,Oct,Florida West Coast,"BASS, LONGTAIL",0,39,77
2001,Oct,Louisiana,"BASS, LONGTAIL",0,45,44
2002,Oct,Louisiana,"BASS, LONGTAIL",0.1,140,134
1999,Nov,Louisiana,"BASS, LONGTAIL",0,108,108
2002,Nov,Louisiana,"BASS, LONGTAIL",0,61,59
1997,Dec,Louisiana,"BASS, LONGTAIL",0.1,148,84
1999,Dec,Louisiana,"BASS, LONGTAIL",0.1,226,226
2002,Dec,Louisiana,"BASS, LONGTAIL",0,16,16
2009,Dec,Louisiana,"BASS, LONGTAIL",0,35,36
2017,NSP,Florida West Coast,"BASS, LONGTAIL",0,47,59
2017,NSP,Louisiana,"BASS, LONGTAIL",0.1,160,196
