Year,Month,State,Species,Metric Tons,Pounds,$
1990,Jan,Alabama,"CRAB, BLUE",55.5,"122,411","74,469"
1991,Jan,Alabama,"CRAB, BLUE",75.9,"167,292","75,941"
1992,Jan,Alabama,"CRAB, BLUE",28.1,"61,978","34,235"
1993,Jan,Alabama,"CRAB, BLUE",29.4,"64,793","40,903"
1994,Jan,Alabama,"CRAB, BLUE",33,"72,787","55,845"
1995,Jan,Alabama,"CRAB, BLUE",27.6,"60,797","55,270"
1996,Jan,Alabama,"CRAB, BLUE",33.9,"74,739","64,167"
1997,Jan,Alabama,"CRAB, BLUE",48.4,"106,737","74,508"
1998,Jan,Alabama,"CRAB, BLUE",47.5,"104,736","78,140"
1999,Jan,Alabama,"CRAB, BLUE",58.6,"129,172","89,705"
2000,Jan,Alabama,"CRAB, BLUE",123.3,"271,744","209,135"
2001,Jan,Alabama,"CRAB, BLUE",15.9,"35,014","29,260"
2002,Jan,Alabama,"CRAB, BLUE",18.7,"41,295","37,466"
2003,Jan,Alabama,"CRAB, BLUE",35.4,"78,060","46,418"
2004,Jan,Alabama,"CRAB, BLUE",49.1,"108,214","87,790"
2005,Jan,Alabama,"CRAB, BLUE",21.7,"47,767","38,902"
2006,Jan,Alabama,"CRAB, BLUE",36.4,"80,184","47,408"
2007,Jan,Alabama,"CRAB, BLUE",50.6,"111,601","71,631"
2008,Jan,Alabama,"CRAB, BLUE",33.6,"74,175","62,814"
2009,Jan,Alabama,"CRAB, BLUE",46.1,"101,740","78,271"
2010,Jan,Alabama,"CRAB, BLUE",26.3,"58,090","54,986"
2011,Jan,Alabama,"CRAB, BLUE",26.6,"58,624","53,257"
2012,Jan,Alabama,"CRAB, BLUE",42.2,"93,134","90,326"
2013,Jan,Alabama,"CRAB, BLUE",26.6,"58,578","59,987"
2014,Jan,Alabama,"CRAB, BLUE",19.1,"42,092","50,542"
2015,Jan,Alabama,"CRAB, BLUE",26.7,"58,813","80,226"
2016,Jan,Alabama,"CRAB, BLUE",15,"33,059","37,403"
1990,Jan,Florida West Coast,"CRAB, BLUE",175.4,"386,642","177,492"
1991,Jan,Florida West Coast,"CRAB, BLUE",118,"260,051","147,311"
