Year,Month,State,Species,Metric Tons,Pounds,$
1990,Jan,Florida West Coast,"BONITO, ATLANTIC",1.1,"2,381",386
1991,Jan,Florida West Coast,"BONITO, ATLANTIC",0.1,311,35
1992,Jan,Florida West Coast,"BONITO, ATLANTIC",0.1,155,25
1993,Jan,Florida West Coast,"BONITO, ATLANTIC",0.6,"1,277",251
1994,Jan,Florida West Coast,"BONITO, ATLANTIC",2.2,"4,807",894
2001,Jan,Louisiana,"BONITO, ATLANTIC",3.2,"7,030","2,975"
1990,Feb,Florida West Coast,"BONITO, ATLANTIC",0.4,987,180
1991,Feb,Florida West Coast,"BONITO, ATLANTIC",1.3,"2,773",559
1992,Feb,Florida West Coast,"BONITO, ATLANTIC",2.5,"5,571","1,685"
1993,Feb,Florida West Coast,"BONITO, ATLANTIC",4,"8,809","1,221"
1994,Feb,Florida West Coast,"BONITO, ATLANTIC",0.1,117,25
1990,Mar,Florida West Coast,"BONITO, ATLANTIC",1.7,"3,708",483
1991,Mar,Florida West Coast,"BONITO, ATLANTIC",2.5,"5,439",500
1992,Mar,Florida West Coast,"BONITO, ATLANTIC",2.1,"4,701",694
1993,Mar,Florida West Coast,"BONITO, ATLANTIC",5.2,"11,475","2,230"
1994,Mar,Florida West Coast,"BONITO, ATLANTIC",0.4,904,163
1990,Apr,Florida West Coast,"BONITO, ATLANTIC",45.4,"100,097","10,664"
1991,Apr,Florida West Coast,"BONITO, ATLANTIC",0.8,"1,795",271
1992,Apr,Florida West Coast,"BONITO, ATLANTIC",39.6,"87,217","10,552"
1993,Apr,Florida West Coast,"BONITO, ATLANTIC",9,"19,821","2,396"
1994,Apr,Florida West Coast,"BONITO, ATLANTIC",4.8,"10,611","1,410"
1990,May,Florida West Coast,"BONITO, ATLANTIC",10.3,"22,626","2,007"
1991,May,Florida West Coast,"BONITO, ATLANTIC",23.5,"51,821","12,428"
1992,May,Florida West Coast,"BONITO, ATLANTIC",10.2,"22,521","4,899"
1993,May,Florida West Coast,"BONITO, ATLANTIC",0.4,836,106
1994,May,Florida West Coast,"BONITO, ATLANTIC",11.9,"26,211","5,407"
2000,May,Louisiana,"BONITO, ATLANTIC",0.1,114,71
1990,Jun,Florida West Coast,"BONITO, ATLANTIC",5.3,"11,660","1,731"
1991,Jun,Florida West Coast,"BONITO, ATLANTIC",55.6,"122,560","25,898"
1992,Jun,Florida West Coast,"BONITO, ATLANTIC",102.1,"225,102","41,560"
1993,Jun,Florida West Coast,"BONITO, ATLANTIC",12.9,"28,462","4,025"
1994,Jun,Florida West Coast,"BONITO, ATLANTIC",0.6,"1,358",285
2002,Jun,Texas,"BONITO, ATLANTIC",0,90,24
1990,Jul,Florida West Coast,"BONITO, ATLANTIC",73.7,"162,527","26,875"
1991,Jul,Florida West Coast,"BONITO, ATLANTIC",16.6,"36,562","9,893"
1992,Jul,Florida West Coast,"BONITO, ATLANTIC",31.7,"69,817","11,867"
1993,Jul,Florida West Coast,"BONITO, ATLANTIC",28.8,"63,591","12,943"
1994,Jul,Florida West Coast,"BONITO, ATLANTIC",21,"46,325","16,075"
1999,Jul,Louisiana,"BONITO, ATLANTIC",0.4,878,259
2001,Jul,Texas,"BONITO, ATLANTIC",0.5,"1,179",512
2002,Jul,Texas,"BONITO, ATLANTIC",0.1,172,85
1990,Aug,Florida West Coast,"BONITO, ATLANTIC",3.7,"8,112","1,290"
1991,Aug,Florida West Coast,"BONITO, ATLANTIC",72.4,"159,706","36,926"
1992,Aug,Florida West Coast,"BONITO, ATLANTIC",88.2,"194,381","71,661"
1993,Aug,Florida West Coast,"BONITO, ATLANTIC",50.1,"110,448","23,330"
1994,Aug,Florida West Coast,"BONITO, ATLANTIC",66.3,"146,152","35,639"
1990,Aug,Louisiana,"BONITO, ATLANTIC",0.3,738,268
2001,Aug,Louisiana,"BONITO, ATLANTIC",0.2,390,109
2002,Aug,Texas,"BONITO, ATLANTIC",0,91,36
1990,Sep,Florida West Coast,"BONITO, ATLANTIC",17.4,"38,376","6,921"
1991,Sep,Florida West Coast,"BONITO, ATLANTIC",118.5,"261,237","53,957"
1992,Sep,Florida West Coast,"BONITO, ATLANTIC",149.8,"330,277","90,508"
1993,Sep,Florida West Coast,"BONITO, ATLANTIC",132.8,"292,737","44,166"
1994,Sep,Florida West Coast,"BONITO, ATLANTIC",390.6,"861,080","228,269"
2002,Sep,Texas,"BONITO, ATLANTIC",0,75,30
1990,Oct,Florida West Coast,"BONITO, ATLANTIC",22.7,"49,938","12,313"
1991,Oct,Florida West Coast,"BONITO, ATLANTIC",5.6,"12,286","2,800"
1992,Oct,Florida West Coast,"BONITO, ATLANTIC",25,"55,079","9,802"
1993,Oct,Florida West Coast,"BONITO, ATLANTIC",4.6,"10,165","3,198"
1994,Oct,Florida West Coast,"BONITO, ATLANTIC",101.1,"222,903","53,112"
1990,Nov,Florida West Coast,"BONITO, ATLANTIC",5.5,"12,132","2,154"
1991,Nov,Florida West Coast,"BONITO, ATLANTIC",4.5,"10,004","1,673"
1992,Nov,Florida West Coast,"BONITO, ATLANTIC",2.7,"5,956",840
1993,Nov,Florida West Coast,"BONITO, ATLANTIC",0.6,"1,295",490
1994,Nov,Florida West Coast,"BONITO, ATLANTIC",3.7,"8,124","1,818"
1990,Dec,Florida West Coast,"BONITO, ATLANTIC",0.5,"1,140",115
1991,Dec,Florida West Coast,"BONITO, ATLANTIC",1.1,"2,402",382
1992,Dec,Florida West Coast,"BONITO, ATLANTIC",1,"2,308",369
1993,Dec,Florida West Coast,"BONITO, ATLANTIC",0.3,703,153
1994,Dec,Florida West Coast,"BONITO, ATLANTIC",3,"6,657","1,598"
