Year,Month,State,Species,Metric Tons,Pounds,$
1992,Jan,Florida West Coast,BUTTERFISH,0.1,226,78
1993,Jan,Florida West Coast,BUTTERFISH,1.1,"2,375",546
1994,Jan,Florida West Coast,BUTTERFISH,5.7,"12,556","3,415"
1995,Jan,Florida West Coast,BUTTERFISH,6,"13,251","6,599"
2002,Jan,Florida West Coast,BUTTERFISH,17.8,"39,350","31,515"
2012,Jan,Florida West Coast,BUTTERFISH,0,89,66
2016,Jan,Florida West Coast,BUTTERFISH,0,109,116
1992,Feb,Florida West Coast,BUTTERFISH,0.3,661,239
1993,Feb,Florida West Coast,BUTTERFISH,0.3,720,143
1994,Feb,Florida West Coast,BUTTERFISH,5.5,"12,224","3,845"
1995,Feb,Florida West Coast,BUTTERFISH,0,78,32
1996,Feb,Florida West Coast,BUTTERFISH,1.6,"3,427",733
1997,Feb,Florida West Coast,BUTTERFISH,0.2,531,139
1998,Feb,Florida West Coast,BUTTERFISH,22.1,"48,710","9,822"
1999,Feb,Florida West Coast,BUTTERFISH,0,15,6
2002,Feb,Florida West Coast,BUTTERFISH,37.9,"83,594","40,901"
2012,Feb,Florida West Coast,BUTTERFISH,0.1,161,98
2002,Mar,Alabama,BUTTERFISH,0,13,6
2014,Mar,Alabama,BUTTERFISH,0,8,6
1991,Mar,Florida West Coast,BUTTERFISH,0.6,"1,376",340
1992,Mar,Florida West Coast,BUTTERFISH,8.4,"18,549","10,140"
1993,Mar,Florida West Coast,BUTTERFISH,2.2,"4,874","2,187"
1994,Mar,Florida West Coast,BUTTERFISH,76.6,"168,919","52,172"
1995,Mar,Florida West Coast,BUTTERFISH,1,"2,209","1,124"
1996,Mar,Florida West Coast,BUTTERFISH,0,28,16
1997,Mar,Florida West Coast,BUTTERFISH,0.5,"1,068",323
1998,Mar,Florida West Coast,BUTTERFISH,1,"2,238",572
1999,Mar,Florida West Coast,BUTTERFISH,0,33,21
2001,Mar,Florida West Coast,BUTTERFISH,15.9,"34,961","9,929"
2002,Mar,Florida West Coast,BUTTERFISH,81.5,"179,731","106,266"
2003,Mar,Florida West Coast,BUTTERFISH,27.7,"61,081","43,232"
2004,Mar,Florida West Coast,BUTTERFISH,2.7,"5,947","1,492"
2009,Mar,Florida West Coast,BUTTERFISH,0,29,18
2012,Mar,Florida West Coast,BUTTERFISH,0.1,199,89
2013,Mar,Florida West Coast,BUTTERFISH,0.5,"1,057",401
2015,Mar,Florida West Coast,BUTTERFISH,0.2,537,338
2002,Apr,Alabama,BUTTERFISH,0.1,143,72
2003,Apr,Alabama,BUTTERFISH,0.3,618,300
2004,Apr,Alabama,BUTTERFISH,0.2,491,262
2005,Apr,Alabama,BUTTERFISH,0.1,125,67
2006,Apr,Alabama,BUTTERFISH,0.1,203,140
2007,Apr,Alabama,BUTTERFISH,0,87,74
2008,Apr,Alabama,BUTTERFISH,0.1,315,194
2010,Apr,Alabama,BUTTERFISH,1,"2,228","1,275"
2011,Apr,Alabama,BUTTERFISH,0.2,450,316
2012,Apr,Alabama,BUTTERFISH,2,"4,410","3,019"
2013,Apr,Alabama,BUTTERFISH,0.6,"1,306",624
2014,Apr,Alabama,BUTTERFISH,0.6,"1,240",774
2015,Apr,Alabama,BUTTERFISH,0.2,372,125
2016,Apr,Alabama,BUTTERFISH,0.6,"1,393",970
1991,Apr,Florida West Coast,BUTTERFISH,6,"13,328","3,992"
1992,Apr,Florida West Coast,BUTTERFISH,7.4,"16,360","7,094"
1993,Apr,Florida West Coast,BUTTERFISH,9.6,"21,190","9,085"
1994,Apr,Florida West Coast,BUTTERFISH,34.3,"75,610","104,112"
1995,Apr,Florida West Coast,BUTTERFISH,11.5,"25,443","12,518"
1996,Apr,Florida West Coast,BUTTERFISH,17.4,"38,250","22,950"
1997,Apr,Florida West Coast,BUTTERFISH,9.6,"21,084","10,926"
1998,Apr,Florida West Coast,BUTTERFISH,84.9,"187,153","80,882"
2001,Apr,Florida West Coast,BUTTERFISH,21,"46,192","11,825"
2002,Apr,Florida West Coast,BUTTERFISH,64.2,"141,603","72,622"
2003,Apr,Florida West Coast,BUTTERFISH,18.9,"41,560","28,911"
2005,Apr,Florida West Coast,BUTTERFISH,14.2,"31,381","7,864"
2009,Apr,Florida West Coast,BUTTERFISH,0,109,66
2011,Apr,Florida West Coast,BUTTERFISH,0.1,303,106
2012,Apr,Florida West Coast,BUTTERFISH,3.1,"6,933","2,074"
2013,Apr,Florida West Coast,BUTTERFISH,0.1,141,71
2014,Apr,Florida West Coast,BUTTERFISH,17.6,"38,742","13,571"
2015,Apr,Florida West Coast,BUTTERFISH,5.6,"12,333","4,961"
2002,May,Alabama,BUTTERFISH,0.1,168,65
2003,May,Alabama,BUTTERFISH,0.2,356,192
2004,May,Alabama,BUTTERFISH,0.1,156,89
2005,May,Alabama,BUTTERFISH,0.3,614,328
2006,May,Alabama,BUTTERFISH,0.1,265,200
2007,May,Alabama,BUTTERFISH,0.2,453,260
2008,May,Alabama,BUTTERFISH,0.1,306,186
2009,May,Alabama,BUTTERFISH,0.3,644,387
2010,May,Alabama,BUTTERFISH,0.7,"1,444",914
2011,May,Alabama,BUTTERFISH,0.7,"1,515",937
2012,May,Alabama,BUTTERFISH,2.2,"4,869","3,108"
2013,May,Alabama,BUTTERFISH,12.6,"27,751","11,230"
2014,May,Alabama,BUTTERFISH,0.9,"1,928","1,396"
2015,May,Alabama,BUTTERFISH,0.2,361,253
2016,May,Alabama,BUTTERFISH,0.6,"1,313",881
1991,May,Florida West Coast,BUTTERFISH,24.9,"54,921","17,842"
1992,May,Florida West Coast,BUTTERFISH,7.8,"17,141","6,625"
1993,May,Florida West Coast,BUTTERFISH,20.8,"45,820","18,322"
1994,May,Florida West Coast,BUTTERFISH,19.6,"43,191","13,913"
1995,May,Florida West Coast,BUTTERFISH,25.1,"55,378","13,883"
