Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,"CATFISH, CHANNEL",0,77,46
2000,Jan,Alabama,CATFISHES & BULLHEADS,0.8,"1,869","1,282"
1990,Jan,Florida West Coast,CATFISHES & BULLHEADS,2.1,"4,692",396
1991,Jan,Florida West Coast,CATFISHES & BULLHEADS,0.4,923,321
1992,Jan,Florida West Coast,CATFISHES & BULLHEADS,5.7,"12,496","5,132"
1993,Jan,Florida West Coast,CATFISHES & BULLHEADS,0.6,"1,356",528
1994,Jan,Florida West Coast,CATFISHES & BULLHEADS,0.1,245,61
1995,Jan,Florida West Coast,CATFISHES & BULLHEADS,0.7,"1,528",515
1996,Jan,Florida West Coast,CATFISHES & BULLHEADS,7.5,"16,622","7,303"
1997,Jan,Florida West Coast,CATFISHES & BULLHEADS,0.3,598,417
1999,Jan,Florida West Coast,CATFISHES & BULLHEADS,0.1,171,114
2008,Jan,Florida West Coast,CATFISHES & BULLHEADS,0.1,117,109
1990,Jan,Louisiana,"CATFISH, BLUE",59.8,"131,884","62,220"
1991,Jan,Louisiana,"CATFISH, BLUE",81.4,"179,395","81,008"
1992,Jan,Louisiana,"CATFISH, BLUE",64.1,"141,331","65,979"
1993,Jan,Louisiana,"CATFISH, BLUE",57,"125,657","51,025"
1994,Jan,Louisiana,"CATFISH, BLUE",41,"90,455","39,422"
1995,Jan,Louisiana,"CATFISH, BLUE",91.3,"201,328","97,905"
1996,Jan,Louisiana,"CATFISH, BLUE",60,"132,257","69,103"
1997,Jan,Louisiana,"CATFISH, BLUE",103.9,"229,081","106,392"
1998,Jan,Louisiana,"CATFISH, BLUE",116.1,"256,052","125,836"
1999,Jan,Louisiana,"CATFISH, BLUE",144.7,"319,031","140,753"
2000,Jan,Louisiana,"CATFISH, BLUE",153.3,"338,070","155,555"
2001,Jan,Louisiana,"CATFISH, BLUE",192.1,"423,408","193,563"
2002,Jan,Louisiana,"CATFISH, BLUE",128.8,"284,014","126,419"
2003,Jan,Louisiana,"CATFISH, BLUE",106.1,"233,839","99,014"
2004,Jan,Louisiana,"CATFISH, BLUE",103.6,"228,414","101,099"
2005,Jan,Louisiana,"CATFISH, BLUE",128.3,"282,936","123,461"
2006,Jan,Louisiana,"CATFISH, BLUE",144.9,"319,508","147,440"
2007,Jan,Louisiana,"CATFISH, BLUE",155,"341,780","167,259"
2008,Jan,Louisiana,"CATFISH, BLUE",118.2,"260,623","124,203"
2009,Jan,Louisiana,"CATFISH, BLUE",79,"174,170","79,203"
2010,Jan,Louisiana,"CATFISH, BLUE",110.6,"243,827","102,156"
2011,Jan,Louisiana,"CATFISH, BLUE",85.8,"189,254","78,011"
2012,Jan,Louisiana,"CATFISH, BLUE",189.2,"417,176","204,088"
2013,Jan,Louisiana,"CATFISH, BLUE",165.7,"365,399","184,225"
2014,Jan,Louisiana,"CATFISH, BLUE",91.2,"200,982","96,607"
2015,Jan,Louisiana,"CATFISH, BLUE",128.8,"283,851","142,277"
2016,Jan,Louisiana,"CATFISH, BLUE",89.1,"196,321","99,971"
1990,Jan,Louisiana,"CATFISH, CHANNEL",41.3,"91,130","64,633"
1991,Jan,Louisiana,"CATFISH, CHANNEL",68.4,"150,746","90,325"
1992,Jan,Louisiana,"CATFISH, CHANNEL",47.5,"104,807","49,612"
1993,Jan,Louisiana,"CATFISH, CHANNEL",58.3,"128,429","53,409"
1994,Jan,Louisiana,"CATFISH, CHANNEL",46.6,"102,769","49,568"
1995,Jan,Louisiana,"CATFISH, CHANNEL",50.6,"111,591","56,072"
1996,Jan,Louisiana,"CATFISH, CHANNEL",50.2,"110,585","53,863"
1997,Jan,Louisiana,"CATFISH, CHANNEL",85.1,"187,534","92,432"
1998,Jan,Louisiana,"CATFISH, CHANNEL",100.7,"222,028","109,997"
1999,Jan,Louisiana,"CATFISH, CHANNEL",76.3,"168,163","78,732"
2000,Jan,Louisiana,"CATFISH, CHANNEL",70,"154,275","80,220"
2001,Jan,Louisiana,"CATFISH, CHANNEL",64.6,"142,466","74,621"
2002,Jan,Louisiana,"CATFISH, CHANNEL",38,"83,747","45,912"
2003,Jan,Louisiana,"CATFISH, CHANNEL",25.8,"56,776","29,742"
2004,Jan,Louisiana,"CATFISH, CHANNEL",42.4,"93,390","46,159"
2005,Jan,Louisiana,"CATFISH, CHANNEL",50.4,"111,114","53,297"
2006,Jan,Louisiana,"CATFISH, CHANNEL",54,"118,974","56,063"
2007,Jan,Louisiana,"CATFISH, CHANNEL",33.9,"74,751","38,362"
2008,Jan,Louisiana,"CATFISH, CHANNEL",20.6,"45,445","26,848"
2009,Jan,Louisiana,"CATFISH, CHANNEL",22.9,"50,439","28,299"
2010,Jan,Louisiana,"CATFISH, CHANNEL",15.9,"35,050","21,674"
2011,Jan,Louisiana,"CATFISH, CHANNEL",14.6,"32,255","18,710"
2012,Jan,Louisiana,"CATFISH, CHANNEL",42.6,"93,937","58,145"
2013,Jan,Louisiana,"CATFISH, CHANNEL",49.7,"109,641","57,175"
2014,Jan,Louisiana,"CATFISH, CHANNEL",26.5,"58,333","36,467"
2015,Jan,Louisiana,"CATFISH, CHANNEL",17.4,"38,275","29,107"
2016,Jan,Louisiana,"CATFISH, CHANNEL",34.5,"76,116","59,787"
1990,Jan,Louisiana,"CATFISH, FLATHEAD",0.9,"2,081","1,365"
1991,Jan,Louisiana,"CATFISH, FLATHEAD",14.3,"31,557","14,609"
1992,Jan,Louisiana,"CATFISH, FLATHEAD",17.6,"38,718","15,577"
1993,Jan,Louisiana,"CATFISH, FLATHEAD",1.7,"3,642","1,586"
1994,Jan,Louisiana,"CATFISH, FLATHEAD",14.3,"31,616","15,728"
1995,Jan,Louisiana,"CATFISH, FLATHEAD",3.8,"8,430","3,573"
1996,Jan,Louisiana,"CATFISH, FLATHEAD",3.2,"7,009","3,223"
1997,Jan,Louisiana,"CATFISH, FLATHEAD",22.8,"50,223","24,947"
1998,Jan,Louisiana,"CATFISH, FLATHEAD",28.5,"62,762","28,402"
1999,Jan,Louisiana,"CATFISH, FLATHEAD",3.1,"6,739","3,202"
2000,Jan,Louisiana,"CATFISH, FLATHEAD",2.5,"5,443","2,542"
2001,Jan,Louisiana,"CATFISH, FLATHEAD",1.2,"2,568","1,252"
2002,Jan,Louisiana,"CATFISH, FLATHEAD",1.6,"3,510","1,758"
2003,Jan,Louisiana,"CATFISH, FLATHEAD",1.1,"2,448","1,438"
2004,Jan,Louisiana,"CATFISH, FLATHEAD",1.8,"3,910","1,985"
2005,Jan,Louisiana,"CATFISH, FLATHEAD",4.3,"9,372","4,430"
2006,Jan,Louisiana,"CATFISH, FLATHEAD",4.5,"9,887","5,181"
2007,Jan,Louisiana,"CATFISH, FLATHEAD",3.3,"7,282","3,866"
