Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,COBIA,0,12,13
1990,Jan,Florida West Coast,COBIA,7.1,"15,723","19,935"
1991,Jan,Florida West Coast,COBIA,6.2,"13,567","14,579"
1992,Jan,Florida West Coast,COBIA,5.3,"11,749","16,996"
1993,Jan,Florida West Coast,COBIA,8.2,"18,015","26,433"
1994,Jan,Florida West Coast,COBIA,4.1,"9,088","15,351"
1995,Jan,Florida West Coast,COBIA,3.8,"8,277","13,993"
1996,Jan,Florida West Coast,COBIA,3.5,"7,658","13,882"
1997,Jan,Florida West Coast,COBIA,3.6,"7,899","15,255"
1998,Jan,Florida West Coast,COBIA,4,"8,885","17,864"
1999,Jan,Florida West Coast,COBIA,2.4,"5,284","10,018"
2000,Jan,Florida West Coast,COBIA,1.9,"4,274","7,942"
2001,Jan,Florida West Coast,COBIA,2.8,"6,259","12,794"
2002,Jan,Florida West Coast,COBIA,2.4,"5,268","10,147"
2003,Jan,Florida West Coast,COBIA,2.1,"4,542","8,245"
2004,Jan,Florida West Coast,COBIA,3.3,"7,199","14,349"
2005,Jan,Florida West Coast,COBIA,1.9,"4,247","8,340"
2006,Jan,Florida West Coast,COBIA,2,"4,404","8,354"
2007,Jan,Florida West Coast,COBIA,2.6,"5,698","12,376"
2008,Jan,Florida West Coast,COBIA,1.1,"2,367","5,393"
2009,Jan,Florida West Coast,COBIA,1.5,"3,234","6,552"
2010,Jan,Florida West Coast,COBIA,1.2,"2,708","7,727"
2011,Jan,Florida West Coast,COBIA,2.8,"6,111","16,754"
2012,Jan,Florida West Coast,COBIA,1.4,"3,089","7,107"
2013,Jan,Florida West Coast,COBIA,1.3,"2,951","8,452"
2014,Jan,Florida West Coast,COBIA,1.3,"2,862","8,043"
2015,Jan,Florida West Coast,COBIA,1.3,"2,770","7,889"
2016,Jan,Florida West Coast,COBIA,0.8,"1,674","4,555"
1990,Jan,Louisiana,COBIA,0.6,"1,287","1,083"
1991,Jan,Louisiana,COBIA,0.5,"1,165","1,209"
1992,Jan,Louisiana,COBIA,1.8,"4,016","5,273"
1993,Jan,Louisiana,COBIA,1.3,"2,758","3,276"
1994,Jan,Louisiana,COBIA,1.8,"4,036","4,887"
1995,Jan,Louisiana,COBIA,3,"6,505","8,975"
1996,Jan,Louisiana,COBIA,3.2,"7,078","10,010"
1997,Jan,Louisiana,COBIA,0.7,"1,551","2,354"
1998,Jan,Louisiana,COBIA,1.5,"3,259","4,958"
1999,Jan,Louisiana,COBIA,1.2,"2,689","4,113"
2000,Jan,Louisiana,COBIA,0.9,"2,011","3,237"
2001,Jan,Louisiana,COBIA,0.8,"1,864","3,261"
2002,Jan,Louisiana,COBIA,0.8,"1,843","2,755"
2003,Jan,Louisiana,COBIA,0.5,"1,200","1,652"
2004,Jan,Louisiana,COBIA,0.5,"1,164","1,776"
2005,Jan,Louisiana,COBIA,0.4,888,"1,259"
2007,Jan,Louisiana,COBIA,0.1,196,435
2008,Jan,Louisiana,COBIA,0.1,259,450
2009,Jan,Louisiana,COBIA,0.7,"1,585","3,817"
2010,Jan,Louisiana,COBIA,0.1,227,347
2013,Jan,Louisiana,COBIA,0.2,454,"1,380"
2014,Jan,Louisiana,COBIA,0.1,266,622
2015,Jan,Louisiana,COBIA,0.2,343,747
2016,Jan,Louisiana,COBIA,0.1,148,425
1990,Jan,Texas,COBIA,0.1,124,82
1991,Jan,Texas,COBIA,0,75,75
1993,Jan,Texas,COBIA,0.1,313,367
1996,Jan,Texas,COBIA,0.4,884,855
1997,Jan,Texas,COBIA,0.1,246,272
1998,Jan,Texas,COBIA,0.4,987,"1,018"
1999,Jan,Texas,COBIA,0.7,"1,495","1,912"
2000,Jan,Texas,COBIA,0.4,962,"1,099"
2002,Jan,Texas,COBIA,0.2,376,586
2004,Jan,Texas,COBIA,0.3,570,"1,194"
2005,Jan,Texas,COBIA,0.3,637,"1,102"
2007,Jan,Texas,COBIA,0.3,567,"1,008"
2008,Jan,Texas,COBIA,0.3,736,"1,453"
2009,Jan,Texas,COBIA,0.5,"1,145","1,981"
2011,Jan,Texas,COBIA,0.1,305,563
2013,Jan,Texas,COBIA,0.2,340,802
2014,Jan,Texas,COBIA,0.1,238,755
2002,Feb,Alabama,COBIA,0,40,51
1990,Feb,Florida West Coast,COBIA,5.3,"11,649","14,690"
1991,Feb,Florida West Coast,COBIA,6.3,"13,899","15,071"
1992,Feb,Florida West Coast,COBIA,6.4,"14,190","20,180"
1993,Feb,Florida West Coast,COBIA,5.2,"11,456","16,636"
1994,Feb,Florida West Coast,COBIA,6.8,"15,073","25,166"
1995,Feb,Florida West Coast,COBIA,6,"13,271","25,089"
1996,Feb,Florida West Coast,COBIA,12.2,"26,934","48,307"
1997,Feb,Florida West Coast,COBIA,5.6,"12,304","23,039"
1998,Feb,Florida West Coast,COBIA,2.5,"5,608","10,362"
1999,Feb,Florida West Coast,COBIA,4.5,"9,869","19,518"
2000,Feb,Florida West Coast,COBIA,3.3,"7,376","14,435"
2001,Feb,Florida West Coast,COBIA,3.1,"6,866","13,917"
2002,Feb,Florida West Coast,COBIA,1.9,"4,114","8,331"
2003,Feb,Florida West Coast,COBIA,4.4,"9,808","21,989"
2004,Feb,Florida West Coast,COBIA,3.2,"7,092","13,953"
2005,Feb,Florida West Coast,COBIA,2.6,"5,763","11,176"
2006,Feb,Florida West Coast,COBIA,2.8,"6,119","12,386"
2007,Feb,Florida West Coast,COBIA,1.7,"3,659","7,777"
2008,Feb,Florida West Coast,COBIA,2.7,"6,035","13,654"
2009,Feb,Florida West Coast,COBIA,1.1,"2,423","5,445"
2010,Feb,Florida West Coast,COBIA,1.5,"3,292","8,547"
