Year,Month,State,Species,Metric Tons,Pounds,$
1999,Jan,Alabama,"CROAKER, ATLANTIC",0.5,"1,138",415
2002,Jan,Alabama,"CROAKER, ATLANTIC",0.1,168,134
2009,Jan,Alabama,"CROAKER, ATLANTIC",0.1,120,56
1990,Jan,Florida West Coast,"CROAKER, ATLANTIC",0.2,551,311
1991,Jan,Florida West Coast,"CROAKER, ATLANTIC",0.1,325,144
1992,Jan,Florida West Coast,"CROAKER, ATLANTIC",0.3,713,355
1993,Jan,Florida West Coast,"CROAKER, ATLANTIC",0.1,163,61
1994,Jan,Florida West Coast,"CROAKER, ATLANTIC",0.1,279,180
1995,Jan,Florida West Coast,"CROAKER, ATLANTIC",0,48,21
1997,Jan,Florida West Coast,"CROAKER, ATLANTIC",0.2,447,262
2002,Jan,Florida West Coast,"CROAKER, ATLANTIC",0.5,"1,076",939
2008,Jan,Florida West Coast,"CROAKER, ATLANTIC",0.6,"1,222","1,193"
1990,Jan,Louisiana,"CROAKER, ATLANTIC",4.2,"9,155","4,772"
1991,Jan,Louisiana,"CROAKER, ATLANTIC",5.7,"12,551","9,186"
1992,Jan,Louisiana,"CROAKER, ATLANTIC",1.3,"2,838","1,656"
1993,Jan,Louisiana,"CROAKER, ATLANTIC",1.7,"3,660","1,855"
1994,Jan,Louisiana,"CROAKER, ATLANTIC",1.1,"2,403",851
1995,Jan,Louisiana,"CROAKER, ATLANTIC",1.6,"3,503","2,121"
1996,Jan,Louisiana,"CROAKER, ATLANTIC",0.4,818,427
1997,Jan,Louisiana,"CROAKER, ATLANTIC",0.1,324,169
2000,Jan,Louisiana,"CROAKER, ATLANTIC",0.1,195,93
2001,Jan,Louisiana,"CROAKER, ATLANTIC",0.1,213,113
2002,Jan,Louisiana,"CROAKER, ATLANTIC",0.2,427,195
2014,Jan,Louisiana,"CROAKER, ATLANTIC",4.6,"10,081","1,122"
2002,Jan,Mississippi,"CROAKER, ATLANTIC",0,10,3
2002,Jan,Texas,"CROAKER, ATLANTIC",0,2,1
2012,Jan,Texas,"CROAKER, ATLANTIC",0,5,33
1998,Feb,Alabama,"CROAKER, ATLANTIC",0.1,316,155
2000,Feb,Alabama,"CROAKER, ATLANTIC",0.1,305,133
2002,Feb,Alabama,"CROAKER, ATLANTIC",0.1,167,83
2008,Feb,Alabama,"CROAKER, ATLANTIC",0,58,31
2009,Feb,Alabama,"CROAKER, ATLANTIC",0,91,47
1990,Feb,Florida West Coast,"CROAKER, ATLANTIC",0.1,262,102
1991,Feb,Florida West Coast,"CROAKER, ATLANTIC",0.3,629,349
1992,Feb,Florida West Coast,"CROAKER, ATLANTIC",0.2,453,215
1993,Feb,Florida West Coast,"CROAKER, ATLANTIC",0.1,317,152
1994,Feb,Florida West Coast,"CROAKER, ATLANTIC",1.1,"2,479","1,502"
1995,Feb,Florida West Coast,"CROAKER, ATLANTIC",0.1,162,107
1996,Feb,Florida West Coast,"CROAKER, ATLANTIC",0.3,645,490
1997,Feb,Florida West Coast,"CROAKER, ATLANTIC",2.2,"4,748","2,704"
1998,Feb,Florida West Coast,"CROAKER, ATLANTIC",0.4,945,901
1999,Feb,Florida West Coast,"CROAKER, ATLANTIC",0.1,282,186
2000,Feb,Florida West Coast,"CROAKER, ATLANTIC",0.6,"1,266",884
2001,Feb,Florida West Coast,"CROAKER, ATLANTIC",0,28,14
2002,Feb,Florida West Coast,"CROAKER, ATLANTIC",1.2,"2,713","2,266"
2006,Feb,Florida West Coast,"CROAKER, ATLANTIC",0,87,71
2008,Feb,Florida West Coast,"CROAKER, ATLANTIC",0.2,399,368
2012,Feb,Florida West Coast,"CROAKER, ATLANTIC",0,52,57
2016,Feb,Florida West Coast,"CROAKER, ATLANTIC",0,44,44
1990,Feb,Louisiana,"CROAKER, ATLANTIC",2.4,"5,399","2,879"
1991,Feb,Louisiana,"CROAKER, ATLANTIC",1.3,"2,800","2,398"
1992,Feb,Louisiana,"CROAKER, ATLANTIC",0.9,"2,086","1,316"
1993,Feb,Louisiana,"CROAKER, ATLANTIC",1.4,"3,170","1,623"
1994,Feb,Louisiana,"CROAKER, ATLANTIC",1.9,"4,182","2,445"
1995,Feb,Louisiana,"CROAKER, ATLANTIC",1.1,"2,528","1,511"
1996,Feb,Louisiana,"CROAKER, ATLANTIC",0.5,"1,129",677
1997,Feb,Louisiana,"CROAKER, ATLANTIC",0.3,729,442
1998,Feb,Louisiana,"CROAKER, ATLANTIC",0.2,351,154
1999,Feb,Louisiana,"CROAKER, ATLANTIC",0.4,859,856
2000,Feb,Louisiana,"CROAKER, ATLANTIC",0.2,464,454
2001,Feb,Louisiana,"CROAKER, ATLANTIC",0.2,426,230
2002,Feb,Louisiana,"CROAKER, ATLANTIC",0.2,443,248
2003,Feb,Louisiana,"CROAKER, ATLANTIC",0,35,15
2004,Feb,Louisiana,"CROAKER, ATLANTIC",0.1,124,73
2005,Feb,Louisiana,"CROAKER, ATLANTIC",0,52,26
2008,Feb,Louisiana,"CROAKER, ATLANTIC",0,105,62
2002,Feb,Mississippi,"CROAKER, ATLANTIC",0,69,21
2001,Feb,Texas,"CROAKER, ATLANTIC",0,26,60
2002,Feb,Texas,"CROAKER, ATLANTIC",0,3,19
2010,Feb,Texas,"CROAKER, ATLANTIC",0,23,28
2014,Feb,Texas,"CROAKER, ATLANTIC",0,8,16
1999,Mar,Alabama,"CROAKER, ATLANTIC",1,"2,236",742
2000,Mar,Alabama,"CROAKER, ATLANTIC",0.4,871,347
2001,Mar,Alabama,"CROAKER, ATLANTIC",0.7,"1,643",815
2002,Mar,Alabama,"CROAKER, ATLANTIC",0,74,41
2009,Mar,Alabama,"CROAKER, ATLANTIC",0.1,215,127
2011,Mar,Alabama,"CROAKER, ATLANTIC",0,93,88
2012,Mar,Alabama,"CROAKER, ATLANTIC",0,63,42
1990,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.4,858,356
1991,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.4,861,407
1992,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.1,318,114
1993,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.1,174,78
1994,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.2,448,260
1995,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.1,198,119
1996,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.4,877,802
1997,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.1,216,173
1998,Mar,Florida West Coast,"CROAKER, ATLANTIC",0,58,53
2000,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.1,294,189
2001,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.4,909,661
2002,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.1,202,176
2005,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.4,899,724
2006,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.1,158,109
2008,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.1,306,319
2010,Mar,Florida West Coast,"CROAKER, ATLANTIC",3.2,"7,150","2,016"
2011,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.4,788,993
2012,Mar,Florida West Coast,"CROAKER, ATLANTIC",1,"2,151","1,872"
2013,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.1,140,192
2014,Mar,Florida West Coast,"CROAKER, ATLANTIC",0,44,124
2015,Mar,Florida West Coast,"CROAKER, ATLANTIC",0.2,372,347
1990,Mar,Louisiana,"CROAKER, ATLANTIC",1.4,"3,154","2,364"
1991,Mar,Louisiana,"CROAKER, ATLANTIC",0.5,"1,080",961
1992,Mar,Louisiana,"CROAKER, ATLANTIC",0.6,"1,430",706
1993,Mar,Louisiana,"CROAKER, ATLANTIC",2.2,"4,898","2,237"
1994,Mar,Louisiana,"CROAKER, ATLANTIC",1.6,"3,555","2,989"
1995,Mar,Louisiana,"CROAKER, ATLANTIC",0.7,"1,598","1,166"
1996,Mar,Louisiana,"CROAKER, ATLANTIC",0.2,420,332
1997,Mar,Louisiana,"CROAKER, ATLANTIC",0.2,416,278
1998,Mar,Louisiana,"CROAKER, ATLANTIC",0.1,191,103
1999,Mar,Louisiana,"CROAKER, ATLANTIC",0.1,253,132
2000,Mar,Louisiana,"CROAKER, ATLANTIC",0.3,620,312
2001,Mar,Louisiana,"CROAKER, ATLANTIC",0.3,572,281
2002,Mar,Louisiana,"CROAKER, ATLANTIC",0.1,268,135
2003,Mar,Louisiana,"CROAKER, ATLANTIC",0,105,47
2004,Mar,Louisiana,"CROAKER, ATLANTIC",0,20,13
2005,Mar,Louisiana,"CROAKER, ATLANTIC",0,64,42
2015,Mar,Louisiana,"CROAKER, ATLANTIC",0,60,152
2002,Mar,Mississippi,"CROAKER, ATLANTIC",0,1,0
1996,Mar,Texas,"CROAKER, ATLANTIC",0.3,595,134
1997,Mar,Texas,"CROAKER, ATLANTIC",0,38,76
1998,Mar,Texas,"CROAKER, ATLANTIC",0.1,113,770
1999,Mar,Texas,"CROAKER, ATLANTIC",0,53,236
2000,Mar,Texas,"CROAKER, ATLANTIC",0,107,394
2001,Mar,Texas,"CROAKER, ATLANTIC",0,61,310
2002,Mar,Texas,"CROAKER, ATLANTIC",0,33,97
2005,Mar,Texas,"CROAKER, ATLANTIC",0.1,324,"1,810"
2006,Mar,Texas,"CROAKER, ATLANTIC",0,37,238
2008,Mar,Texas,"CROAKER, ATLANTIC",0.1,112,786
2011,Mar,Texas,"CROAKER, ATLANTIC",0,19,215
2012,Mar,Texas,"CROAKER, ATLANTIC",0.1,136,"1,003"
1992,Apr,Alabama,"CROAKER, ATLANTIC",0.3,660,180
1998,Apr,Alabama,"CROAKER, ATLANTIC",0.2,471,271
1999,Apr,Alabama,"CROAKER, ATLANTIC",0.5,"1,149",425
2000,Apr,Alabama,"CROAKER, ATLANTIC",0.4,978,394
2001,Apr,Alabama,"CROAKER, ATLANTIC",0.1,289,127
2002,Apr,Alabama,"CROAKER, ATLANTIC",0.1,271,127
2012,Apr,Alabama,"CROAKER, ATLANTIC",0,61,36
1990,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.2,504,224
1991,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.3,710,352
1992,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.2,384,148
1993,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.1,162,70
1994,Apr,Florida West Coast,"CROAKER, ATLANTIC",2.1,"4,667","1,854"
1995,Apr,Florida West Coast,"CROAKER, ATLANTIC",0,70,67
1998,Apr,Florida West Coast,"CROAKER, ATLANTIC",16.5,"36,347","41,925"
1999,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.2,496,229
2000,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.1,185,142
2001,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.2,474,339
2002,Apr,Florida West Coast,"CROAKER, ATLANTIC",0,37,24
2003,Apr,Florida West Coast,"CROAKER, ATLANTIC",0,22,12
2006,Apr,Florida West Coast,"CROAKER, ATLANTIC",2.3,"5,135",965
2008,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.2,359,430
2009,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.2,544,331
2010,Apr,Florida West Coast,"CROAKER, ATLANTIC",8.4,"18,426","3,545"
2011,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.7,"1,558","2,098"
2012,Apr,Florida West Coast,"CROAKER, ATLANTIC",0.3,660,803
2014,Apr,Florida West Coast,"CROAKER, ATLANTIC",2.6,"5,748","1,040"
2015,Apr,Florida West Coast,"CROAKER, ATLANTIC",1.1,"2,382","1,596"
