Year,Month,State,Species,Metric Tons,Pounds,$
1990,Jan,Alabama,"DRUM, BLACK",0.3,615,217
1992,Jan,Alabama,"DRUM, BLACK",3.5,"7,639","1,305"
1993,Jan,Alabama,"DRUM, BLACK",0.2,534,175
1994,Jan,Alabama,"DRUM, BLACK",0.8,"1,759",593
1995,Jan,Alabama,"DRUM, BLACK",0.3,664,166
1997,Jan,Alabama,"DRUM, BLACK",0.5,"1,066",440
1998,Jan,Alabama,"DRUM, BLACK",0.2,357,212
1999,Jan,Alabama,"DRUM, BLACK",0.8,"1,749",798
2000,Jan,Alabama,"DRUM, BLACK",0.5,"1,100",460
2001,Jan,Alabama,"DRUM, BLACK",1.8,"3,968","1,552"
2002,Jan,Alabama,"DRUM, BLACK",0.5,"1,137",493
2003,Jan,Alabama,"DRUM, BLACK",0.6,"1,235",519
2004,Jan,Alabama,"DRUM, BLACK",0.1,214,139
2005,Jan,Alabama,"DRUM, BLACK",0.5,"1,050",437
2006,Jan,Alabama,"DRUM, BLACK",0.6,"1,322",457
2007,Jan,Alabama,"DRUM, BLACK",0.9,"2,062",987
2008,Jan,Alabama,"DRUM, BLACK",0.1,220,112
2009,Jan,Alabama,"DRUM, BLACK",0.8,"1,763",360
2010,Jan,Alabama,"DRUM, BLACK",1.3,"2,852",616
2011,Jan,Alabama,"DRUM, BLACK",0.9,"2,075","1,041"
2012,Jan,Alabama,"DRUM, BLACK",2,"4,481","1,829"
2013,Jan,Alabama,"DRUM, BLACK",0.5,"1,065",478
2014,Jan,Alabama,"DRUM, BLACK",0.9,"1,898",998
2016,Jan,Alabama,"DRUM, BLACK",0.7,"1,644",786
2002,Jan,Alabama,DRUMS,0,109,65
2006,Jan,Alabama,DRUMS,0,11,6
2008,Jan,Alabama,DRUMS,0.1,143,59
2009,Jan,Alabama,DRUMS,0,45,22
1990,Jan,Florida West Coast,"DRUM, BLACK",2.5,"5,471","1,924"
1991,Jan,Florida West Coast,"DRUM, BLACK",1.7,"3,654","1,464"
1992,Jan,Florida West Coast,"DRUM, BLACK",2.5,"5,469","2,314"
1993,Jan,Florida West Coast,"DRUM, BLACK",1.4,"3,128","1,221"
1994,Jan,Florida West Coast,"DRUM, BLACK",1.9,"4,199","1,666"
1995,Jan,Florida West Coast,"DRUM, BLACK",1.3,"2,919","1,109"
1996,Jan,Florida West Coast,"DRUM, BLACK",0.1,291,193
1997,Jan,Florida West Coast,"DRUM, BLACK",0.7,"1,583","1,388"
1998,Jan,Florida West Coast,"DRUM, BLACK",0.3,641,428
1999,Jan,Florida West Coast,"DRUM, BLACK",0.5,"1,122",644
2000,Jan,Florida West Coast,"DRUM, BLACK",0.5,"1,148",787
2001,Jan,Florida West Coast,"DRUM, BLACK",0.5,"1,074",523
2002,Jan,Florida West Coast,"DRUM, BLACK",0.3,768,532
2003,Jan,Florida West Coast,"DRUM, BLACK",0.4,909,589
2004,Jan,Florida West Coast,"DRUM, BLACK",0.1,239,200
2005,Jan,Florida West Coast,"DRUM, BLACK",0.2,474,273
2006,Jan,Florida West Coast,"DRUM, BLACK",0.3,636,393
2007,Jan,Florida West Coast,"DRUM, BLACK",1.5,"3,225","1,856"
2008,Jan,Florida West Coast,"DRUM, BLACK",1.9,"4,157","2,643"
2009,Jan,Florida West Coast,"DRUM, BLACK",1.9,"4,256","1,792"
2010,Jan,Florida West Coast,"DRUM, BLACK",0.3,727,471
2011,Jan,Florida West Coast,"DRUM, BLACK",1.3,"2,765","1,789"
2012,Jan,Florida West Coast,"DRUM, BLACK",1.1,"2,432","1,602"
2013,Jan,Florida West Coast,"DRUM, BLACK",0.7,"1,508",962
2014,Jan,Florida West Coast,"DRUM, BLACK",1.8,"3,961","3,000"
2015,Jan,Florida West Coast,"DRUM, BLACK",5.1,"11,311","8,058"
2016,Jan,Florida West Coast,"DRUM, BLACK",1.5,"3,298","2,432"
2014,Jan,Florida West Coast,DRUMS,0.1,204,942
2015,Jan,Florida West Coast,DRUMS,0,38,184
2016,Jan,Florida West Coast,DRUMS,0,87,"1,014"
1990,Jan,Louisiana,"DRUM, BLACK",96.1,"211,814","85,701"
1991,Jan,Louisiana,"DRUM, BLACK",111.3,"245,389","159,520"
1992,Jan,Louisiana,"DRUM, BLACK",103.4,"227,940","83,926"
1993,Jan,Louisiana,"DRUM, BLACK",110.6,"243,868","126,490"
1994,Jan,Louisiana,"DRUM, BLACK",89.7,"197,774","97,973"
1995,Jan,Louisiana,"DRUM, BLACK",142.4,"313,922","164,543"
1996,Jan,Louisiana,"DRUM, BLACK",89,"196,174","99,294"
1997,Jan,Louisiana,"DRUM, BLACK",135.3,"298,340","140,978"
1998,Jan,Louisiana,"DRUM, BLACK",84.3,"185,851","119,770"
1999,Jan,Louisiana,"DRUM, BLACK",98.2,"216,534","102,246"
2000,Jan,Louisiana,"DRUM, BLACK",108.7,"239,695","110,469"
2001,Jan,Louisiana,"DRUM, BLACK",240.6,"530,381","164,992"
2002,Jan,Louisiana,"DRUM, BLACK",179.2,"395,125","126,426"
2003,Jan,Louisiana,"DRUM, BLACK",147.7,"325,650","139,341"
2004,Jan,Louisiana,"DRUM, BLACK",199.3,"439,455","176,473"
2005,Jan,Louisiana,"DRUM, BLACK",153.6,"338,585","163,666"
2006,Jan,Louisiana,"DRUM, BLACK",62.4,"137,584","82,099"
2007,Jan,Louisiana,"DRUM, BLACK",150.1,"330,926","229,353"
2008,Jan,Louisiana,"DRUM, BLACK",163.1,"359,663","272,578"
2009,Jan,Louisiana,"DRUM, BLACK",179.9,"396,588","206,714"
2010,Jan,Louisiana,"DRUM, BLACK",132.5,"292,004","166,194"
2011,Jan,Louisiana,"DRUM, BLACK",220.5,"486,175","283,801"
2012,Jan,Louisiana,"DRUM, BLACK",155.9,"343,725","213,182"
2013,Jan,Louisiana,"DRUM, BLACK",249.6,"550,303","362,065"
2014,Jan,Louisiana,"DRUM, BLACK",150.5,"331,888","243,625"
2015,Jan,Louisiana,"DRUM, BLACK",219.1,"483,016","368,869"
2016,Jan,Louisiana,"DRUM, BLACK",281.8,"621,213","434,628"
1990,Jan,Louisiana,"DRUM, FRESHWATER",20.6,"45,336","8,331"
1991,Jan,Louisiana,"DRUM, FRESHWATER",18.3,"40,308","8,243"
1992,Jan,Louisiana,"DRUM, FRESHWATER",19.8,"43,760","8,845"
1993,Jan,Louisiana,"DRUM, FRESHWATER",15.5,"34,199","8,116"
1994,Jan,Louisiana,"DRUM, FRESHWATER",9.7,"21,340","3,565"
1995,Jan,Louisiana,"DRUM, FRESHWATER",14.8,"32,689","6,317"
1996,Jan,Louisiana,"DRUM, FRESHWATER",4.6,"10,158","2,064"
1997,Jan,Louisiana,"DRUM, FRESHWATER",12.2,"26,949","5,365"
1998,Jan,Louisiana,"DRUM, FRESHWATER",21.8,"48,158","9,425"
1999,Jan,Louisiana,"DRUM, FRESHWATER",30.5,"67,164","12,628"
2000,Jan,Louisiana,"DRUM, FRESHWATER",8.7,"19,115","3,732"
2001,Jan,Louisiana,"DRUM, FRESHWATER",15,"33,083","5,762"
2002,Jan,Louisiana,"DRUM, FRESHWATER",20.2,"44,587","6,719"
2003,Jan,Louisiana,"DRUM, FRESHWATER",18.4,"40,548","5,972"
2004,Jan,Louisiana,"DRUM, FRESHWATER",10.5,"23,220","3,607"
2005,Jan,Louisiana,"DRUM, FRESHWATER",13.9,"30,665","4,236"
2006,Jan,Louisiana,"DRUM, FRESHWATER",9.6,"21,269","3,142"
2007,Jan,Louisiana,"DRUM, FRESHWATER",17.4,"38,268","6,076"
2008,Jan,Louisiana,"DRUM, FRESHWATER",13.3,"29,215","4,339"
2009,Jan,Louisiana,"DRUM, FRESHWATER",19.6,"43,139","6,611"
2010,Jan,Louisiana,"DRUM, FRESHWATER",15.8,"34,907","5,582"
2011,Jan,Louisiana,"DRUM, FRESHWATER",9.6,"21,117","3,305"
2012,Jan,Louisiana,"DRUM, FRESHWATER",21.4,"47,280","7,382"
2013,Jan,Louisiana,"DRUM, FRESHWATER",18.4,"40,515","6,253"
2014,Jan,Louisiana,"DRUM, FRESHWATER",14.5,"32,048","5,188"
2015,Jan,Louisiana,"DRUM, FRESHWATER",10.6,"23,397","4,366"
2016,Jan,Louisiana,"DRUM, FRESHWATER",10.1,"22,221","4,821"
1990,Jan,Mississippi,"DRUM, BLACK",30.6,"67,484","17,044"
1991,Jan,Mississippi,"DRUM, BLACK",0.7,"1,483",537
1992,Jan,Mississippi,"DRUM, BLACK",5.8,"12,744","10,556"
1993,Jan,Mississippi,"DRUM, BLACK",0.8,"1,788",835
1994,Jan,Mississippi,"DRUM, BLACK",2.2,"4,764","2,062"
1995,Jan,Mississippi,"DRUM, BLACK",8.3,"18,329","7,341"
1996,Jan,Mississippi,"DRUM, BLACK",4,"8,869","5,146"
1997,Jan,Mississippi,"DRUM, BLACK",0.6,"1,267",718
1998,Jan,Mississippi,"DRUM, BLACK",0.2,520,339
1999,Jan,Mississippi,"DRUM, BLACK",0.6,"1,258",928
2000,Jan,Mississippi,"DRUM, BLACK",0.7,"1,515",913
2001,Jan,Mississippi,"DRUM, BLACK",1.1,"2,356","1,351"
2002,Jan,Mississippi,"DRUM, BLACK",1.1,"2,528","1,120"
2005,Jan,Mississippi,"DRUM, BLACK",0.4,925,449
2011,Jan,Mississippi,"DRUM, BLACK",2,"4,382","1,215"
2012,Jan,Mississippi,"DRUM, BLACK",1.4,"3,161",809
2013,Jan,Mississippi,"DRUM, BLACK",1.4,"3,195","1,604"
2014,Jan,Mississippi,"DRUM, BLACK",0.5,"1,112",726
2015,Jan,Mississippi,"DRUM, BLACK",2.3,"5,127","3,056"
2016,Jan,Mississippi,"DRUM, BLACK",2.2,"4,760","2,938"
1991,Jan,Mississippi,"DRUM, RED",0.2,447,625
1992,Jan,Mississippi,"DRUM, RED",7.6,"16,810","21,712"
1993,Jan,Mississippi,"DRUM, RED",6.7,"14,681","19,242"
1994,Jan,Mississippi,"DRUM, RED",1.3,"2,793","3,482"
1996,Jan,Mississippi,"DRUM, RED",5.7,"12,529","15,710"
1997,Jan,Mississippi,"DRUM, RED",2.9,"6,307","7,897"
1998,Jan,Mississippi,"DRUM, RED",3,"6,653","9,982"
1999,Jan,Mississippi,"DRUM, RED",1.9,"4,228","7,364"
2000,Jan,Mississippi,"DRUM, RED",2.3,"5,116","9,155"
2001,Jan,Mississippi,"DRUM, RED",3.4,"7,398","11,472"
2002,Jan,Mississippi,"DRUM, RED",0.9,"1,899","2,591"
2003,Jan,Mississippi,"DRUM, RED",0.9,"1,914","2,530"
2004,Jan,Mississippi,"DRUM, RED",1.4,"3,019","4,300"
2005,Jan,Mississippi,"DRUM, RED",2.2,"4,935","5,454"
2006,Jan,Mississippi,"DRUM, RED",1.3,"2,807","3,785"
2007,Jan,Mississippi,"DRUM, RED",2,"4,354","5,914"
2008,Jan,Mississippi,"DRUM, RED",4.3,"9,459","14,210"
2009,Jan,Mississippi,"DRUM, RED",1,"2,303","3,448"
2010,Jan,Mississippi,"DRUM, RED",2.7,"6,036","9,602"
2011,Jan,Mississippi,"DRUM, RED",2.9,"6,486","12,513"
2012,Jan,Mississippi,"DRUM, RED",3.3,"7,262","13,644"
2013,Jan,Mississippi,"DRUM, RED",2.5,"5,565","11,495"
2014,Jan,Mississippi,"DRUM, RED",7.4,"16,280","33,806"
2015,Jan,Mississippi,"DRUM, RED",7.5,"16,603","40,645"
2016,Jan,Mississippi,"DRUM, RED",7,"15,383","36,638"
1990,Jan,Texas,"DRUM, BLACK",60.1,"132,475","64,368"
1991,Jan,Texas,"DRUM, BLACK",65,"143,250","82,749"
1992,Jan,Texas,"DRUM, BLACK",48.8,"107,484","67,866"
