Year,Month,State,Species,Metric Tons,Pounds,$
2014,Jan,Florida West Coast,"FLOUNDER, SOUTHERN",1.2,"2,639","3,635"
2015,Jan,Florida West Coast,"FLOUNDER, SOUTHERN",1.3,"2,837","6,738"
2016,Jan,Florida West Coast,"FLOUNDER, SOUTHERN",0.6,"1,379","3,579"
2000,Jan,Louisiana,"FLOUNDER, SOUTHERN",2.3,"5,009","5,232"
2001,Jan,Louisiana,"FLOUNDER, SOUTHERN",1.9,"4,216","4,797"
2002,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.6,"1,404","1,074"
2003,Jan,Louisiana,"FLOUNDER, SOUTHERN",3.4,"7,568","4,485"
2004,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.5,"1,074",970
2005,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.6,"1,432","1,962"
2006,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.2,447,453
2007,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.1,162,152
2008,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.6,"1,380",981
2009,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.5,997,961
2010,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.7,"1,598","1,563"
2012,Jan,Louisiana,"FLOUNDER, SOUTHERN",0,71,105
2013,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.1,126,267
2014,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.1,176,380
2015,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.1,208,459
2016,Jan,Louisiana,"FLOUNDER, SOUTHERN",0.2,404,825
2015,Jan,Mississippi,"FLOUNDER, SOUTHERN",0,45,111
2016,Jan,Mississippi,"FLOUNDER, SOUTHERN",0,55,151
2015,Jan,Texas,"FLOUNDER, SOUTHERN",0.1,178,415
2016,Jan,Texas,"FLOUNDER, SOUTHERN",0.4,802,"2,985"
2014,Feb,Florida West Coast,"FLOUNDER, SOUTHERN",1.9,"4,184","8,046"
2015,Feb,Florida West Coast,"FLOUNDER, SOUTHERN",1.7,"3,845","10,366"
2016,Feb,Florida West Coast,"FLOUNDER, SOUTHERN",0.5,"1,035","2,343"
2000,Feb,Louisiana,"FLOUNDER, SOUTHERN",1.4,"3,112","3,605"
2001,Feb,Louisiana,"FLOUNDER, SOUTHERN",2.1,"4,532","5,259"
2002,Feb,Louisiana,"FLOUNDER, SOUTHERN",0.4,786,487
2003,Feb,Louisiana,"FLOUNDER, SOUTHERN",0.1,217,187
