Species,FisheriesGrp
AMBERJACK,large pelagics
"AMBERJACK, GREATER",large pelagics
"AMBERJACK, LESSER",large pelagics
BARRACUDAS,large pelagics
BASS LONGTAIL,snapper_grouper
"BONITO, ATLANTIC",large pelagics
BUTTERFISH,butterfishes
"CATFISH, BLUE",small demersal
"CATFISH, CHANNEL",small demersal
"CATFISH, FLATHEAD",small demersal
CATFISHES & BULLHEADS,small demersal
COBIA,large pelagics
"CROAKER, ATLANTIC",small demersal
"DRUM, BLACK",large demersal
"DRUM, RED",red drum
DRUMS,large demersal
"FLOUNDER, SOUTHERN",large flatfish
"GROUPER, BLACK",snapper_grouper
"GROUPER, GOLIATH",snapper_grouper
"GROUPER, MARBLED",snapper_grouper
"GROUPER, RED",snapper_grouper
"GROUPER, SNOWY",snapper_grouper
"GROUPER, WARSAW",snapper_grouper
"GROUPER, YELLOWEDGE",snapper_grouper
"GROUPER, YELLOWFIN",snapper_grouper
"GROUPER, YELLOWMOUTH",snapper_grouper
GROUPERS,snapper_grouper
GRUNTS,reef invert feeder
"HAKE, ATLANTIC RED/WHITE",large demersal
HERRINGS,herrings
"HIND, RED",snapper_grouper
"HIND, ROCK",snapper_grouper
"HIND, SPECKLED",snapper_grouper
"JACK, ALMACO",large pelagics
"JACK, BAR",large pelagics
"JACK, BLACK",large pelagics
"JACK, CREVALLE",large pelagics
"JACK, HORSE-EYE",large pelagics
JACKS,large pelagics
LADYFISH,small pelagics
LEATHERJACKET,reef piscivore
"MACKEREL, KING",large pelagics
"MACKEREL, KING AND CERO",large pelagics
"MACKEREL, SCOMBER",large pelagics
"MACKEREL, SPANISH",large pelagics
MENHADEN,menhaden
"MULLET, STRIPED (LIZA)",mullet
"MULLET, WHITE",mullet
MULLETS,mullet
"POMPANO, AFRICAN",large pelagics
"POMPANO, FLORIDA",large pelagics
"PORGY, JOLTHEAD",reef invert feeder
"PORGY, KNOBBED",reef invert feeder
"PORGY, RED",reef invert feeder
"PORGY, WHITEBONE",reef invert feeder
"RAY, BAT",skates and rays
"RAY, STINGRAYS",skates and rays
RAYS,skates and rays
"RUNNER, BLUE",small pelagics
"RUNNER, RAINBOW",reef piscivore
SCAMP,snapper_grouper
"SCORPIONFISH, SPINYCHEEK",reef invert feeder
"SCORPIONFISH, SPOTTED",reef invert feeder
SCORPIONFISHES,reef invert feeder
"SEATROUT, SAND",small demersal
"SEATROUT, SPOTTED",small demersal
"SHAD, AMERICAN",herrings
"SHAD, GIZZARD",herrings
"SHAD, THREADFIN",herrings
"SHARK, ATLANTIC SHARPNOSE",small coastal sharks
"SHARK, BLACKTIP",large coastal sharks
"SHARK, BULL",large coastal sharks
"SHARK, DUSKY",large coastal sharks
"SHARK, FINETOOTH",small coastal sharks
"SHARK, LEMON",large coastal sharks
"SHARK, LONGFIN MAKO",offshore sharks
"SHARK, PORBEAGLE",offshore sharks
"SHARK, SANDBAR",large coastal sharks
"SHARK, SHORTFIN MAKO",offshore sharks
"SHARK, SPINNER",large coastal sharks
"SHARK, THRESHER",offshore sharks
"SHARK, TIGER",offshore sharks
SHARKS,small coastal sharks
SHEEPSHEAD,reef invert feeder
"SNAPPER, BLACK",snapper_grouper
"SNAPPER, BLACKFIN",snapper_grouper
"SNAPPER, CUBERA",snapper_grouper
"SNAPPER, DOG",snapper_grouper
"SNAPPER, GRAY",snapper_grouper
"SNAPPER, LANE",snapper_grouper
"SNAPPER, MAHOGANY",snapper_grouper
"SNAPPER, MUTTON",snapper_grouper
"SNAPPER, QUEEN",snapper_grouper
"SNAPPER, RED",snapper_grouper
"SNAPPER, SILK",snapper_grouper
"SNAPPER, VERMILION",snapper_grouper
"SNAPPER, YELLOWTAIL",snapper_grouper
SNAPPERS,snapper_grouper
SPADEFISHES,reef invert feeder
SPOT,small demersal
SQUIRRELFISHES,reef invert feeder
"TILEFISH, BLACKLINE",large demersal
"TILEFISH, BLUELINE",large demersal
"TILEFISH, GOLDEN",large demersal
"TILEFISH, GOLDFACE",large demersal
TILEFISHES,large demersal
"TRIGGERFISH, GRAY",reef invert feeder
"TRIGGERFISH, QUEEN",reef invert feeder
TRIPLETAIL,ignore
WENCHMAN,snapper_grouper
"CRAB, BLUE",blue crab
"CRAB, BLUE, PEELER",blue crab
"CRAB, BLUE, SOFT AND PEELER",blue crab
"CRAB, BLUE, SOFT",blue crab
"SHRIMP, BROWN",penaeid shrimp
"SHRIMP, PINK",penaeid shrimp
"SHRIMP, WHITE",penaeid shrimp
