Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,"GROUPER, BLACK",0,7,19
2002,Jan,Alabama,"GROUPER, RED",0.1,190,218
2004,Jan,Alabama,"GROUPER, RED",0.1,182,456
2005,Jan,Alabama,"GROUPER, RED",0.1,245,678
2009,Jan,Alabama,"GROUPER, RED",0.1,129,327
2002,Jan,Alabama,"GROUPER, SNOWY",0,64,151
2009,Jan,Alabama,"GROUPER, SNOWY",0.3,736,"1,736"
2009,Jan,Alabama,"GROUPER, WARSAW",0.1,209,567
2002,Jan,Alabama,"GROUPER, YELLOWEDGE",0.9,"1,980","4,929"
2004,Jan,Alabama,"GROUPER, YELLOWEDGE",0.8,"1,864","4,778"
2005,Jan,Alabama,"GROUPER, YELLOWEDGE",0.7,"1,645","4,281"
2009,Jan,Alabama,"GROUPER, YELLOWEDGE",0.9,"1,922","5,550"
1990,Jan,Alabama,GROUPERS,0.7,"1,438","2,375"
2002,Jan,Alabama,GROUPERS,0.2,385,778
1990,Jan,Florida West Coast,"GROUPER, BLACK",82.6,"182,193","389,071"
1991,Jan,Florida West Coast,"GROUPER, BLACK",37.2,"82,118","184,286"
1992,Jan,Florida West Coast,"GROUPER, BLACK",24.3,"53,589","102,546"
1993,Jan,Florida West Coast,"GROUPER, BLACK",23.1,"51,017","91,968"
1994,Jan,Florida West Coast,"GROUPER, BLACK",20.9,"46,035","100,398"
1995,Jan,Florida West Coast,"GROUPER, BLACK",17.6,"38,864","84,433"
1996,Jan,Florida West Coast,"GROUPER, BLACK",18.8,"41,362","91,196"
1997,Jan,Florida West Coast,"GROUPER, BLACK",16.3,"35,977","84,342"
1998,Jan,Florida West Coast,"GROUPER, BLACK",19.7,"43,461","99,707"
1999,Jan,Florida West Coast,"GROUPER, BLACK",19.4,"42,754","104,104"
2000,Jan,Florida West Coast,"GROUPER, BLACK",19,"41,828","108,422"
2001,Jan,Florida West Coast,"GROUPER, BLACK",28.2,"62,210","163,800"
2002,Jan,Florida West Coast,"GROUPER, BLACK",26.6,"58,631","148,259"
2003,Jan,Florida West Coast,"GROUPER, BLACK",27.3,"60,232","147,245"
2004,Jan,Florida West Coast,"GROUPER, BLACK",31.7,"69,886","187,583"
2005,Jan,Florida West Coast,"GROUPER, BLACK",12.1,"26,773","73,676"
2006,Jan,Florida West Coast,"GROUPER, BLACK",20.4,"45,041","127,830"
2007,Jan,Florida West Coast,"GROUPER, BLACK",7.3,"16,117","52,774"
2008,Jan,Florida West Coast,"GROUPER, BLACK",5.1,"11,313","36,801"
2009,Jan,Florida West Coast,"GROUPER, BLACK",2.6,"5,699","18,376"
2010,Jan,Florida West Coast,"GROUPER, BLACK",0.8,"1,723","5,947"
2011,Jan,Florida West Coast,"GROUPER, BLACK",0.8,"1,682","5,740"
2012,Jan,Florida West Coast,"GROUPER, BLACK",2.1,"4,642","16,774"
2013,Jan,Florida West Coast,"GROUPER, BLACK",2.8,"6,081","22,550"
2014,Jan,Florida West Coast,"GROUPER, BLACK",1.7,"3,748","14,967"
2015,Jan,Florida West Coast,"GROUPER, BLACK",1.7,"3,757","15,353"
2016,Jan,Florida West Coast,"GROUPER, BLACK",1.3,"2,768","11,913"
1990,Jan,Florida West Coast,"GROUPER, GOLIATH",2.9,"6,362","4,664"
2002,Jan,Florida West Coast,"GROUPER, MISTY",0,51,86
1990,Jan,Florida West Coast,"GROUPER, NASSAU",0,38,62
1991,Jan,Florida West Coast,"GROUPER, NASSAU",0,40,75
1993,Jan,Florida West Coast,"GROUPER, NASSAU",0.1,201,322
1994,Jan,Florida West Coast,"GROUPER, NASSAU",0.2,414,618
1990,Jan,Florida West Coast,"GROUPER, RED",312.4,"688,771","1,186,054"
1991,Jan,Florida West Coast,"GROUPER, RED",184.8,"407,381","848,969"
1992,Jan,Florida West Coast,"GROUPER, RED",151.8,"334,704","571,686"
1993,Jan,Florida West Coast,"GROUPER, RED",219,"482,891","784,794"
1994,Jan,Florida West Coast,"GROUPER, RED",125.1,"275,883","524,697"
1995,Jan,Florida West Coast,"GROUPER, RED",144.4,"318,324","606,515"
1996,Jan,Florida West Coast,"GROUPER, RED",165.8,"365,581","694,383"
1997,Jan,Florida West Coast,"GROUPER, RED",198.3,"437,095","884,186"
1998,Jan,Florida West Coast,"GROUPER, RED",144.6,"318,868","662,548"
1999,Jan,Florida West Coast,"GROUPER, RED",232.7,"513,043","1,068,442"
2000,Jan,Florida West Coast,"GROUPER, RED",172.3,"379,952","801,713"
2001,Jan,Florida West Coast,"GROUPER, RED",261.7,"576,907","1,274,053"
2002,Jan,Florida West Coast,"GROUPER, RED",281.9,"621,544","1,268,121"
2003,Jan,Florida West Coast,"GROUPER, RED",242.6,"534,837","1,057,234"
2004,Jan,Florida West Coast,"GROUPER, RED",258.5,"569,883","1,264,405"
2005,Jan,Florida West Coast,"GROUPER, RED",327.2,"721,448","1,610,466"
2006,Jan,Florida West Coast,"GROUPER, RED",260.1,"573,465","1,300,157"
2007,Jan,Florida West Coast,"GROUPER, RED",101.8,"224,448","618,854"
2008,Jan,Florida West Coast,"GROUPER, RED",111.6,"245,994","613,754"
2009,Jan,Florida West Coast,"GROUPER, RED",173.8,"383,263","852,837"
2010,Jan,Florida West Coast,"GROUPER, RED",114.8,"253,038","672,951"
2011,Jan,Florida West Coast,"GROUPER, RED",177.8,"392,047","1,000,160"
2012,Jan,Florida West Coast,"GROUPER, RED",238.3,"525,250","1,383,842"
2013,Jan,Florida West Coast,"GROUPER, RED",182.5,"402,374","1,154,495"
2014,Jan,Florida West Coast,"GROUPER, RED",176.9,"389,965","1,208,650"
2015,Jan,Florida West Coast,"GROUPER, RED",189.5,"417,694","1,415,161"
2016,Jan,Florida West Coast,"GROUPER, RED",92.7,"204,446","694,272"
1990,Jan,Florida West Coast,"GROUPER, SNOWY",3.9,"8,538","12,423"
1991,Jan,Florida West Coast,"GROUPER, SNOWY",2.4,"5,349","10,942"
1992,Jan,Florida West Coast,"GROUPER, SNOWY",3.2,"7,097","12,215"
1993,Jan,Florida West Coast,"GROUPER, SNOWY",2.9,"6,332","10,697"
1994,Jan,Florida West Coast,"GROUPER, SNOWY",1.8,"4,000","7,648"
1995,Jan,Florida West Coast,"GROUPER, SNOWY",3.9,"8,578","16,920"
1996,Jan,Florida West Coast,"GROUPER, SNOWY",3.4,"7,571","14,369"
1997,Jan,Florida West Coast,"GROUPER, SNOWY",2.3,"4,970","9,938"
1998,Jan,Florida West Coast,"GROUPER, SNOWY",4.4,"9,630","19,960"
1999,Jan,Florida West Coast,"GROUPER, SNOWY",6.4,"14,054","30,527"
2000,Jan,Florida West Coast,"GROUPER, SNOWY",5.5,"12,105","25,848"
2001,Jan,Florida West Coast,"GROUPER, SNOWY",9.1,"20,119","47,417"
2002,Jan,Florida West Coast,"GROUPER, SNOWY",6.5,"14,335","32,805"
2003,Jan,Florida West Coast,"GROUPER, SNOWY",3.7,"8,113","18,969"
2004,Jan,Florida West Coast,"GROUPER, SNOWY",6.6,"14,507","33,480"
2005,Jan,Florida West Coast,"GROUPER, SNOWY",20.6,"45,459","105,045"
2006,Jan,Florida West Coast,"GROUPER, SNOWY",12,"26,414","62,454"
2007,Jan,Florida West Coast,"GROUPER, SNOWY",13.9,"30,671","85,046"
2008,Jan,Florida West Coast,"GROUPER, SNOWY",21.9,"48,172","126,987"
2009,Jan,Florida West Coast,"GROUPER, SNOWY",18.3,"40,452","91,738"
2010,Jan,Florida West Coast,"GROUPER, SNOWY",3.9,"8,633","26,095"
2011,Jan,Florida West Coast,"GROUPER, SNOWY",3.2,"7,003","20,367"
2012,Jan,Florida West Coast,"GROUPER, SNOWY",3,"6,531","18,414"
2013,Jan,Florida West Coast,"GROUPER, SNOWY",2.3,"5,072","17,757"
2014,Jan,Florida West Coast,"GROUPER, SNOWY",3.4,"7,548","28,575"
2015,Jan,Florida West Coast,"GROUPER, SNOWY",5.8,"12,839","49,960"
2016,Jan,Florida West Coast,"GROUPER, SNOWY",2.6,"5,725","23,434"
1990,Jan,Florida West Coast,"GROUPER, WARSAW",1.7,"3,680","4,921"
1991,Jan,Florida West Coast,"GROUPER, WARSAW",2.6,"5,805","8,799"
1992,Jan,Florida West Coast,"GROUPER, WARSAW",1.7,"3,657","4,692"
1993,Jan,Florida West Coast,"GROUPER, WARSAW",3.9,"8,541","10,344"
1994,Jan,Florida West Coast,"GROUPER, WARSAW",1.2,"2,537","3,567"
1995,Jan,Florida West Coast,"GROUPER, WARSAW",0.5,"1,004","1,678"
1996,Jan,Florida West Coast,"GROUPER, WARSAW",0.5,"1,130","1,673"
1997,Jan,Florida West Coast,"GROUPER, WARSAW",0.9,"1,880","2,673"
1998,Jan,Florida West Coast,"GROUPER, WARSAW",0.7,"1,497","2,874"
1999,Jan,Florida West Coast,"GROUPER, WARSAW",1.2,"2,699","4,883"
2000,Jan,Florida West Coast,"GROUPER, WARSAW",1.5,"3,211","5,806"
2001,Jan,Florida West Coast,"GROUPER, WARSAW",1.2,"2,707","5,271"
2002,Jan,Florida West Coast,"GROUPER, WARSAW",2.1,"4,625","7,635"
2003,Jan,Florida West Coast,"GROUPER, WARSAW",1.8,"4,002","6,927"
2004,Jan,Florida West Coast,"GROUPER, WARSAW",2.2,"4,807","8,322"
2005,Jan,Florida West Coast,"GROUPER, WARSAW",2.2,"4,781","9,371"
2006,Jan,Florida West Coast,"GROUPER, WARSAW",1.7,"3,800","7,738"
2007,Jan,Florida West Coast,"GROUPER, WARSAW",1,"2,302","5,231"
2008,Jan,Florida West Coast,"GROUPER, WARSAW",0.6,"1,376","2,790"
2009,Jan,Florida West Coast,"GROUPER, WARSAW",1,"2,258","5,099"
2010,Jan,Florida West Coast,"GROUPER, WARSAW",0.3,640,"1,466"
2011,Jan,Florida West Coast,"GROUPER, WARSAW",0.1,293,736
2012,Jan,Florida West Coast,"GROUPER, WARSAW",0.3,681,"1,753"
2013,Jan,Florida West Coast,"GROUPER, WARSAW",1.1,"2,316","5,226"
2014,Jan,Florida West Coast,"GROUPER, WARSAW",0.1,279,764
2015,Jan,Florida West Coast,"GROUPER, WARSAW",0.6,"1,261","3,527"
1990,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",16.2,"35,708","76,827"
1991,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",3.8,"8,358","15,081"
1992,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",14.1,"31,132","61,225"
1993,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",17.5,"38,672","77,171"
1994,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",6.6,"14,529","30,631"
1995,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",15.8,"34,790","80,851"
1996,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",1.5,"3,236","7,176"
1997,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",2,"4,306","10,006"
1998,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",3.1,"6,729","16,666"
1999,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",18,"39,590","90,716"
2000,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",14.9,"32,928","84,369"
2001,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",14.3,"31,595","88,455"
2002,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",6.3,"13,864","36,648"
2003,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",8.9,"19,580","51,158"
2004,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",17.3,"38,242","103,240"
2005,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",37.8,"83,346","219,291"
2006,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",22,"48,484","131,069"
2007,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",47,"103,653","324,990"
2008,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",52,"114,665","354,308"
2009,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",48.7,"107,472","311,400"
2010,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",10.9,"24,079","86,657"
2011,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",5.5,"12,220","42,912"
2012,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",9.5,"20,858","66,547"
2013,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",1,"2,192","8,392"
2014,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",7.5,"16,537","62,325"
2015,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",12.7,"28,021","108,103"
2016,Jan,Florida West Coast,"GROUPER, YELLOWEDGE",2.1,"4,735","19,804"
1990,Jan,Florida West Coast,"GROUPER, YELLOWFIN",0.4,811,"1,641"
1991,Jan,Florida West Coast,"GROUPER, YELLOWFIN",0.3,575,"1,609"
1995,Jan,Florida West Coast,"GROUPER, YELLOWFIN",0,66,117
1997,Jan,Florida West Coast,"GROUPER, YELLOWFIN",0,75,99
2000,Jan,Florida West Coast,"GROUPER, YELLOWFIN",0.2,427,"1,076"
2002,Jan,Florida West Coast,"GROUPER, YELLOWFIN",0,13,33
2004,Jan,Florida West Coast,"GROUPER, YELLOWFIN",0.1,223,483
2005,Jan,Florida West Coast,"GROUPER, YELLOWFIN",0,31,83
2006,Jan,Florida West Coast,"GROUPER, YELLOWFIN",0,41,103
1990,Jan,Florida West Coast,GROUPERS,9.6,"21,177","35,799"
1991,Jan,Florida West Coast,GROUPERS,0.7,"1,645","3,317"
1992,Jan,Florida West Coast,GROUPERS,2.7,"5,934","8,960"
1993,Jan,Florida West Coast,GROUPERS,0.9,"2,076","2,497"
1994,Jan,Florida West Coast,GROUPERS,0.8,"1,846","3,663"
1995,Jan,Florida West Coast,GROUPERS,0.4,804,"1,504"
1996,Jan,Florida West Coast,GROUPERS,0.1,285,276
1997,Jan,Florida West Coast,GROUPERS,0.1,151,188
1998,Jan,Florida West Coast,GROUPERS,0.2,459,"1,029"
1999,Jan,Florida West Coast,GROUPERS,0.2,344,439
2001,Jan,Florida West Coast,GROUPERS,0.1,116,239
2002,Jan,Florida West Coast,GROUPERS,0,99,172
2003,Jan,Florida West Coast,GROUPERS,0.6,"1,239","3,231"
2004,Jan,Florida West Coast,GROUPERS,0,45,57
2005,Jan,Florida West Coast,GROUPERS,0.1,212,344
1990,Jan,Louisiana,"GROUPER, BLACK",2,"4,506","6,211"
1991,Jan,Louisiana,"GROUPER, BLACK",0.3,711,"1,281"
1999,Jan,Louisiana,"GROUPER, BLACK",0.4,921,"2,072"
2000,Jan,Louisiana,"GROUPER, BLACK",0.4,855,"1,842"
2002,Jan,Louisiana,"GROUPER, BLACK",0.1,162,372
2003,Jan,Louisiana,"GROUPER, BLACK",0.9,"1,980","3,959"
1991,Jan,Louisiana,"GROUPER, MARBLED",0.1,192,255
1993,Jan,Louisiana,"GROUPER, MARBLED",1.4,"3,119","3,740"
1995,Jan,Louisiana,"GROUPER, MARBLED",0.9,"1,902","3,524"
1997,Jan,Louisiana,"GROUPER, MARBLED",0.1,311,384
1998,Jan,Louisiana,"GROUPER, MARBLED",0.3,579,945
1999,Jan,Louisiana,"GROUPER, MARBLED",0.1,211,428
2000,Jan,Louisiana,"GROUPER, MARBLED",0.1,142,206
2002,Jan,Louisiana,"GROUPER, MARBLED",0.1,163,249
2003,Jan,Louisiana,"GROUPER, MARBLED",0,47,89
2005,Jan,Louisiana,"GROUPER, MARBLED",0.1,294,594
2002,Jan,Louisiana,"GROUPER, RED",0,15,26
2005,Jan,Louisiana,"GROUPER, RED",0,45,92
1990,Jan,Louisiana,"GROUPER, SNOWY",0.7,"1,612","1,863"
1993,Jan,Louisiana,"GROUPER, SNOWY",1.4,"3,048","5,464"
1999,Jan,Louisiana,"GROUPER, SNOWY",0.5,"1,148","2,334"
2000,Jan,Louisiana,"GROUPER, SNOWY",0.8,"1,704","4,262"
2001,Jan,Louisiana,"GROUPER, SNOWY",0.2,480,890
2002,Jan,Louisiana,"GROUPER, SNOWY",0.7,"1,632","4,350"
2003,Jan,Louisiana,"GROUPER, SNOWY",0.4,966,"1,724"
2004,Jan,Louisiana,"GROUPER, SNOWY",1.7,"3,694","7,810"
2005,Jan,Louisiana,"GROUPER, SNOWY",2.6,"5,789","12,799"
2006,Jan,Louisiana,"GROUPER, SNOWY",3,"6,525","14,294"
2008,Jan,Louisiana,"GROUPER, SNOWY",1.5,"3,307","9,265"
2009,Jan,Louisiana,"GROUPER, SNOWY",2,"4,300","11,035"
1990,Jan,Louisiana,"GROUPER, WARSAW",1.2,"2,645","3,191"
1991,Jan,Louisiana,"GROUPER, WARSAW",1.3,"2,876","3,589"
1992,Jan,Louisiana,"GROUPER, WARSAW",1.9,"4,144","5,641"
1993,Jan,Louisiana,"GROUPER, WARSAW",1.1,"2,452","3,431"
1994,Jan,Louisiana,"GROUPER, WARSAW",0.6,"1,257","1,639"
1995,Jan,Louisiana,"GROUPER, WARSAW",0.2,456,738
1996,Jan,Louisiana,"GROUPER, WARSAW",1.1,"2,385","3,954"
1997,Jan,Louisiana,"GROUPER, WARSAW",0.3,599,"1,180"
1998,Jan,Louisiana,"GROUPER, WARSAW",0.3,708,"1,410"
1999,Jan,Louisiana,"GROUPER, WARSAW",0.7,"1,611","3,215"
2000,Jan,Louisiana,"GROUPER, WARSAW",2.5,"5,567","10,347"
2001,Jan,Louisiana,"GROUPER, WARSAW",0.9,"1,887","3,805"
2002,Jan,Louisiana,"GROUPER, WARSAW",0.8,"1,850","3,411"
