Year,Month,State,Species,Metric Tons,Pounds,$
1990,Jan,Florida West Coast,GRUNTS,16.9,"37,258","12,350"
1991,Jan,Florida West Coast,GRUNTS,10.4,"22,980","11,447"
1992,Jan,Florida West Coast,GRUNTS,11.6,"25,662","10,587"
1993,Jan,Florida West Coast,GRUNTS,11.1,"24,432","11,417"
1994,Jan,Florida West Coast,GRUNTS,10.8,"23,732","11,765"
1995,Jan,Florida West Coast,GRUNTS,15.2,"33,507","16,066"
1996,Jan,Florida West Coast,GRUNTS,8.5,"18,848","15,539"
1997,Jan,Florida West Coast,GRUNTS,13.1,"28,967","21,747"
1998,Jan,Florida West Coast,GRUNTS,14.5,"32,020","26,062"
1999,Jan,Florida West Coast,GRUNTS,17.3,"38,177","28,105"
2000,Jan,Florida West Coast,GRUNTS,19.5,"43,059","31,269"
2001,Jan,Florida West Coast,GRUNTS,18.3,"40,368","31,075"
2002,Jan,Florida West Coast,GRUNTS,20.2,"44,598","30,025"
2003,Jan,Florida West Coast,GRUNTS,8.8,"19,368","13,479"
2004,Jan,Florida West Coast,GRUNTS,15.3,"33,663","22,820"
2005,Jan,Florida West Coast,GRUNTS,13.2,"29,016","21,508"
2006,Jan,Florida West Coast,GRUNTS,2.9,"6,304","5,546"
2007,Jan,Florida West Coast,GRUNTS,2,"4,493","4,020"
2008,Jan,Florida West Coast,GRUNTS,3.1,"6,756","6,010"
2009,Jan,Florida West Coast,GRUNTS,6.7,"14,867","13,648"
2010,Jan,Florida West Coast,GRUNTS,4.5,"9,960","10,704"
2011,Jan,Florida West Coast,GRUNTS,3.6,"8,007","7,673"
2012,Jan,Florida West Coast,GRUNTS,14.9,"32,807","29,298"
2013,Jan,Florida West Coast,GRUNTS,18.8,"41,493","47,873"
2014,Jan,Florida West Coast,GRUNTS,7,"15,431","23,322"
2015,Jan,Florida West Coast,GRUNTS,5,"10,990","22,358"
2016,Jan,Florida West Coast,GRUNTS,5.4,"11,857","22,241"
2000,Jan,Louisiana,GRUNTS,0.1,269,137
2002,Jan,Louisiana,GRUNTS,0.1,178,89
1990,Feb,Florida West Coast,GRUNTS,8,"17,615","6,523"
1991,Feb,Florida West Coast,GRUNTS,16,"35,313","14,615"
1992,Feb,Florida West Coast,GRUNTS,10.4,"22,950","11,186"
1993,Feb,Florida West Coast,GRUNTS,13.6,"30,022","13,679"
1994,Feb,Florida West Coast,GRUNTS,12,"26,466","14,425"
1995,Feb,Florida West Coast,GRUNTS,9.7,"21,410","13,788"
1996,Feb,Florida West Coast,GRUNTS,8.8,"19,471","14,089"
1997,Feb,Florida West Coast,GRUNTS,14.1,"31,153","22,962"
1998,Feb,Florida West Coast,GRUNTS,8.7,"19,105","14,998"
1999,Feb,Florida West Coast,GRUNTS,22.2,"48,911","32,158"
2000,Feb,Florida West Coast,GRUNTS,17.4,"38,290","30,441"
2001,Feb,Florida West Coast,GRUNTS,25.9,"57,153","44,009"
2002,Feb,Florida West Coast,GRUNTS,14.9,"32,881","23,178"
2003,Feb,Florida West Coast,GRUNTS,8.1,"17,956","12,410"
2004,Feb,Florida West Coast,GRUNTS,12.4,"27,303","19,435"
2005,Feb,Florida West Coast,GRUNTS,13.7,"30,231","25,838"
2006,Feb,Florida West Coast,GRUNTS,3.8,"8,396","7,815"
2007,Feb,Florida West Coast,GRUNTS,2.3,"5,175","4,360"
2008,Feb,Florida West Coast,GRUNTS,7.3,"16,149","14,679"
2009,Feb,Florida West Coast,GRUNTS,7.8,"17,231","15,033"
2010,Feb,Florida West Coast,GRUNTS,3.1,"6,804","5,948"
2011,Feb,Florida West Coast,GRUNTS,4.2,"9,326","9,108"
2012,Feb,Florida West Coast,GRUNTS,15,"33,049","33,204"
2013,Feb,Florida West Coast,GRUNTS,16.6,"36,655","46,129"
2014,Feb,Florida West Coast,GRUNTS,9.1,"20,167","24,199"
