Year,Month,State,Species,Metric Tons,Pounds,$
1992,Jan,Florida West Coast,"HAKE, ATLANTIC, RED/WHITE",0.8,"1,667","1,651"
1993,Jan,Florida West Coast,"HAKE, ATLANTIC, RED/WHITE",0.1,276,293
1994,Jan,Florida West Coast,"HAKE, ATLANTIC, RED/WHITE",0.1,133,153
1993,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,375,188
1996,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",1.1,"2,407","1,537"
1997,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.1,186,169
2000,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.9,"1,874","2,548"
2001,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,332,308
2002,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,381,425
2003,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.1,240,215
2004,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.1,305,278
2005,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,447,403
2006,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.5,"1,087",975
2009,Jan,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.1,157,153
1992,Feb,Florida West Coast,"HAKE, ATLANTIC, RED/WHITE",0,77,68
1993,Feb,Florida West Coast,"HAKE, ATLANTIC, RED/WHITE",0.1,185,185
1994,Feb,Florida West Coast,"HAKE, ATLANTIC, RED/WHITE",0.1,301,301
1993,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.3,583,290
1994,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",1.1,"2,325","1,032"
1995,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",1.5,"3,197","1,785"
1999,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.3,554,431
2000,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.4,908,863
2001,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,432,417
2002,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.5,"1,062",964
2003,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,438,407
2004,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.3,743,665
2005,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,544,490
2006,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.4,798,753
2007,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,469,443
2008,Feb,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.1,326,304
1993,Mar,Florida West Coast,"HAKE, ATLANTIC, RED/WHITE",0.2,339,342
1994,Mar,Florida West Coast,"HAKE, ATLANTIC, RED/WHITE",0.2,351,380
2012,Mar,Florida West Coast,"HAKE, ATLANTIC, RED/WHITE",0.2,421,592
1992,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.4,878,450
1994,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",2.5,"5,440","3,561"
1995,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.8,"1,832",998
1996,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.4,947,649
1998,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0,103,89
1999,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",1,"2,196","2,020"
2000,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.7,"1,504","1,494"
2001,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.3,658,625
2002,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.5,"1,052",890
2003,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,422,365
2004,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,420,393
2005,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.1,296,283
2006,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.1,191,182
2007,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,381,347
2008,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.5,"1,132","1,250"
2010,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.4,991,"1,142"
2013,Mar,Louisiana,"HAKE, ATLANTIC, RED/WHITE",0.2,528,579
1991,Apr,Florida West Coast,"HAKE, ATLANTIC, RED/WHITE",0.2,491,491
