Year,Month,State,Species,Metric Tons,Pounds,$
2000,Jan,Louisiana,HERRINGS,69.1,"152,436","16,481"
2001,Jan,Louisiana,HERRINGS,190.9,"420,774","43,887"
2002,Jan,Louisiana,HERRINGS,140.6,"309,869","35,997"
2003,Jan,Louisiana,HERRINGS,25.5,"56,152","7,144"
2004,Jan,Louisiana,HERRINGS,138.8,"305,966","35,347"
2005,Jan,Louisiana,HERRINGS,40.6,"89,464","12,936"
2006,Jan,Louisiana,HERRINGS,54.8,"120,734","20,931"
2007,Jan,Louisiana,HERRINGS,95.7,"210,950","35,481"
2008,Jan,Louisiana,HERRINGS,89.7,"197,649","39,919"
2009,Jan,Louisiana,HERRINGS,136.8,"301,510","59,260"
2010,Jan,Louisiana,HERRINGS,12.2,"26,921","5,266"
2011,Jan,Louisiana,HERRINGS,77.9,"171,715","35,940"
2012,Jan,Louisiana,HERRINGS,80.5,"177,442","64,687"
2013,Jan,Louisiana,HERRINGS,104.1,"229,462","57,142"
2014,Jan,Louisiana,HERRINGS,108.3,"238,827","52,593"
2015,Jan,Louisiana,HERRINGS,48.1,"105,986","23,349"
2016,Jan,Louisiana,HERRINGS,29.8,"65,592","16,877"
2003,Jan,Texas,HERRINGS,0,41,66
2004,Jan,Texas,HERRINGS,0,52,83
2005,Jan,Texas,HERRINGS,0.1,155,165
2000,Feb,Louisiana,HERRINGS,33.7,"74,368","8,249"
2001,Feb,Louisiana,HERRINGS,394.6,"870,029","88,036"
2002,Feb,Louisiana,HERRINGS,60.9,"134,238","16,597"
2003,Feb,Louisiana,HERRINGS,32.9,"72,552","8,840"
2004,Feb,Louisiana,HERRINGS,72.5,"159,751","19,863"
2005,Feb,Louisiana,HERRINGS,54.3,"119,616","18,968"
2006,Feb,Louisiana,HERRINGS,123.8,"272,957","39,845"
2007,Feb,Louisiana,HERRINGS,143.5,"316,373","48,874"
2008,Feb,Louisiana,HERRINGS,209.9,"462,798","87,881"
2009,Feb,Louisiana,HERRINGS,191.2,"421,475","84,997"
2010,Feb,Louisiana,HERRINGS,12.4,"27,233","5,410"
2011,Feb,Louisiana,HERRINGS,81.8,"180,327","42,849"
2012,Feb,Louisiana,HERRINGS,33,"72,652","25,610"
2013,Feb,Louisiana,HERRINGS,30.5,"67,309","12,955"
2014,Feb,Louisiana,HERRINGS,205.8,"453,637","103,412"
2015,Feb,Louisiana,HERRINGS,82.8,"182,531","41,747"
2016,Feb,Louisiana,HERRINGS,59.1,"130,301","30,480"
1999,Feb,Texas,HERRINGS,0.2,415,336
2005,Feb,Texas,HERRINGS,0.1,152,165
2010,Feb,Texas,HERRINGS,0.3,731,770
2012,Feb,Texas,HERRINGS,0,27,35
2014,Mar,Florida West Coast,HERRINGS,3.5,"7,624","2,562"
2000,Mar,Louisiana,HERRINGS,109.4,"241,132","26,132"
2001,Mar,Louisiana,HERRINGS,111.1,"244,903","24,775"
2002,Mar,Louisiana,HERRINGS,109.7,"241,846","29,780"
2003,Mar,Louisiana,HERRINGS,122.3,"269,542","36,506"
2004,Mar,Louisiana,HERRINGS,70.1,"154,455","21,194"
2005,Mar,Louisiana,HERRINGS,86.2,"190,120","30,058"
2006,Mar,Louisiana,HERRINGS,93.3,"205,662","25,621"
2007,Mar,Louisiana,HERRINGS,105.6,"232,774","34,526"
2008,Mar,Louisiana,HERRINGS,174.2,"384,092","77,160"
2009,Mar,Louisiana,HERRINGS,144.9,"319,468","62,997"
2010,Mar,Louisiana,HERRINGS,52.3,"115,381","22,380"
2011,Mar,Louisiana,HERRINGS,85.6,"188,800","36,638"
2012,Mar,Louisiana,HERRINGS,36.1,"79,598","16,620"
2013,Mar,Louisiana,HERRINGS,60,"132,202","28,428"
2014,Mar,Louisiana,HERRINGS,113.2,"249,503","55,026"
2015,Mar,Louisiana,HERRINGS,90.8,"200,222","50,909"
2016,Mar,Louisiana,HERRINGS,73.8,"162,674","39,753"
1992,Mar,Texas,HERRINGS,1,"2,213",200
1997,Mar,Texas,HERRINGS,0.3,750,365
1999,Mar,Texas,HERRINGS,0.1,115,96
2000,Mar,Texas,HERRINGS,0.2,507,535
2002,Mar,Texas,HERRINGS,0.2,450,450
2003,Mar,Texas,HERRINGS,0.2,336,386
2004,Mar,Texas,HERRINGS,0.2,366,417
2005,Mar,Texas,HERRINGS,0.3,718,733
2006,Mar,Texas,HERRINGS,0.2,397,352
2007,Mar,Texas,HERRINGS,0.7,"1,531","1,531"
2009,Mar,Texas,HERRINGS,0.2,346,471
2010,Mar,Texas,HERRINGS,0,59,69
2011,Mar,Texas,HERRINGS,0.2,413,465
2012,Mar,Texas,HERRINGS,0.5,"1,191","1,289"
2013,Mar,Texas,HERRINGS,0.1,172,195
2015,Mar,Texas,HERRINGS,0.1,255,212
2016,Mar,Texas,HERRINGS,0.3,740,795
2014,Apr,Florida West Coast,HERRINGS,0.5,"1,110","1,060"
2015,Apr,Florida West Coast,HERRINGS,1.8,"3,874","1,833"
2000,Apr,Louisiana,HERRINGS,44.3,"97,620","10,174"
2001,Apr,Louisiana,HERRINGS,18,"39,731","4,371"
2002,Apr,Louisiana,HERRINGS,16.4,"36,064","4,929"
2003,Apr,Louisiana,HERRINGS,43.4,"95,603","13,295"
2004,Apr,Louisiana,HERRINGS,26.9,"59,340","8,073"
2005,Apr,Louisiana,HERRINGS,31.8,"69,997","12,529"
2006,Apr,Louisiana,HERRINGS,11.1,"24,545","3,753"
2007,Apr,Louisiana,HERRINGS,51.1,"112,714","19,177"
2008,Apr,Louisiana,HERRINGS,57.6,"127,063","26,040"
2009,Apr,Louisiana,HERRINGS,56.9,"125,354","24,592"
2011,Apr,Louisiana,HERRINGS,27.7,"60,990","12,028"
2013,Apr,Louisiana,HERRINGS,30.8,"67,800","48,227"
2014,Apr,Louisiana,HERRINGS,88.4,"194,841","46,464"
2015,Apr,Louisiana,HERRINGS,37.3,"82,171","21,516"
2016,Apr,Louisiana,HERRINGS,33.8,"74,408","19,510"
1992,Apr,Texas,HERRINGS,5.1,"11,175",819
1996,Apr,Texas,HERRINGS,0.2,524,263
1997,Apr,Texas,HERRINGS,0.2,529,392
1998,Apr,Texas,HERRINGS,0.3,588,418
1999,Apr,Texas,HERRINGS,0.4,904,638
2000,Apr,Texas,HERRINGS,1,"2,198","1,404"
2001,Apr,Texas,HERRINGS,0.5,"1,205",763
2002,Apr,Texas,HERRINGS,0.6,"1,394","1,056"
2003,Apr,Texas,HERRINGS,0.9,"1,968","1,987"
2004,Apr,Texas,HERRINGS,0.9,"1,891","1,931"
2005,Apr,Texas,HERRINGS,0.8,"1,735","1,735"
2006,Apr,Texas,HERRINGS,3,"6,692","6,403"
2007,Apr,Texas,HERRINGS,0.6,"1,234","1,171"
2008,Apr,Texas,HERRINGS,0.2,357,472
2009,Apr,Texas,HERRINGS,0.5,"1,052","1,300"
2010,Apr,Texas,HERRINGS,0.7,"1,576","1,710"
2011,Apr,Texas,HERRINGS,0.5,"1,204","1,296"
2012,Apr,Texas,HERRINGS,0.5,"1,152","3,835"
2013,Apr,Texas,HERRINGS,0.7,"1,597","2,197"
2014,Apr,Texas,HERRINGS,0.6,"1,312","1,627"
2015,Apr,Texas,HERRINGS,1.2,"2,643","4,189"
2016,Apr,Texas,HERRINGS,0.8,"1,703","13,164"
2014,May,Florida West Coast,HERRINGS,1.2,"2,729","2,104"
2002,May,Louisiana,HERRINGS,8.3,"18,319","2,564"
2004,May,Louisiana,HERRINGS,19.4,"42,858","6,115"
