Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,"JACK, BAR",0,109,57
2009,Jan,Alabama,"JACK, BAR",0.2,387,418
1992,Jan,Florida West Coast,"JACK, ALMACO",0.1,158,78
1993,Jan,Florida West Coast,"JACK, ALMACO",0.2,512,514
1994,Jan,Florida West Coast,"JACK, ALMACO",0.2,385,336
1995,Jan,Florida West Coast,"JACK, ALMACO",0.2,464,527
1996,Jan,Florida West Coast,"JACK, ALMACO",0.2,469,444
1997,Jan,Florida West Coast,"JACK, ALMACO",0.4,856,773
1998,Jan,Florida West Coast,"JACK, ALMACO",0.8,"1,807","1,903"
1999,Jan,Florida West Coast,"JACK, ALMACO",0.4,927,"1,077"
2000,Jan,Florida West Coast,"JACK, ALMACO",1.5,"3,345","2,811"
2001,Jan,Florida West Coast,"JACK, ALMACO",2.6,"5,753","5,318"
2002,Jan,Florida West Coast,"JACK, ALMACO",2.1,"4,691","4,288"
2003,Jan,Florida West Coast,"JACK, ALMACO",2.6,"5,701","5,238"
2004,Jan,Florida West Coast,"JACK, ALMACO",0.8,"1,808","1,873"
2005,Jan,Florida West Coast,"JACK, ALMACO",0.6,"1,292","1,222"
2006,Jan,Florida West Coast,"JACK, ALMACO",0.6,"1,266","1,241"
2007,Jan,Florida West Coast,"JACK, ALMACO",0.8,"1,850","1,656"
2008,Jan,Florida West Coast,"JACK, ALMACO",0.3,688,784
2009,Jan,Florida West Coast,"JACK, ALMACO",1.7,"3,770","4,071"
2010,Jan,Florida West Coast,"JACK, ALMACO",0.6,"1,217","1,172"
2011,Jan,Florida West Coast,"JACK, ALMACO",0.1,157,170
2012,Jan,Florida West Coast,"JACK, ALMACO",0.5,"1,094","1,318"
2013,Jan,Florida West Coast,"JACK, ALMACO",1.3,"2,955","4,072"
2014,Jan,Florida West Coast,"JACK, ALMACO",0.8,"1,710","1,537"
2015,Jan,Florida West Coast,"JACK, ALMACO",0.3,589,818
2016,Jan,Florida West Coast,"JACK, ALMACO",0.4,849,"1,071"
1996,Jan,Florida West Coast,"JACK, BAR",0.1,214,188
1997,Jan,Florida West Coast,"JACK, BAR",0.1,207,164
1998,Jan,Florida West Coast,"JACK, BAR",0,82,48
1999,Jan,Florida West Coast,"JACK, BAR",0.1,158,101
2000,Jan,Florida West Coast,"JACK, BAR",0.1,266,290
2001,Jan,Florida West Coast,"JACK, BAR",0.4,825,755
2002,Jan,Florida West Coast,"JACK, BAR",0.6,"1,419","1,046"
2003,Jan,Florida West Coast,"JACK, BAR",0.9,"2,040","1,501"
2004,Jan,Florida West Coast,"JACK, BAR",0.4,944,899
2005,Jan,Florida West Coast,"JACK, BAR",1.2,"2,572","2,066"
2006,Jan,Florida West Coast,"JACK, BAR",0.6,"1,222","1,121"
2007,Jan,Florida West Coast,"JACK, BAR",0.4,990,876
2008,Jan,Florida West Coast,"JACK, BAR",0.6,"1,419","1,444"
2009,Jan,Florida West Coast,"JACK, BAR",1.5,"3,306","2,638"
2010,Jan,Florida West Coast,"JACK, BAR",1,"2,235","1,837"
2011,Jan,Florida West Coast,"JACK, BAR",0.6,"1,405","1,538"
2012,Jan,Florida West Coast,"JACK, BAR",1.8,"3,955","3,936"
2013,Jan,Florida West Coast,"JACK, BAR",2.1,"4,521","3,866"
2014,Jan,Florida West Coast,"JACK, BAR",0.7,"1,600","1,598"
2015,Jan,Florida West Coast,"JACK, BAR",2.1,"4,523","5,226"
2016,Jan,Florida West Coast,"JACK, BAR",1.4,"3,007","3,540"
1990,Jan,Florida West Coast,"JACK, CREVALLE",20.4,"44,883","10,166"
1991,Jan,Florida West Coast,"JACK, CREVALLE",10.8,"23,721","5,796"
1992,Jan,Florida West Coast,"JACK, CREVALLE",43.7,"96,377","26,716"
1993,Jan,Florida West Coast,"JACK, CREVALLE",31,"68,403","20,171"
1994,Jan,Florida West Coast,"JACK, CREVALLE",22.3,"49,138","16,815"
1995,Jan,Florida West Coast,"JACK, CREVALLE",13.8,"30,370","7,681"
1996,Jan,Florida West Coast,"JACK, CREVALLE",31.9,"70,341","41,565"
1997,Jan,Florida West Coast,"JACK, CREVALLE",21.8,"48,122","28,732"
1998,Jan,Florida West Coast,"JACK, CREVALLE",12.7,"28,024","14,928"
