Year,Month,State,Species,Metric Tons,Pounds,$
1990,Jan,Florida West Coast,LADYFISH,2.4,"5,261",511
1991,Jan,Florida West Coast,LADYFISH,0.8,"1,846",164
1992,Jan,Florida West Coast,LADYFISH,32.5,"71,729","15,347"
1993,Jan,Florida West Coast,LADYFISH,3.1,"6,790","1,019"
1994,Jan,Florida West Coast,LADYFISH,55.8,"123,053","61,810"
1995,Jan,Florida West Coast,LADYFISH,83.2,"183,518","113,686"
1996,Jan,Florida West Coast,LADYFISH,54.1,"119,303","87,531"
1997,Jan,Florida West Coast,LADYFISH,34.5,"76,008","60,529"
1998,Jan,Florida West Coast,LADYFISH,5.9,"12,907","5,579"
1999,Jan,Florida West Coast,LADYFISH,37.1,"81,756","37,832"
2000,Jan,Florida West Coast,LADYFISH,22.6,"49,746","22,594"
2001,Jan,Florida West Coast,LADYFISH,292.6,"644,957","392,613"
2002,Jan,Florida West Coast,LADYFISH,297.4,"655,726","494,634"
2003,Jan,Florida West Coast,LADYFISH,364.4,"803,451","476,085"
2004,Jan,Florida West Coast,LADYFISH,196.5,"433,157","218,341"
2005,Jan,Florida West Coast,LADYFISH,221.2,"487,557","240,988"
2006,Jan,Florida West Coast,LADYFISH,166.1,"366,246","221,387"
2007,Jan,Florida West Coast,LADYFISH,71.1,"156,851","106,671"
2008,Jan,Florida West Coast,LADYFISH,175.8,"387,530","375,608"
2009,Jan,Florida West Coast,LADYFISH,90.2,"198,884","100,931"
2010,Jan,Florida West Coast,LADYFISH,220.3,"485,748","242,709"
2011,Jan,Florida West Coast,LADYFISH,78.6,"173,255","87,118"
2012,Jan,Florida West Coast,LADYFISH,53.8,"118,700","65,785"
2013,Jan,Florida West Coast,LADYFISH,68.3,"150,622","94,940"
2014,Jan,Florida West Coast,LADYFISH,169.2,"373,076","272,905"
2015,Jan,Florida West Coast,LADYFISH,66.2,"146,051","90,615"
2016,Jan,Florida West Coast,LADYFISH,156.7,"345,386","298,299"
1990,Feb,Florida West Coast,LADYFISH,2.3,"5,035",509
1991,Feb,Florida West Coast,LADYFISH,3.4,"7,557",707
1992,Feb,Florida West Coast,LADYFISH,47.1,"103,847","16,815"
1993,Feb,Florida West Coast,LADYFISH,22.7,"50,129","12,706"
1994,Feb,Florida West Coast,LADYFISH,33.5,"73,751","36,080"
1995,Feb,Florida West Coast,LADYFISH,103.3,"227,669","127,069"
1996,Feb,Florida West Coast,LADYFISH,62.9,"138,675","100,703"
1997,Feb,Florida West Coast,LADYFISH,20.4,"44,944","34,625"
1998,Feb,Florida West Coast,LADYFISH,5.9,"13,080","4,574"
1999,Feb,Florida West Coast,LADYFISH,15.8,"34,931","17,171"
2000,Feb,Florida West Coast,LADYFISH,35.5,"78,181","39,408"
2001,Feb,Florida West Coast,LADYFISH,79.9,"176,254","139,193"
2002,Feb,Florida West Coast,LADYFISH,74.8,"164,865","103,582"
2003,Feb,Florida West Coast,LADYFISH,91.1,"200,853","117,775"
2004,Feb,Florida West Coast,LADYFISH,82.3,"181,375","85,072"
2005,Feb,Florida West Coast,LADYFISH,210.6,"464,360","238,917"
2006,Feb,Florida West Coast,LADYFISH,107.5,"237,082","134,399"
2007,Feb,Florida West Coast,LADYFISH,132.8,"292,824","232,995"
2008,Feb,Florida West Coast,LADYFISH,47.1,"103,870","87,727"
2009,Feb,Florida West Coast,LADYFISH,81.8,"180,435","84,941"
2010,Feb,Florida West Coast,LADYFISH,74.2,"163,686","78,200"
2011,Feb,Florida West Coast,LADYFISH,12.6,"27,824","14,354"
2012,Feb,Florida West Coast,LADYFISH,27.6,"60,906","38,814"
2013,Feb,Florida West Coast,LADYFISH,45.9,"101,281","73,379"
2014,Feb,Florida West Coast,LADYFISH,59.2,"130,451","92,051"
2015,Feb,Florida West Coast,LADYFISH,86.2,"189,961","132,016"
2016,Feb,Florida West Coast,LADYFISH,187.1,"412,383","334,998"
1990,Mar,Florida West Coast,LADYFISH,2.5,"5,541",590
1991,Mar,Florida West Coast,LADYFISH,3.4,"7,387",688
1992,Mar,Florida West Coast,LADYFISH,6.1,"13,449","2,020"
1993,Mar,Florida West Coast,LADYFISH,14.3,"31,634","7,705"
1994,Mar,Florida West Coast,LADYFISH,13.6,"30,048","14,041"
1995,Mar,Florida West Coast,LADYFISH,18.5,"40,723","22,561"
1996,Mar,Florida West Coast,LADYFISH,30.8,"67,997","53,602"
1997,Mar,Florida West Coast,LADYFISH,3.1,"6,737","5,585"
1998,Mar,Florida West Coast,LADYFISH,2.9,"6,339","2,641"
1999,Mar,Florida West Coast,LADYFISH,15.6,"34,349","15,959"
2000,Mar,Florida West Coast,LADYFISH,4.9,"10,897","4,323"
2001,Mar,Florida West Coast,LADYFISH,5.2,"11,356","8,682"
2002,Mar,Florida West Coast,LADYFISH,84.3,"185,788","115,507"
