Year,Month,State,Species,Metric Tons,Pounds,$
2014,Jan,Florida West Coast,"MACKEREL, CERO",0.5,"1,049","1,484"
2015,Jan,Florida West Coast,"MACKEREL, CERO",0.2,434,596
2016,Jan,Florida West Coast,"MACKEREL, CERO",0.2,410,569
2002,Jan,Florida West Coast,"MACKEREL, CHUB",0.1,222,56
2014,Jan,Florida West Coast,"MACKEREL, KING",405.9,"894,883","1,151,278"
2015,Jan,Florida West Coast,"MACKEREL, KING",134.6,"296,712","473,951"
2016,Jan,Florida West Coast,"MACKEREL, KING",40.4,"88,994","199,812"
1990,Jan,Florida West Coast,"MACKEREL, KING AND CERO",318.2,"701,518","708,496"
1991,Jan,Florida West Coast,"MACKEREL, KING AND CERO",47.4,"104,589","117,274"
1992,Jan,Florida West Coast,"MACKEREL, KING AND CERO",229.2,"505,223","434,626"
1993,Jan,Florida West Coast,"MACKEREL, KING AND CERO",552.4,"1,217,738","948,646"
1994,Jan,Florida West Coast,"MACKEREL, KING AND CERO",91.2,"201,160","238,594"
1995,Jan,Florida West Coast,"MACKEREL, KING AND CERO",151,"332,863","362,588"
1996,Jan,Florida West Coast,"MACKEREL, KING AND CERO",79.2,"174,515","186,549"
1997,Jan,Florida West Coast,"MACKEREL, KING AND CERO",230.4,"507,931","417,800"
1998,Jan,Florida West Coast,"MACKEREL, KING AND CERO",183.4,"404,405","309,760"
1999,Jan,Florida West Coast,"MACKEREL, KING AND CERO",551.3,"1,215,451","930,058"
2000,Jan,Florida West Coast,"MACKEREL, KING AND CERO",203.6,"448,896","352,521"
2001,Jan,Florida West Coast,"MACKEREL, KING AND CERO",294.9,"650,220","529,947"
2002,Jan,Florida West Coast,"MACKEREL, KING AND CERO",225.6,"497,250","348,235"
2003,Jan,Florida West Coast,"MACKEREL, KING AND CERO",264.4,"582,935","450,349"
2004,Jan,Florida West Coast,"MACKEREL, KING AND CERO",134.9,"297,471","164,311"
2005,Jan,Florida West Coast,"MACKEREL, KING AND CERO",337.9,"745,033","612,778"
2006,Jan,Florida West Coast,"MACKEREL, KING AND CERO",221.9,"489,310","443,048"
2007,Jan,Florida West Coast,"MACKEREL, KING AND CERO",302.7,"667,366","610,130"
2008,Jan,Florida West Coast,"MACKEREL, KING AND CERO",191.4,"421,890","382,191"
2009,Jan,Florida West Coast,"MACKEREL, KING AND CERO",496.1,"1,093,724","944,763"
2010,Jan,Florida West Coast,"MACKEREL, KING AND CERO",454.6,"1,002,186","953,462"
2011,Jan,Florida West Coast,"MACKEREL, KING AND CERO",102.7,"226,519","270,922"
2012,Jan,Florida West Coast,"MACKEREL, KING AND CERO",289.8,"638,866","694,160"
2013,Jan,Florida West Coast,"MACKEREL, KING AND CERO",79.1,"174,324","313,342"
1990,Jan,Florida West Coast,"MACKEREL, SPANISH",293.2,"646,357","304,366"
1991,Jan,Florida West Coast,"MACKEREL, SPANISH",326.7,"720,224","387,864"
1992,Jan,Florida West Coast,"MACKEREL, SPANISH",415.7,"916,423","273,305"
1993,Jan,Florida West Coast,"MACKEREL, SPANISH",215.3,"474,713","157,064"
1994,Jan,Florida West Coast,"MACKEREL, SPANISH",60.5,"133,456","51,836"
1995,Jan,Florida West Coast,"MACKEREL, SPANISH",33.4,"73,618","34,106"
1996,Jan,Florida West Coast,"MACKEREL, SPANISH",7.6,"16,695","9,097"
1997,Jan,Florida West Coast,"MACKEREL, SPANISH",48.5,"106,916","52,595"
1998,Jan,Florida West Coast,"MACKEREL, SPANISH",5.8,"12,886","8,880"
1999,Jan,Florida West Coast,"MACKEREL, SPANISH",18.5,"40,791","29,084"
2000,Jan,Florida West Coast,"MACKEREL, SPANISH",24,"52,930","27,919"
2001,Jan,Florida West Coast,"MACKEREL, SPANISH",4.8,"10,499","8,408"
2002,Jan,Florida West Coast,"MACKEREL, SPANISH",6.2,"13,755","7,809"
2003,Jan,Florida West Coast,"MACKEREL, SPANISH",7.5,"16,526","9,921"
2004,Jan,Florida West Coast,"MACKEREL, SPANISH",2.8,"6,239","3,456"
2005,Jan,Florida West Coast,"MACKEREL, SPANISH",4,"8,743","5,587"
2006,Jan,Florida West Coast,"MACKEREL, SPANISH",16.9,"37,201","21,616"
2007,Jan,Florida West Coast,"MACKEREL, SPANISH",2.2,"4,740","4,078"
2008,Jan,Florida West Coast,"MACKEREL, SPANISH",5.7,"12,616","6,898"
2009,Jan,Florida West Coast,"MACKEREL, SPANISH",57.1,"125,794","62,890"
2010,Jan,Florida West Coast,"MACKEREL, SPANISH",8.6,"18,881","15,491"
2011,Jan,Florida West Coast,"MACKEREL, SPANISH",19.6,"43,308","32,422"
2012,Jan,Florida West Coast,"MACKEREL, SPANISH",11.5,"25,359","18,117"
2013,Jan,Florida West Coast,"MACKEREL, SPANISH",14.3,"31,502","29,271"
2014,Jan,Florida West Coast,"MACKEREL, SPANISH",16.4,"36,175","35,485"
2015,Jan,Florida West Coast,"MACKEREL, SPANISH",5.1,"11,248","12,463"
2016,Jan,Florida West Coast,"MACKEREL, SPANISH",6.8,"14,979","17,592"
2009,Jan,Louisiana,"MACKEREL, KING",2.9,"6,357","8,052"
2002,Jan,Louisiana,"MACKEREL, SPANISH",0,66,28
2002,Feb,Alabama,"MACKEREL, SPANISH",0,34,17
2014,Feb,Florida West Coast,"MACKEREL, CERO",0.3,697,705
2015,Feb,Florida West Coast,"MACKEREL, CERO",0.4,908,"1,574"
2016,Feb,Florida West Coast,"MACKEREL, CERO",0.3,641,998
2014,Feb,Florida West Coast,"MACKEREL, KING",131.7,"290,368","423,571"
2015,Feb,Florida West Coast,"MACKEREL, KING",269.6,"594,458","627,162"
2016,Feb,Florida West Coast,"MACKEREL, KING",203.6,"448,964","635,001"
1990,Feb,Florida West Coast,"MACKEREL, KING AND CERO",13.7,"30,223","31,546"
1991,Feb,Florida West Coast,"MACKEREL, KING AND CERO",3.7,"8,144","8,144"
1992,Feb,Florida West Coast,"MACKEREL, KING AND CERO",11.4,"25,175","23,082"
1993,Feb,Florida West Coast,"MACKEREL, KING AND CERO",9.2,"20,337","21,742"
1994,Feb,Florida West Coast,"MACKEREL, KING AND CERO",30.5,"67,296","88,687"
1995,Feb,Florida West Coast,"MACKEREL, KING AND CERO",232,"511,515","480,838"
1996,Feb,Florida West Coast,"MACKEREL, KING AND CERO",317.6,"700,237","621,846"
1997,Feb,Florida West Coast,"MACKEREL, KING AND CERO",39.6,"87,300","99,478"
1998,Feb,Florida West Coast,"MACKEREL, KING AND CERO",185.5,"408,854","322,287"
1999,Feb,Florida West Coast,"MACKEREL, KING AND CERO",53.1,"116,969","137,657"
2000,Feb,Florida West Coast,"MACKEREL, KING AND CERO",125.4,"276,372","272,130"
2001,Feb,Florida West Coast,"MACKEREL, KING AND CERO",135.3,"298,213","330,638"
2002,Feb,Florida West Coast,"MACKEREL, KING AND CERO",113.1,"249,371","320,190"
2003,Feb,Florida West Coast,"MACKEREL, KING AND CERO",142.7,"314,511","273,197"
2004,Feb,Florida West Coast,"MACKEREL, KING AND CERO",133.3,"293,909","322,475"
2005,Feb,Florida West Coast,"MACKEREL, KING AND CERO",175.3,"386,404","400,369"
2006,Feb,Florida West Coast,"MACKEREL, KING AND CERO",188.8,"416,211","424,358"
2007,Feb,Florida West Coast,"MACKEREL, KING AND CERO",93.7,"206,677","269,364"
2008,Feb,Florida West Coast,"MACKEREL, KING AND CERO",209.9,"462,693","482,822"
2009,Feb,Florida West Coast,"MACKEREL, KING AND CERO",136.8,"301,635","352,393"
2010,Feb,Florida West Coast,"MACKEREL, KING AND CERO",62.5,"137,854","172,556"
2011,Feb,Florida West Coast,"MACKEREL, KING AND CERO",359.5,"792,446","853,379"
2012,Feb,Florida West Coast,"MACKEREL, KING AND CERO",136.8,"301,552","510,392"
2013,Feb,Florida West Coast,"MACKEREL, KING AND CERO",317.4,"699,674","893,071"
1990,Feb,Florida West Coast,"MACKEREL, SPANISH",227.8,"502,308","208,942"
1991,Feb,Florida West Coast,"MACKEREL, SPANISH",40.2,"88,545","39,982"
1992,Feb,Florida West Coast,"MACKEREL, SPANISH",188.1,"414,625","138,458"
1993,Feb,Florida West Coast,"MACKEREL, SPANISH",73.4,"161,752","49,816"
1994,Feb,Florida West Coast,"MACKEREL, SPANISH",216.4,"476,989","188,717"
1995,Feb,Florida West Coast,"MACKEREL, SPANISH",67.1,"147,942","59,994"
1996,Feb,Florida West Coast,"MACKEREL, SPANISH",102.9,"226,895","96,045"
1997,Feb,Florida West Coast,"MACKEREL, SPANISH",28.7,"63,284","32,546"
1998,Feb,Florida West Coast,"MACKEREL, SPANISH",9.8,"21,680","14,695"
1999,Feb,Florida West Coast,"MACKEREL, SPANISH",132.7,"292,488","94,762"
2000,Feb,Florida West Coast,"MACKEREL, SPANISH",193.1,"425,613","155,211"
2001,Feb,Florida West Coast,"MACKEREL, SPANISH",271.3,"598,182","210,356"
2002,Feb,Florida West Coast,"MACKEREL, SPANISH",10.7,"23,533","10,321"
2003,Feb,Florida West Coast,"MACKEREL, SPANISH",249.3,"549,510","201,922"
2004,Feb,Florida West Coast,"MACKEREL, SPANISH",21.8,"48,130","22,669"
2005,Feb,Florida West Coast,"MACKEREL, SPANISH",58,"127,910","74,343"
2006,Feb,Florida West Coast,"MACKEREL, SPANISH",237.4,"523,288","193,674"
2007,Feb,Florida West Coast,"MACKEREL, SPANISH",79.3,"174,860","86,530"
2008,Feb,Florida West Coast,"MACKEREL, SPANISH",122.7,"270,612","130,781"
2009,Feb,Florida West Coast,"MACKEREL, SPANISH",122.8,"270,765","116,611"
2010,Feb,Florida West Coast,"MACKEREL, SPANISH",14.8,"32,548","23,966"
2011,Feb,Florida West Coast,"MACKEREL, SPANISH",33.1,"72,901","49,412"
2012,Feb,Florida West Coast,"MACKEREL, SPANISH",29.2,"64,338","36,057"
2013,Feb,Florida West Coast,"MACKEREL, SPANISH",6.3,"13,946","14,177"
2014,Feb,Florida West Coast,"MACKEREL, SPANISH",57.6,"127,047","76,017"
2015,Feb,Florida West Coast,"MACKEREL, SPANISH",42.1,"92,771","80,281"
2016,Feb,Florida West Coast,"MACKEREL, SPANISH",152.3,"335,831","315,636"
1998,Feb,Louisiana,"MACKEREL, KING AND CERO",27.8,"61,394","60,505"
1992,Feb,Louisiana,"MACKEREL, SPANISH",0,90,24
2002,Feb,Louisiana,"MACKEREL, SPANISH",0,5,3
2003,Feb,Louisiana,"MACKEREL, SPANISH",0,96,66
1990,Mar,Alabama,"MACKEREL, SPANISH",16.1,"35,496","11,602"
1991,Mar,Alabama,"MACKEREL, SPANISH",1.1,"2,425",966
1992,Mar,Alabama,"MACKEREL, SPANISH",18.4,"40,543","13,286"
1997,Mar,Alabama,"MACKEREL, SPANISH",37.3,"82,124","38,262"
2000,Mar,Alabama,"MACKEREL, SPANISH",42.8,"94,293","51,711"
2001,Mar,Alabama,"MACKEREL, SPANISH",24.1,"53,136","28,698"
2002,Mar,Alabama,"MACKEREL, SPANISH",2.2,"4,742","2,372"
2003,Mar,Alabama,"MACKEREL, SPANISH",71.5,"157,535","62,240"
2004,Mar,Alabama,"MACKEREL, SPANISH",7.5,"16,444","9,935"
2006,Mar,Alabama,"MACKEREL, SPANISH",0.8,"1,777","1,094"
2007,Mar,Alabama,"MACKEREL, SPANISH",19.1,"42,156","25,460"
