Year,Month,State,Species,Metric Tons,Pounds,$
1993,Jan,Alabama,MENHADEN,23,"50,752","5,967"
1994,Jan,Alabama,MENHADEN,3.7,"8,124","1,266"
1995,Jan,Alabama,MENHADEN,39,"85,952","8,550"
1996,Jan,Alabama,MENHADEN,3.7,"8,243","1,243"
1997,Jan,Alabama,MENHADEN,0.8,"1,700",225
1998,Jan,Alabama,MENHADEN,1.5,"3,275",442
1999,Jan,Alabama,MENHADEN,6.4,"14,178","1,279"
2000,Jan,Alabama,MENHADEN,3.2,"7,040","1,244"
2001,Jan,Alabama,MENHADEN,3.1,"6,935",694
2002,Jan,Alabama,MENHADEN,0.7,"1,550",140
2003,Jan,Alabama,MENHADEN,0.3,730,72
2004,Jan,Alabama,MENHADEN,1.6,"3,450",385
2005,Jan,Alabama,MENHADEN,0.7,"1,644",189
2006,Jan,Alabama,MENHADEN,0,85,10
2007,Jan,Alabama,MENHADEN,0,96,10
2009,Jan,Alabama,MENHADEN,0.3,682,86
2012,Jan,Alabama,MENHADEN,0.4,888,90
2014,Jan,Alabama,MENHADEN,0,64,6
2015,Jan,Alabama,MENHADEN,0,64,6
2016,Jan,Alabama,MENHADEN,0,6,1
1990,Jan,Florida West Coast,MENHADEN,20.6,"45,481","3,894"
1991,Jan,Florida West Coast,MENHADEN,375.2,"827,161","41,355"
1992,Jan,Florida West Coast,MENHADEN,306.5,"675,633","35,605"
1993,Jan,Florida West Coast,MENHADEN,67.6,"148,921","14,053"
1994,Jan,Florida West Coast,MENHADEN,5.8,"12,726","1,268"
1995,Jan,Florida West Coast,MENHADEN,118.2,"260,494","26,997"
1996,Jan,Florida West Coast,MENHADEN,0.1,230,23
1997,Jan,Florida West Coast,MENHADEN,0.1,120,32
1998,Jan,Florida West Coast,MENHADEN,0.1,200,60
2001,Jan,Florida West Coast,MENHADEN,0,14,6
2002,Jan,Florida West Coast,MENHADEN,5.4,"11,950",590
2003,Jan,Florida West Coast,MENHADEN,1.4,"3,191",553
2004,Jan,Florida West Coast,MENHADEN,1.7,"3,740","1,206"
2006,Jan,Florida West Coast,MENHADEN,0,15,78
2008,Jan,Florida West Coast,MENHADEN,1,"2,261","1,129"
2010,Jan,Florida West Coast,MENHADEN,0,40,40
2011,Jan,Florida West Coast,MENHADEN,0.1,239,36
2012,Jan,Florida West Coast,MENHADEN,0,53,26
2013,Jan,Florida West Coast,MENHADEN,0.2,442,218
2014,Jan,Florida West Coast,MENHADEN,0,1,0
2015,Jan,Florida West Coast,MENHADEN,0,100,100
2016,Jan,Florida West Coast,MENHADEN,0,52,71
1992,Jan,Louisiana,MENHADEN,0.5,"1,062",158
1993,Jan,Louisiana,MENHADEN,1.7,"3,762",564
1998,Jan,Louisiana,MENHADEN,0,2,10
2011,Jan,Louisiana,MENHADEN,43.8,"96,480","11,952"
2015,Jan,Louisiana,MENHADEN,734.9,"1,620,060","222,456"
1992,Feb,Alabama,MENHADEN,10.2,"22,500","2,250"
1993,Feb,Alabama,MENHADEN,16.4,"36,140","4,336"
1994,Feb,Alabama,MENHADEN,9.3,"20,408","2,748"
1995,Feb,Alabama,MENHADEN,8,"17,585","1,699"
1996,Feb,Alabama,MENHADEN,2.6,"5,698",775
1997,Feb,Alabama,MENHADEN,0.5,"1,000",120
1998,Feb,Alabama,MENHADEN,5.7,"12,535","1,835"
1999,Feb,Alabama,MENHADEN,2.7,"5,850",701
2000,Feb,Alabama,MENHADEN,26.1,"57,547","7,281"
2001,Feb,Alabama,MENHADEN,0.1,250,25
2002,Feb,Alabama,MENHADEN,0.4,781,89
2003,Feb,Alabama,MENHADEN,5.3,"11,754","1,393"
2004,Feb,Alabama,MENHADEN,2.4,"5,300",636
2005,Feb,Alabama,MENHADEN,1.1,"2,410",350
2006,Feb,Alabama,MENHADEN,0.2,539,62
2007,Feb,Alabama,MENHADEN,0.9,"1,990",355
2009,Feb,Alabama,MENHADEN,0,10,1
2010,Feb,Alabama,MENHADEN,0,16,2
2011,Feb,Alabama,MENHADEN,1.8,"4,019","1,171"
2012,Feb,Alabama,MENHADEN,0.2,542,55
2013,Feb,Alabama,MENHADEN,0,2,0
2014,Feb,Alabama,MENHADEN,0,91,10
2015,Feb,Alabama,MENHADEN,0,12,1
2016,Feb,Alabama,MENHADEN,0,3,0
1990,Feb,Florida West Coast,MENHADEN,14.7,"32,433","2,666"
1991,Feb,Florida West Coast,MENHADEN,189.6,"417,897","36,770"
1992,Feb,Florida West Coast,MENHADEN,71.2,"157,045","10,991"
1993,Feb,Florida West Coast,MENHADEN,109.5,"241,457","21,984"
1994,Feb,Florida West Coast,MENHADEN,2.2,"4,816",504
1995,Feb,Florida West Coast,MENHADEN,66.7,"147,081","14,819"
1996,Feb,Florida West Coast,MENHADEN,0.1,140,14
2000,Feb,Florida West Coast,MENHADEN,2,"4,488",696
2002,Feb,Florida West Coast,MENHADEN,1.4,"3,068",417
2003,Feb,Florida West Coast,MENHADEN,0,94,9
2004,Feb,Florida West Coast,MENHADEN,0,74,7
2006,Feb,Florida West Coast,MENHADEN,0,9,7
2010,Feb,Florida West Coast,MENHADEN,0,13,10
2012,Feb,Florida West Coast,MENHADEN,0.1,313,157
2013,Feb,Florida West Coast,MENHADEN,0,58,9
2014,Feb,Florida West Coast,MENHADEN,0,8,1
2015,Feb,Florida West Coast,MENHADEN,0,50,8
1992,Feb,Louisiana,MENHADEN,0,100,16
1993,Feb,Louisiana,MENHADEN,5.3,"11,792","1,179"
2002,Feb,Mississippi,MENHADEN,0,90,16
1992,Mar,Alabama,MENHADEN,154.6,"340,842","30,817"
1993,Mar,Alabama,MENHADEN,18.5,"40,837","4,900"
1994,Mar,Alabama,MENHADEN,18.8,"41,341","5,799"
1995,Mar,Alabama,MENHADEN,35.7,"78,796","9,331"
1996,Mar,Alabama,MENHADEN,24,"53,002","7,389"
1997,Mar,Alabama,MENHADEN,76.8,"169,242","22,319"
1998,Mar,Alabama,MENHADEN,19.3,"42,649","6,547"
1999,Mar,Alabama,MENHADEN,39.3,"86,624","10,395"
2000,Mar,Alabama,MENHADEN,80.1,"176,659","18,266"
2001,Mar,Alabama,MENHADEN,24.4,"53,760","6,447"
2002,Mar,Alabama,MENHADEN,23.1,"50,997","6,024"
2003,Mar,Alabama,MENHADEN,8.3,"18,392","2,098"
2004,Mar,Alabama,MENHADEN,22.6,"49,899","5,725"
2005,Mar,Alabama,MENHADEN,24,"52,873","7,924"
2006,Mar,Alabama,MENHADEN,3.8,"8,309","1,165"
2007,Mar,Alabama,MENHADEN,0.3,604,66
2008,Mar,Alabama,MENHADEN,0,104,11
2009,Mar,Alabama,MENHADEN,0.5,"1,202",345
2010,Mar,Alabama,MENHADEN,2.3,"5,166","1,032"
2011,Mar,Alabama,MENHADEN,1.1,"2,368",490
2012,Mar,Alabama,MENHADEN,0.6,"1,290",200
2013,Mar,Alabama,MENHADEN,0.1,231,23
2014,Mar,Alabama,MENHADEN,3.5,"7,736","1,820"
2015,Mar,Alabama,MENHADEN,0.5,"1,202",240
2016,Mar,Alabama,MENHADEN,0.1,322,33
1990,Mar,Florida West Coast,MENHADEN,10.9,"24,057","1,317"
1991,Mar,Florida West Coast,MENHADEN,55.7,"122,903","11,054"
1992,Mar,Florida West Coast,MENHADEN,159.3,"351,145","21,062"
1993,Mar,Florida West Coast,MENHADEN,95.8,"211,294","17,770"
1994,Mar,Florida West Coast,MENHADEN,25.3,"55,803","5,325"
1995,Mar,Florida West Coast,MENHADEN,3.6,"7,896","1,335"
1996,Mar,Florida West Coast,MENHADEN,0,83,8
1997,Mar,Florida West Coast,MENHADEN,0.5,"1,070",321
