Year,Month,State,Species,Metric Tons,Pounds,$
1990,Jan,Alabama,"MULLET, STRIPED (LIZA)",22.8,"50,372","13,331"
1991,Jan,Alabama,"MULLET, STRIPED (LIZA)",24.1,"53,207","16,254"
1992,Jan,Alabama,"MULLET, STRIPED (LIZA)",28.6,"63,150","15,467"
1993,Jan,Alabama,"MULLET, STRIPED (LIZA)",24,"52,815","13,951"
1994,Jan,Alabama,"MULLET, STRIPED (LIZA)",41.8,"92,130","21,482"
1995,Jan,Alabama,"MULLET, STRIPED (LIZA)",18.8,"41,421","8,797"
1996,Jan,Alabama,"MULLET, STRIPED (LIZA)",51.6,"113,751","49,355"
1997,Jan,Alabama,"MULLET, STRIPED (LIZA)",39,"85,947","34,431"
1998,Jan,Alabama,"MULLET, STRIPED (LIZA)",38.5,"84,981","30,494"
1999,Jan,Alabama,"MULLET, STRIPED (LIZA)",46.4,"102,353","42,327"
2000,Jan,Alabama,"MULLET, STRIPED (LIZA)",36.8,"81,083","33,131"
2001,Jan,Alabama,"MULLET, STRIPED (LIZA)",66.4,"146,383","50,399"
2002,Jan,Alabama,"MULLET, STRIPED (LIZA)",70.6,"155,578","47,204"
2004,Jan,Alabama,"MULLET, STRIPED (LIZA)",34.5,"76,001","20,339"
2005,Jan,Alabama,"MULLET, STRIPED (LIZA)",42.8,"94,466","27,655"
2006,Jan,Alabama,"MULLET, STRIPED (LIZA)",29.2,"64,387","24,157"
2007,Jan,Alabama,"MULLET, STRIPED (LIZA)",44.5,"98,209","32,018"
2008,Jan,Alabama,"MULLET, STRIPED (LIZA)",57.8,"127,425","50,409"
2009,Jan,Alabama,"MULLET, STRIPED (LIZA)",65.3,"144,023","53,359"
2010,Jan,Alabama,"MULLET, STRIPED (LIZA)",52.8,"116,325","41,388"
2011,Jan,Alabama,"MULLET, STRIPED (LIZA)",23.4,"51,524","17,389"
2012,Jan,Alabama,"MULLET, STRIPED (LIZA)",45.8,"100,995","33,616"
2013,Jan,Alabama,"MULLET, STRIPED (LIZA)",22.6,"49,861","15,244"
2014,Jan,Alabama,"MULLET, STRIPED (LIZA)",33.6,"74,080","24,479"
2015,Jan,Alabama,"MULLET, STRIPED (LIZA)",44,"96,893","30,784"
2016,Jan,Alabama,"MULLET, STRIPED (LIZA)",17.8,"39,227","12,904"
2000,Jan,Alabama,"MULLET, WHITE",6.2,"13,665","4,878"
2008,Jan,Alabama,"MULLET, WHITE",25.5,"56,140","31,847"
2010,Jan,Alabama,"MULLET, WHITE",39.2,"86,325","24,104"
2002,Jan,Alabama,MULLETS,2.1,"4,612","2,011"
2003,Jan,Alabama,MULLETS,9.7,"21,329","7,992"
2004,Jan,Alabama,MULLETS,7,"15,472","5,010"
