Year,Month,State,Species,Metric Tons,Pounds
1990,Jan,Alabama,"OYSTER, EASTERN",3.10,6934.00
1991,Jan,Alabama,"OYSTER, EASTERN",15.10,33349.00
1992,Jan,Alabama,"OYSTER, EASTERN",58.70,129387.00
1993,Jan,Alabama,"OYSTER, EASTERN",20.60,45440.00
1994,Jan,Alabama,"OYSTER, EASTERN",50.90,112140.00
1995,Jan,Alabama,"OYSTER, EASTERN",43.30,95492.00
1996,Jan,Alabama,"OYSTER, EASTERN",38.50,84943.00
1997,Jan,Alabama,"OYSTER, EASTERN",60.30,132941.00
1998,Jan,Alabama,"OYSTER, EASTERN",11.70,25776.00
1999,Jan,Alabama,"OYSTER, EASTERN",19.90,43872.00
2000,Jan,Alabama,"OYSTER, EASTERN",33.70,74306.00
2001,Jan,Alabama,"OYSTER, EASTERN",39.70,87539.00
2002,Jan,Alabama,"OYSTER, EASTERN",22.70,50041.00
2003,Jan,Alabama,"OYSTER, EASTERN",43.50,95993.00
2004,Jan,Alabama,"OYSTER, EASTERN",53.60,118276.00
2005,Jan,Alabama,"OYSTER, EASTERN",42.70,94170.00
2006,Jan,Alabama,"OYSTER, EASTERN",67.20,148248.00
2007,Jan,Alabama,"OYSTER, EASTERN",37.20,81928.00
2008,Jan,Alabama,"OYSTER, EASTERN",7.80,17188.00
2009,Jan,Alabama,"OYSTER, EASTERN",0.60,1328.00
2010,Jan,Alabama,"OYSTER, EASTERN",0.90,1875.00
2011,Jan,Alabama,"OYSTER, EASTERN",0.90,1930.00
2012,Jan,Alabama,"OYSTER, EASTERN",2.60,5746.00
2013,Jan,Alabama,"OYSTER, EASTERN",16.00,35199.00
2014,Jan,Alabama,"OYSTER, EASTERN",4.00,8834.00
2015,Jan,Alabama,"OYSTER, EASTERN",3.30,7203.00
1990,Jan,Florida West Coast,"OYSTER, EASTERN",100.90,222442.00
1991,Jan,Florida West Coast,"OYSTER, EASTERN",85.40,188323.00
1992,Jan,Florida West Coast,"OYSTER, EASTERN",80.40,177267.00
1993,Jan,Florida West Coast,"OYSTER, EASTERN",83.00,182961.00
1994,Jan,Florida West Coast,"OYSTER, EASTERN",142.80,314768.00
1995,Jan,Florida West Coast,"OYSTER, EASTERN",58.80,129541.00
1996,Jan,Florida West Coast,"OYSTER, EASTERN",99.40,219028.00
1997,Jan,Florida West Coast,"OYSTER, EASTERN",88.90,196099.00
1998,Jan,Florida West Coast,"OYSTER, EASTERN",51.70,113868.00
1999,Jan,Florida West Coast,"OYSTER, EASTERN",99.70,219882.00
2000,Jan,Florida West Coast,"OYSTER, EASTERN",67.10,147960.00
2001,Jan,Florida West Coast,"OYSTER, EASTERN",143.90,317325.00
2002,Jan,Florida West Coast,"OYSTER, EASTERN",102.90,226949.00
2003,Jan,Florida West Coast,"OYSTER, EASTERN",113.70,250724.00
2004,Jan,Florida West Coast,"OYSTER, EASTERN",73.40,161758.00
