Year,Month,State,Species,Metric Tons,Pounds,$
1992,Jan,Alabama,"POMPANO, FLORIDA",0.1,192,340
1996,Jan,Alabama,"POMPANO, FLORIDA",0.2,492,627
2002,Jan,Alabama,"POMPANO, FLORIDA",0,9,9
2005,Jan,Alabama,"POMPANO, FLORIDA",0,9,19
1995,Jan,Florida West Coast,"POMPANO, AFRICAN",0.2,480,355
1996,Jan,Florida West Coast,"POMPANO, AFRICAN",0.3,688,612
1997,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,249,256
1998,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,145,98
1999,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,166,299
2000,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,166,240
2001,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,131,226
2002,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,191,233
2004,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,173,267
2005,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,142,158
2008,Jan,Florida West Coast,"POMPANO, AFRICAN",0,107,276
2010,Jan,Florida West Coast,"POMPANO, AFRICAN",0,69,114
2012,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,154,399
2013,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,277,776
2015,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,119,155
2016,Jan,Florida West Coast,"POMPANO, AFRICAN",0.1,209,442
1990,Jan,Florida West Coast,"POMPANO, FLORIDA",27.2,"59,966","178,409"
1991,Jan,Florida West Coast,"POMPANO, FLORIDA",9.3,"20,463","36,172"
1992,Jan,Florida West Coast,"POMPANO, FLORIDA",17.1,"37,764","111,196"
1993,Jan,Florida West Coast,"POMPANO, FLORIDA",10.4,"22,860","67,780"
1994,Jan,Florida West Coast,"POMPANO, FLORIDA",21.3,"47,009","152,352"
1995,Jan,Florida West Coast,"POMPANO, FLORIDA",9.2,"20,294","66,155"
1996,Jan,Florida West Coast,"POMPANO, FLORIDA",4,"8,913","33,367"
1997,Jan,Florida West Coast,"POMPANO, FLORIDA",10.2,"22,439","72,566"
1998,Jan,Florida West Coast,"POMPANO, FLORIDA",24.8,"54,565","136,028"
1999,Jan,Florida West Coast,"POMPANO, FLORIDA",5.1,"11,142","31,077"
2000,Jan,Florida West Coast,"POMPANO, FLORIDA",26.8,"59,132","170,479"
2001,Jan,Florida West Coast,"POMPANO, FLORIDA",0.3,725,"2,045"
2002,Jan,Florida West Coast,"POMPANO, FLORIDA",0.4,901,"3,099"
2003,Jan,Florida West Coast,"POMPANO, FLORIDA",1.2,"2,744","9,872"
2004,Jan,Florida West Coast,"POMPANO, FLORIDA",0.3,649,"2,115"
2005,Jan,Florida West Coast,"POMPANO, FLORIDA",0.2,500,"1,908"
2006,Jan,Florida West Coast,"POMPANO, FLORIDA",4.5,"9,913","36,652"
2007,Jan,Florida West Coast,"POMPANO, FLORIDA",4.1,"8,976","32,760"
2008,Jan,Florida West Coast,"POMPANO, FLORIDA",2.7,"5,882","20,284"
2009,Jan,Florida West Coast,"POMPANO, FLORIDA",7.5,"16,580","50,333"
2010,Jan,Florida West Coast,"POMPANO, FLORIDA",5.3,"11,693","40,721"
2011,Jan,Florida West Coast,"POMPANO, FLORIDA",0.6,"1,280","2,806"
2012,Jan,Florida West Coast,"POMPANO, FLORIDA",1.2,"2,575","9,498"
2013,Jan,Florida West Coast,"POMPANO, FLORIDA",2.1,"4,620","17,670"
2014,Jan,Florida West Coast,"POMPANO, FLORIDA",2.5,"5,573","23,570"
2015,Jan,Florida West Coast,"POMPANO, FLORIDA",4.7,"10,406","43,100"
2016,Jan,Florida West Coast,"POMPANO, FLORIDA",1.4,"3,114","12,982"
2002,Jan,Louisiana,"POMPANO, AFRICAN",0,29,33
1990,Jan,Louisiana,"POMPANO, FLORIDA",0.6,"1,407","2,733"
1991,Jan,Louisiana,"POMPANO, FLORIDA",0.1,158,409
1992,Jan,Louisiana,"POMPANO, FLORIDA",0.2,428,"1,471"
1993,Jan,Louisiana,"POMPANO, FLORIDA",0.7,"1,626","6,216"
1994,Jan,Louisiana,"POMPANO, FLORIDA",3.7,"8,181","22,426"
1995,Jan,Louisiana,"POMPANO, FLORIDA",1.4,"2,998","10,201"
1996,Jan,Louisiana,"POMPANO, FLORIDA",0.4,821,"3,105"
1997,Jan,Louisiana,"POMPANO, FLORIDA",0,61,227
1999,Jan,Louisiana,"POMPANO, FLORIDA",0.1,226,849
2000,Jan,Louisiana,"POMPANO, FLORIDA",1.2,"2,749","11,609"
2001,Jan,Louisiana,"POMPANO, FLORIDA",0.1,122,507
