Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,"PORGY, RED",0,28,35
2002,Jan,Alabama,"PORGY, WHITEBONE",0,65,73
2000,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.2,415,191
2001,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.1,297,206
2002,Jan,Florida West Coast,"PORGY, JOLTHEAD",0,15,7
2003,Jan,Florida West Coast,"PORGY, JOLTHEAD",0,26,21
2004,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.6,"1,259",677
2005,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.4,789,547
2006,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.6,"1,388","1,948"
2007,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.2,417,388
2008,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.1,111,89
2009,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.1,198,167
2010,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.2,479,260
2011,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.4,906,720
2012,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.4,897,597
2013,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.7,"1,586","1,302"
2014,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.3,742,942
2015,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.9,"1,949","2,205"
2016,Jan,Florida West Coast,"PORGY, JOLTHEAD",0.6,"1,417","2,550"
1998,Jan,Florida West Coast,"PORGY, KNOBBED",0.7,"1,482",901
1999,Jan,Florida West Coast,"PORGY, KNOBBED",1.3,"2,811","1,593"
2000,Jan,Florida West Coast,"PORGY, KNOBBED",1.5,"3,380","2,086"
2001,Jan,Florida West Coast,"PORGY, KNOBBED",2.1,"4,637","3,158"
2002,Jan,Florida West Coast,"PORGY, KNOBBED",1.8,"4,061","2,754"
2003,Jan,Florida West Coast,"PORGY, KNOBBED",0.4,851,583
2004,Jan,Florida West Coast,"PORGY, KNOBBED",2.2,"4,808","3,159"
2005,Jan,Florida West Coast,"PORGY, KNOBBED",0.2,478,341
2006,Jan,Florida West Coast,"PORGY, KNOBBED",0.4,857,661
2008,Jan,Florida West Coast,"PORGY, KNOBBED",0.2,345,361
2009,Jan,Florida West Coast,"PORGY, KNOBBED",0.1,159,138
2010,Jan,Florida West Coast,"PORGY, KNOBBED",0,67,89
2011,Jan,Florida West Coast,"PORGY, KNOBBED",0.2,406,404
2012,Jan,Florida West Coast,"PORGY, KNOBBED",0.2,543,347
2013,Jan,Florida West Coast,"PORGY, KNOBBED",0.2,505,513
2014,Jan,Florida West Coast,"PORGY, KNOBBED",0.1,181,152
2015,Jan,Florida West Coast,"PORGY, KNOBBED",0.4,796,648
2016,Jan,Florida West Coast,"PORGY, KNOBBED",0.1,249,161
1997,Jan,Florida West Coast,"PORGY, RED",0.3,762,668
1998,Jan,Florida West Coast,"PORGY, RED",0.7,"1,611","1,736"
1999,Jan,Florida West Coast,"PORGY, RED",2.1,"4,601","4,516"
2000,Jan,Florida West Coast,"PORGY, RED",1.1,"2,428","2,243"
2001,Jan,Florida West Coast,"PORGY, RED",1.3,"2,801","2,837"
2002,Jan,Florida West Coast,"PORGY, RED",2.3,"5,018","5,595"
2003,Jan,Florida West Coast,"PORGY, RED",1.3,"2,786","2,670"
2004,Jan,Florida West Coast,"PORGY, RED",3.7,"8,240","8,470"
2005,Jan,Florida West Coast,"PORGY, RED",1,"2,193","2,253"
2006,Jan,Florida West Coast,"PORGY, RED",1.7,"3,674","3,805"
2007,Jan,Florida West Coast,"PORGY, RED",2.2,"4,750","5,382"
2008,Jan,Florida West Coast,"PORGY, RED",3.7,"8,207","9,350"
