Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,"RAY,STINGRAYS",0.4,910,228
2014,Jan,Florida West Coast,"RAY,STINGRAYS",0,79,"16,451"
2015,Jan,Florida West Coast,"RAY,STINGRAYS",0,103,"18,910"
2016,Jan,Florida West Coast,"RAY,STINGRAYS",0,17,430
1991,Jan,Florida West Coast,RAYS,0.3,696,67
1992,Jan,Florida West Coast,RAYS,1.6,"3,580",299
1993,Jan,Florida West Coast,RAYS,4.7,"10,436",945
1995,Jan,Florida West Coast,RAYS,0.4,827,130
2014,Jan,Florida West Coast,RAYS,1,"2,113",355
2002,Feb,Alabama,"RAY,STINGRAYS",0,9,3
2014,Feb,Florida West Coast,"RAY,STINGRAYS",0,25,307
2016,Feb,Florida West Coast,"RAY,STINGRAYS",0,10,153
1990,Feb,Florida West Coast,RAYS,84.7,"186,723","9,393"
1991,Feb,Florida West Coast,RAYS,7.3,"16,169","1,293"
1992,Feb,Florida West Coast,RAYS,5.3,"11,631","1,110"
1993,Feb,Florida West Coast,RAYS,2.5,"5,405",489
1994,Feb,Florida West Coast,RAYS,1.1,"2,436",290
1995,Feb,Florida West Coast,RAYS,0.7,"1,561",161
1998,Feb,Florida West Coast,RAYS,2.7,"5,995",598
2002,Feb,Florida West Coast,RAYS,0.7,"1,606",402
2014,Feb,Florida West Coast,RAYS,0.2,352,97
2015,Feb,Florida West Coast,RAYS,0.1,319,616
2002,Feb,Louisiana,RAYS,0,8,2
2002,Feb,Texas,"RAY,STINGRAYS",0.1,134,60
2002,Mar,Alabama,"RAY, BAT",0,25,6
2002,Mar,Alabama,"RAY,STINGRAYS",0.2,345,88
2009,Mar,Alabama,"RAY,STINGRAYS",0.3,621,181
2014,Mar,Florida West Coast,"RAY,STINGRAYS",0,63,"12,276"
2015,Mar,Florida West Coast,"RAY,STINGRAYS",0,10,100
2016,Mar,Florida West Coast,"RAY,STINGRAYS",0,11,95
1990,Mar,Florida West Coast,RAYS,70.5,"155,409","8,719"
1991,Mar,Florida West Coast,RAYS,35.9,"79,036","5,283"
1992,Mar,Florida West Coast,RAYS,11.2,"24,688","1,499"
1993,Mar,Florida West Coast,RAYS,5.2,"11,419",883
