Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,"RUNNER, BLUE",0,19,10
1990,Jan,Florida West Coast,"RUNNER, BLUE",0.3,646,129
1991,Jan,Florida West Coast,"RUNNER, BLUE",0.4,773,154
1992,Jan,Florida West Coast,"RUNNER, BLUE",0.3,600,88
1993,Jan,Florida West Coast,"RUNNER, BLUE",0.2,357,66
1994,Jan,Florida West Coast,"RUNNER, BLUE",0.5,"1,012",517
1995,Jan,Florida West Coast,"RUNNER, BLUE",0.5,"1,132",303
1996,Jan,Florida West Coast,"RUNNER, BLUE",0.4,844,360
1997,Jan,Florida West Coast,"RUNNER, BLUE",1.4,"2,998","1,628"
1998,Jan,Florida West Coast,"RUNNER, BLUE",1.2,"2,734","1,241"
1999,Jan,Florida West Coast,"RUNNER, BLUE",1.5,"3,205","1,527"
2000,Jan,Florida West Coast,"RUNNER, BLUE",1.1,"2,434","1,314"
2001,Jan,Florida West Coast,"RUNNER, BLUE",2.1,"4,602","2,761"
2002,Jan,Florida West Coast,"RUNNER, BLUE",1.7,"3,821","1,758"
2003,Jan,Florida West Coast,"RUNNER, BLUE",0.9,"2,052","1,142"
2004,Jan,Florida West Coast,"RUNNER, BLUE",3.2,"7,078","4,052"
2005,Jan,Florida West Coast,"RUNNER, BLUE",3.6,"7,849","5,660"
2006,Jan,Florida West Coast,"RUNNER, BLUE",0.8,"1,674",997
2007,Jan,Florida West Coast,"RUNNER, BLUE",1.1,"2,365","2,460"
2008,Jan,Florida West Coast,"RUNNER, BLUE",1.6,"3,480","3,322"
2009,Jan,Florida West Coast,"RUNNER, BLUE",0.6,"1,386","1,037"
2010,Jan,Florida West Coast,"RUNNER, BLUE",2.7,"6,051","4,843"
2011,Jan,Florida West Coast,"RUNNER, BLUE",4.8,"10,578","9,602"
2012,Jan,Florida West Coast,"RUNNER, BLUE",2,"4,380","3,965"
2013,Jan,Florida West Coast,"RUNNER, BLUE",4.1,"9,133","6,920"
2014,Jan,Florida West Coast,"RUNNER, BLUE",3,"6,557","5,239"
2015,Jan,Florida West Coast,"RUNNER, BLUE",3.9,"8,543","6,926"
2016,Jan,Florida West Coast,"RUNNER, BLUE",2.7,"5,898","4,521"
1990,Jan,Louisiana,"RUNNER, BLUE",0.5,"1,144",332
1991,Jan,Louisiana,"RUNNER, BLUE",1.6,"3,467","1,105"
1992,Jan,Louisiana,"RUNNER, BLUE",0.6,"1,374",422
1994,Jan,Louisiana,"RUNNER, BLUE",0.8,"1,869",806
1995,Jan,Louisiana,"RUNNER, BLUE",2.3,"5,011","1,492"
1996,Jan,Louisiana,"RUNNER, BLUE",0.3,707,286
1997,Jan,Louisiana,"RUNNER, BLUE",0.2,427,201
1999,Jan,Louisiana,"RUNNER, BLUE",1.5,"3,288","1,335"
2000,Jan,Louisiana,"RUNNER, BLUE",1.6,"3,603","1,300"
2001,Jan,Louisiana,"RUNNER, BLUE",1.7,"3,807","1,458"
2002,Jan,Louisiana,"RUNNER, BLUE",4.9,"10,701","4,244"
2003,Jan,Louisiana,"RUNNER, BLUE",6.3,"13,915","5,203"
2004,Jan,Louisiana,"RUNNER, BLUE",12.4,"27,298","10,864"
2005,Jan,Louisiana,"RUNNER, BLUE",15.5,"34,107","13,705"
2002,Jan,Louisiana,"RUNNER, RAINBOW",0,78,58
2002,Jan,Mississippi,"RUNNER, BLUE",6.2,"13,744","4,810"
1997,Jan,Texas,"RUNNER, BLUE",1.3,"2,859",948
2000,Jan,Texas,"RUNNER, BLUE",1.4,"3,186",937
2002,Jan,Texas,"RUNNER, BLUE",0.1,226,99
2002,Feb,Alabama,"RUNNER, BLUE",0,20,9
1990,Feb,Florida West Coast,"RUNNER, BLUE",0.1,218,47
1991,Feb,Florida West Coast,"RUNNER, BLUE",0.3,751,148
1992,Feb,Florida West Coast,"RUNNER, BLUE",0.1,215,44
1993,Feb,Florida West Coast,"RUNNER, BLUE",0.2,494,90
1994,Feb,Florida West Coast,"RUNNER, BLUE",0.6,"1,394",407
