Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,SCAMP,0,25,74
2004,Jan,Alabama,SCAMP,0.2,493,"1,662"
2009,Jan,Alabama,SCAMP,0.4,817,"2,863"
1990,Jan,Florida West Coast,SCAMP,8.9,"19,638","45,825"
1991,Jan,Florida West Coast,SCAMP,9.4,"20,726","49,569"
1992,Jan,Florida West Coast,SCAMP,8.1,"17,916","38,998"
1993,Jan,Florida West Coast,SCAMP,12.4,"27,247","56,611"
1994,Jan,Florida West Coast,SCAMP,5.3,"11,667","26,736"
1995,Jan,Florida West Coast,SCAMP,8.2,"18,001","43,847"
1996,Jan,Florida West Coast,SCAMP,8.9,"19,533","45,328"
1997,Jan,Florida West Coast,SCAMP,13.2,"29,173","68,467"
1998,Jan,Florida West Coast,SCAMP,5.1,"11,152","27,598"
1999,Jan,Florida West Coast,SCAMP,6.7,"14,773","37,178"
2000,Jan,Florida West Coast,SCAMP,5.1,"11,161","28,903"
2001,Jan,Florida West Coast,SCAMP,11.4,"25,074","66,843"
2002,Jan,Florida West Coast,SCAMP,15,"32,983","82,152"
2003,Jan,Florida West Coast,SCAMP,13.1,"28,895","68,991"
2004,Jan,Florida West Coast,SCAMP,13.1,"28,982","78,844"
2005,Jan,Florida West Coast,SCAMP,12.7,"27,945","75,604"
2006,Jan,Florida West Coast,SCAMP,13.7,"30,181","84,172"
2007,Jan,Florida West Coast,SCAMP,5.3,"11,750","38,778"
2008,Jan,Florida West Coast,SCAMP,6.2,"13,582","42,567"
2009,Jan,Florida West Coast,SCAMP,11.2,"24,655","77,289"
2010,Jan,Florida West Coast,SCAMP,8.5,"18,743","65,923"
2011,Jan,Florida West Coast,SCAMP,5.7,"12,612","44,252"
2012,Jan,Florida West Coast,SCAMP,8.2,"18,059","66,264"
2013,Jan,Florida West Coast,SCAMP,8.2,"17,973","67,854"
2014,Jan,Florida West Coast,SCAMP,4.1,"9,105","35,350"
2015,Jan,Florida West Coast,SCAMP,5.4,"11,968","48,526"
2016,Jan,Florida West Coast,SCAMP,3.2,"7,006","28,276"
1990,Jan,Louisiana,SCAMP,1.5,"3,240","6,075"
1991,Jan,Louisiana,SCAMP,1.2,"2,697","5,103"
1992,Jan,Louisiana,SCAMP,1,"2,297","4,024"
1993,Jan,Louisiana,SCAMP,1.1,"2,328","4,318"
1994,Jan,Louisiana,SCAMP,0.4,825,"1,549"
1995,Jan,Louisiana,SCAMP,0.4,772,"1,809"
1996,Jan,Louisiana,SCAMP,1.5,"3,202","6,933"
1997,Jan,Louisiana,SCAMP,0.4,970,"2,292"
1998,Jan,Louisiana,SCAMP,0.3,666,"1,489"
1999,Jan,Louisiana,SCAMP,1.8,"3,981","9,268"
2000,Jan,Louisiana,SCAMP,1.7,"3,725","8,550"
2001,Jan,Louisiana,SCAMP,1,"2,221","5,324"
2002,Jan,Louisiana,SCAMP,1,"2,253","4,946"
2003,Jan,Louisiana,SCAMP,0.8,"1,701","3,982"
2004,Jan,Louisiana,SCAMP,2,"4,302","10,549"
2005,Jan,Louisiana,SCAMP,1.7,"3,643","8,856"
2006,Jan,Louisiana,SCAMP,0.6,"1,269","3,169"
2007,Jan,Louisiana,SCAMP,1.1,"2,532","6,704"
2008,Jan,Louisiana,SCAMP,0.9,"1,972","5,934"
2009,Jan,Louisiana,SCAMP,2.7,"5,894","16,123"
2013,Jan,Louisiana,SCAMP,0.9,"2,060","6,873"
2014,Jan,Louisiana,SCAMP,0.4,795,"2,747"
2015,Jan,Louisiana,SCAMP,0.4,933,"3,011"
2016,Jan,Louisiana,SCAMP,0.9,"1,908","6,789"
1991,Jan,Texas,SCAMP,0.3,636,867
1992,Jan,Texas,SCAMP,0.1,217,305
2002,Jan,Texas,SCAMP,0,73,202
2003,Jan,Texas,SCAMP,0.1,311,689
2004,Jan,Texas,SCAMP,0.7,"1,594","4,869"
2007,Jan,Texas,SCAMP,0.3,644,"1,888"
2008,Jan,Texas,SCAMP,0.4,960,"3,037"
2009,Jan,Texas,SCAMP,0.7,"1,646","4,813"
2010,Jan,Texas,SCAMP,0.4,938,"2,458"
2012,Jan,Texas,SCAMP,0.5,996,"2,458"
2013,Jan,Texas,SCAMP,0.5,993,"3,437"
2014,Jan,Texas,SCAMP,0.1,112,351
2015,Jan,Texas,SCAMP,0.1,170,457
2016,Jan,Texas,SCAMP,0.1,316,"1,154"
2002,Feb,Alabama,SCAMP,0,9,20
2004,Feb,Alabama,SCAMP,0,21,70
2005,Feb,Alabama,SCAMP,0.1,263,845
2006,Feb,Alabama,SCAMP,0.1,273,696
2008,Feb,Alabama,SCAMP,0.2,420,"1,397"
2009,Feb,Alabama,SCAMP,0.2,484,"1,534"
