Year,Month,State,Species,Metric Tons,Pounds,$
1993,Jan,Florida West Coast,SCORPIONFISHES,0.2,460,159
1995,Jan,Florida West Coast,SCORPIONFISHES,0,21,21
1997,Jan,Florida West Coast,SCORPIONFISHES,0.4,776,964
1998,Jan,Florida West Coast,SCORPIONFISHES,0.5,"1,004",998
1999,Jan,Florida West Coast,SCORPIONFISHES,0,100,137
2000,Jan,Florida West Coast,SCORPIONFISHES,0.3,666,737
2001,Jan,Florida West Coast,SCORPIONFISHES,0.3,698,869
2002,Jan,Florida West Coast,SCORPIONFISHES,0.4,920,"1,075"
2003,Jan,Florida West Coast,SCORPIONFISHES,0.2,363,407
2004,Jan,Florida West Coast,SCORPIONFISHES,0.3,756,776
2005,Jan,Florida West Coast,SCORPIONFISHES,0.2,364,397
2006,Jan,Florida West Coast,SCORPIONFISHES,0.2,470,515
2007,Jan,Florida West Coast,SCORPIONFISHES,0.3,656,799
2008,Jan,Florida West Coast,SCORPIONFISHES,0.4,854,"1,116"
2009,Jan,Florida West Coast,SCORPIONFISHES,0.3,589,702
2012,Jan,Florida West Coast,SCORPIONFISHES,0.1,150,159
2013,Jan,Florida West Coast,SCORPIONFISHES,0,28,42
2014,Jan,Florida West Coast,SCORPIONFISHES,0.1,148,179
2015,Jan,Florida West Coast,SCORPIONFISHES,0,34,35
2016,Jan,Florida West Coast,SCORPIONFISHES,0,91,98
2002,Jan,Louisiana,"SCORPIONFISH, SPINYCHEEK",0,82,110
2003,Jan,Louisiana,"SCORPIONFISH, SPINYCHEEK",0,50,71
2005,Jan,Louisiana,"SCORPIONFISH, SPINYCHEEK",0,9,10
2006,Jan,Louisiana,"SCORPIONFISH, SPINYCHEEK",0,16,18
2002,Jan,Mississippi,SCORPIONFISHES,0.3,644,323
1996,Feb,Florida West Coast,SCORPIONFISHES,0.1,287,391
1997,Feb,Florida West Coast,SCORPIONFISHES,0.1,272,264
1998,Feb,Florida West Coast,SCORPIONFISHES,0.2,471,566
2000,Feb,Florida West Coast,SCORPIONFISHES,0.1,304,341
2001,Feb,Florida West Coast,SCORPIONFISHES,0.1,233,286
2002,Feb,Florida West Coast,SCORPIONFISHES,5.9,"13,053","13,286"
2003,Feb,Florida West Coast,SCORPIONFISHES,0.6,"1,233","1,369"
2004,Feb,Florida West Coast,SCORPIONFISHES,0.3,677,712
2005,Feb,Florida West Coast,SCORPIONFISHES,0.2,438,469
2006,Feb,Florida West Coast,SCORPIONFISHES,0.3,697,730
2007,Feb,Florida West Coast,SCORPIONFISHES,0.4,928,"1,061"
2008,Feb,Florida West Coast,SCORPIONFISHES,0.7,"1,572","1,727"
2009,Feb,Florida West Coast,SCORPIONFISHES,0.4,782,941
2010,Feb,Florida West Coast,SCORPIONFISHES,0.2,536,558
2011,Feb,Florida West Coast,SCORPIONFISHES,0.1,228,250
2012,Feb,Florida West Coast,SCORPIONFISHES,0,86,100
2013,Feb,Florida West Coast,SCORPIONFISHES,0.1,132,190
2014,Feb,Florida West Coast,SCORPIONFISHES,0.3,594,689
2015,Feb,Florida West Coast,SCORPIONFISHES,0.1,120,99
2016,Feb,Florida West Coast,SCORPIONFISHES,0.2,377,"1,161"
2002,Feb,Louisiana,"SCORPIONFISH, SPINYCHEEK",0.1,150,145
2003,Feb,Louisiana,"SCORPIONFISH, SPINYCHEEK",0.1,173,201
2004,Feb,Louisiana,"SCORPIONFISH, SPINYCHEEK",0.1,216,208
2008,Feb,Louisiana,"SCORPIONFISH, SPINYCHEEK",0,87,88
2002,Feb,Mississippi,SCORPIONFISHES,0,46,23
