Year,Month,State,Species,Metric Tons,Pounds,$
1990,Jan,Alabama,"SEATROUT, SAND",0.5,"1,049",543
1991,Jan,Alabama,"SEATROUT, SAND",1,"2,183","1,179"
1992,Jan,Alabama,"SEATROUT, SAND",1.1,"2,318","1,078"
1993,Jan,Alabama,"SEATROUT, SAND",6.1,"13,405","7,692"
1994,Jan,Alabama,"SEATROUT, SAND",1.2,"2,728","1,424"
1995,Jan,Alabama,"SEATROUT, SAND",1.3,"2,925","1,314"
1996,Jan,Alabama,"SEATROUT, SAND",1.7,"3,707","1,980"
1997,Jan,Alabama,"SEATROUT, SAND",0.8,"1,785","1,133"
1998,Jan,Alabama,"SEATROUT, SAND",0.2,390,191
1999,Jan,Alabama,"SEATROUT, SAND",0.3,627,320
2000,Jan,Alabama,"SEATROUT, SAND",2.7,"6,042","3,110"
2001,Jan,Alabama,"SEATROUT, SAND",0.8,"1,695",693
2002,Jan,Alabama,"SEATROUT, SAND",0.1,288,128
2003,Jan,Alabama,"SEATROUT, SAND",0.2,511,303
2004,Jan,Alabama,"SEATROUT, SAND",0,62,35
2005,Jan,Alabama,"SEATROUT, SAND",0.2,336,182
2006,Jan,Alabama,"SEATROUT, SAND",0.2,504,163
2007,Jan,Alabama,"SEATROUT, SAND",1.5,"3,223","2,353"
2008,Jan,Alabama,"SEATROUT, SAND",0.1,326,237
2009,Jan,Alabama,"SEATROUT, SAND",0.2,529,365
2011,Jan,Alabama,"SEATROUT, SAND",0.2,426,285
2012,Jan,Alabama,"SEATROUT, SAND",0.1,132,94
2013,Jan,Alabama,"SEATROUT, SAND",1.5,"3,287","1,901"
2014,Jan,Alabama,"SEATROUT, SAND",0.1,253,199
1990,Jan,Florida West Coast,"SEATROUT, SAND",3.7,"8,147","3,628"
1991,Jan,Florida West Coast,"SEATROUT, SAND",1.5,"3,246","1,707"
1992,Jan,Florida West Coast,"SEATROUT, SAND",7.9,"17,430","12,569"
1993,Jan,Florida West Coast,"SEATROUT, SAND",2.2,"4,855","2,270"
1994,Jan,Florida West Coast,"SEATROUT, SAND",1.9,"4,219","2,495"
1995,Jan,Florida West Coast,"SEATROUT, SAND",1.5,"3,336","1,957"
