Year,Month,State,Species,Metric Tons,Pounds,$
1990,Jan,Florida West Coast,"SHAD, AMERICAN",1.1,"2,326","1,740"
1991,Jan,Florida West Coast,"SHAD, AMERICAN",4.2,"9,341",465
1992,Jan,Florida West Coast,"SHAD, AMERICAN",1.1,"2,389",183
1993,Jan,Florida West Coast,"SHAD, AMERICAN",1.7,"3,693",566
1994,Jan,Florida West Coast,"SHAD, AMERICAN",0.2,340,30
1995,Jan,Florida West Coast,"SHAD, AMERICAN",0.5,"1,128",627
1990,Jan,Louisiana,"SHAD, AMERICAN",12,"26,431","2,054"
1991,Jan,Louisiana,"SHAD, AMERICAN",37.8,"83,395","8,336"
1992,Jan,Louisiana,"SHAD, AMERICAN",82.3,"181,512","18,495"
1993,Jan,Louisiana,"SHAD, AMERICAN",116.4,"256,616","28,199"
1994,Jan,Louisiana,"SHAD, AMERICAN",43.7,"96,295","9,491"
1995,Jan,Louisiana,"SHAD, AMERICAN",65.8,"145,163","16,087"
1996,Jan,Louisiana,"SHAD, AMERICAN",23.6,"51,996","6,674"
1997,Jan,Louisiana,"SHAD, AMERICAN",86.3,"190,239","21,999"
1998,Jan,Louisiana,"SHAD, AMERICAN",103.2,"227,538","58,180"
1999,Jan,Louisiana,"SHAD, AMERICAN",89.9,"198,244","18,436"
1999,Jan,Louisiana,"SHAD, GIZZARD",48.6,"107,175","9,268"
2000,Jan,Louisiana,"SHAD, GIZZARD",32,"70,545","6,165"
2001,Jan,Louisiana,"SHAD, GIZZARD",96.9,"213,591","21,074"
2002,Jan,Louisiana,"SHAD, GIZZARD",93.1,"205,318","21,880"
2003,Jan,Louisiana,"SHAD, GIZZARD",59.6,"131,476","18,341"
2004,Jan,Louisiana,"SHAD, GIZZARD",108.7,"239,640","31,956"
2005,Jan,Louisiana,"SHAD, GIZZARD",58.7,"129,336","18,326"
2006,Jan,Louisiana,"SHAD, GIZZARD",77.8,"171,443","35,332"
2007,Jan,Louisiana,"SHAD, GIZZARD",73.4,"161,898","27,007"
2008,Jan,Louisiana,"SHAD, GIZZARD",47.6,"104,931","24,921"
2009,Jan,Louisiana,"SHAD, GIZZARD",101.9,"224,581","40,768"
2010,Jan,Louisiana,"SHAD, GIZZARD",19,"41,990","7,505"
2011,Jan,Louisiana,"SHAD, GIZZARD",42.8,"94,455","19,393"
2012,Jan,Louisiana,"SHAD, GIZZARD",144.3,"318,053","58,908"
2013,Jan,Louisiana,"SHAD, GIZZARD",138.6,"305,564","60,747"
2014,Jan,Louisiana,"SHAD, GIZZARD",53.6,"118,162","22,114"
2015,Jan,Louisiana,"SHAD, GIZZARD",63.8,"140,711","139,984"
2016,Jan,Louisiana,"SHAD, GIZZARD",65.1,"143,508","37,211"
1990,Feb,Florida West Coast,"SHAD, AMERICAN",3.7,"8,171","2,357"
1991,Feb,Florida West Coast,"SHAD, AMERICAN",8.2,"17,973","1,718"
1992,Feb,Florida West Coast,"SHAD, AMERICAN",5.3,"11,752","1,061"
1993,Feb,Florida West Coast,"SHAD, AMERICAN",1.6,"3,549",533
1994,Feb,Florida West Coast,"SHAD, AMERICAN",2,"4,508",360
1995,Feb,Florida West Coast,"SHAD, AMERICAN",0.2,368,42
1996,Feb,Florida West Coast,"SHAD, AMERICAN",0,13,2
1990,Feb,Louisiana,"SHAD, AMERICAN",27.5,"60,635","4,909"
1991,Feb,Louisiana,"SHAD, AMERICAN",15.1,"33,244","3,253"
1992,Feb,Louisiana,"SHAD, AMERICAN",88.8,"195,790","19,214"
1993,Feb,Louisiana,"SHAD, AMERICAN",130.1,"286,824","34,096"
1994,Feb,Louisiana,"SHAD, AMERICAN",61.2,"134,940","13,591"
1995,Feb,Louisiana,"SHAD, AMERICAN",48.5,"106,955","12,137"
1996,Feb,Louisiana,"SHAD, AMERICAN",74,"163,084","18,841"
1997,Feb,Louisiana,"SHAD, AMERICAN",77.4,"170,572","20,013"
1998,Feb,Louisiana,"SHAD, AMERICAN",146.2,"322,243","57,472"
1999,Feb,Louisiana,"SHAD, AMERICAN",60.2,"132,776","14,418"
1999,Feb,Louisiana,"SHAD, GIZZARD",115.4,"254,484","25,740"
2000,Feb,Louisiana,"SHAD, GIZZARD",63.4,"139,757","17,382"
2001,Feb,Louisiana,"SHAD, GIZZARD",71.5,"157,654","15,209"
2002,Feb,Louisiana,"SHAD, GIZZARD",205.8,"453,741","49,831"
2003,Feb,Louisiana,"SHAD, GIZZARD",101.7,"224,151","26,907"
2004,Feb,Louisiana,"SHAD, GIZZARD",86.9,"191,519","23,534"
2005,Feb,Louisiana,"SHAD, GIZZARD",86.7,"191,134","40,592"
2006,Feb,Louisiana,"SHAD, GIZZARD",77.7,"171,280","24,079"
2007,Feb,Louisiana,"SHAD, GIZZARD",119.7,"263,819","49,637"
2008,Feb,Louisiana,"SHAD, GIZZARD",167.7,"369,706","67,818"
2009,Feb,Louisiana,"SHAD, GIZZARD",162.1,"357,385","69,705"
2010,Feb,Louisiana,"SHAD, GIZZARD",18.6,"40,929","13,125"
2011,Feb,Louisiana,"SHAD, GIZZARD",79,"174,141","34,797"
2012,Feb,Louisiana,"SHAD, GIZZARD",170.9,"376,680","70,821"
2013,Feb,Louisiana,"SHAD, GIZZARD",210.2,"463,315","94,729"
2014,Feb,Louisiana,"SHAD, GIZZARD",80.1,"176,543","37,516"
2015,Feb,Louisiana,"SHAD, GIZZARD",55.3,"121,941","76,508"
2016,Feb,Louisiana,"SHAD, GIZZARD",109.3,"240,999","82,835"
1990,Mar,Florida West Coast,"SHAD, AMERICAN",30.3,"66,741","11,738"
1991,Mar,Florida West Coast,"SHAD, AMERICAN",4.6,"10,204",920
1992,Mar,Florida West Coast,"SHAD, AMERICAN",2,"4,425",887
1993,Mar,Florida West Coast,"SHAD, AMERICAN",1.6,"3,612",324
1994,Mar,Florida West Coast,"SHAD, AMERICAN",2.8,"6,121",646
1995,Mar,Florida West Coast,"SHAD, AMERICAN",1.2,"2,593",336
1990,Mar,Louisiana,"SHAD, AMERICAN",65,"143,259","12,478"
1991,Mar,Louisiana,"SHAD, AMERICAN",29.9,"65,902","7,738"
1992,Mar,Louisiana,"SHAD, AMERICAN",65.1,"143,438","15,422"
1993,Mar,Louisiana,"SHAD, AMERICAN",80.2,"176,747","23,582"
1994,Mar,Louisiana,"SHAD, AMERICAN",34.8,"76,620","8,082"
1995,Mar,Louisiana,"SHAD, AMERICAN",92.6,"204,146","21,783"
1996,Mar,Louisiana,"SHAD, AMERICAN",105.4,"232,422","27,429"
1997,Mar,Louisiana,"SHAD, AMERICAN",77.2,"170,193","20,687"
1998,Mar,Louisiana,"SHAD, AMERICAN",177.2,"390,683","41,522"
1999,Mar,Louisiana,"SHAD, AMERICAN",106.3,"234,335","26,309"
1999,Mar,Louisiana,"SHAD, GIZZARD",188.3,"415,179","40,101"
2000,Mar,Louisiana,"SHAD, GIZZARD",122,"268,864","25,187"
2001,Mar,Louisiana,"SHAD, GIZZARD",79.3,"174,869","17,665"
2002,Mar,Louisiana,"SHAD, GIZZARD",183.8,"405,100","48,724"
2003,Mar,Louisiana,"SHAD, GIZZARD",180,"396,780","51,466"
2004,Mar,Louisiana,"SHAD, GIZZARD",258.9,"570,727","66,982"
2005,Mar,Louisiana,"SHAD, GIZZARD",186.6,"411,288","69,598"
2006,Mar,Louisiana,"SHAD, GIZZARD",76.9,"169,448","20,364"
2007,Mar,Louisiana,"SHAD, GIZZARD",56.3,"124,198","24,245"
2008,Mar,Louisiana,"SHAD, GIZZARD",39.4,"86,920","16,795"
2009,Mar,Louisiana,"SHAD, GIZZARD",226.4,"499,200","94,148"
