Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,"SHARK, BLACKTIP",0,9,5
1992,Jan,Alabama,SHARKS,18.3,"40,343","23,684"
2001,Jan,Alabama,SHARKS,0.1,131,79
2002,Jan,Alabama,SHARKS,5.1,"11,333","12,505"
2003,Jan,Alabama,SHARKS,34,"74,926","25,207"
2004,Jan,Alabama,SHARKS,67.4,"148,563","113,989"
2005,Jan,Alabama,SHARKS,45.2,"99,640","67,967"
2006,Jan,Alabama,SHARKS,58,"127,975","49,280"
2007,Jan,Alabama,SHARKS,18.4,"40,573","39,304"
2008,Jan,Alabama,SHARKS,11.1,"24,542","26,664"
2009,Jan,Alabama,SHARKS,5.7,"12,471","13,196"
2010,Jan,Alabama,SHARKS,0.2,500,270
2011,Jan,Alabama,SHARKS,0.2,421,303
2012,Jan,Alabama,SHARKS,0.4,773,653
2014,Jan,Alabama,SHARKS,2.2,"4,945","17,551"
2015,Jan,Alabama,SHARKS,5.1,"11,190","8,793"
2016,Jan,Alabama,SHARKS,14.9,"32,806","21,168"
2002,Jan,Florida West Coast,"SHARK, ATLANTIC SHARPNOSE",0,70,28
1995,Jan,Florida West Coast,"SHARK, BLACKNOSE",1.2,"2,581",991
1996,Jan,Florida West Coast,"SHARK, BLACKNOSE",1.6,"3,503","1,507"
2002,Jan,Florida West Coast,"SHARK, BLACKNOSE",9.3,"20,585","5,994"
2007,Jan,Florida West Coast,"SHARK, BLACKNOSE",7.7,"16,933","7,104"
1992,Jan,Florida West Coast,"SHARK, BLACKTIP",0.3,608,260
1993,Jan,Florida West Coast,"SHARK, BLACKTIP",0.2,549,174
1994,Jan,Florida West Coast,"SHARK, BLACKTIP",0.2,504,401
1995,Jan,Florida West Coast,"SHARK, BLACKTIP",2.4,"5,380","2,740"
1996,Jan,Florida West Coast,"SHARK, BLACKTIP",9,"19,768","6,515"
1997,Jan,Florida West Coast,"SHARK, BLACKTIP",3.6,"7,973","3,394"
1998,Jan,Florida West Coast,"SHARK, BLACKTIP",3.8,"8,457","3,739"
1999,Jan,Florida West Coast,"SHARK, BLACKTIP",12.8,"28,113","13,170"
2000,Jan,Florida West Coast,"SHARK, BLACKTIP",11.1,"24,571","9,193"
2001,Jan,Florida West Coast,"SHARK, BLACKTIP",4.4,"9,793","3,678"
2002,Jan,Florida West Coast,"SHARK, BLACKTIP",12.2,"26,833","8,044"
2003,Jan,Florida West Coast,"SHARK, BLACKTIP",3.3,"7,311","2,339"
2004,Jan,Florida West Coast,"SHARK, BLACKTIP",9.6,"21,269","6,569"
2005,Jan,Florida West Coast,"SHARK, BLACKTIP",32.6,"71,844","21,738"
2006,Jan,Florida West Coast,"SHARK, BLACKTIP",26.6,"58,625","17,227"
2007,Jan,Florida West Coast,"SHARK, BLACKTIP",13.3,"29,211","10,658"
2009,Jan,Florida West Coast,"SHARK, BLACKTIP",1,"2,267",488
1996,Jan,Florida West Coast,"SHARK, BULL",4.3,"9,408","4,042"
2002,Jan,Florida West Coast,"SHARK, BULL",4.7,"10,340","3,655"
2003,Jan,Florida West Coast,"SHARK, BULL",8.4,"18,567","4,133"
2005,Jan,Florida West Coast,"SHARK, BULL",15.1,"33,311","9,509"
2006,Jan,Florida West Coast,"SHARK, BULL",14.4,"31,648","9,062"
2007,Jan,Florida West Coast,"SHARK, BULL",23.3,"51,464","13,866"
1996,Jan,Florida West Coast,"SHARK, DUSKY",1.1,"2,452",990
1997,Jan,Florida West Coast,"SHARK, DUSKY",0.9,"2,093",782
2002,Jan,Florida West Coast,"SHARK, FINETOOTH",0,60,32
1996,Jan,Florida West Coast,"SHARK, HAMMERHEAD",3.3,"7,293","1,191"
2001,Jan,Florida West Coast,"SHARK, HAMMERHEAD",2.3,"5,164",931
2002,Jan,Florida West Coast,"SHARK, HAMMERHEAD",1.8,"4,004",30
