Year,Month,State,Species,Metric Tons,Pounds,$
1990,Jan,Alabama,SHEEPSHEAD,20.4,"45,014","6,562"
1991,Jan,Alabama,SHEEPSHEAD,3,"6,603","1,846"
1992,Jan,Alabama,SHEEPSHEAD,17.3,"38,131","11,249"
1993,Jan,Alabama,SHEEPSHEAD,6.2,"13,720","7,345"
1994,Jan,Alabama,SHEEPSHEAD,13.4,"29,625","10,110"
1995,Jan,Alabama,SHEEPSHEAD,2.9,"6,319","1,842"
1996,Jan,Alabama,SHEEPSHEAD,41.9,"92,431","32,787"
1997,Jan,Alabama,SHEEPSHEAD,49.9,"110,092","42,723"
1998,Jan,Alabama,SHEEPSHEAD,16,"35,257","11,358"
1999,Jan,Alabama,SHEEPSHEAD,10.2,"22,549","10,588"
2000,Jan,Alabama,SHEEPSHEAD,13.5,"29,737","13,359"
2001,Jan,Alabama,SHEEPSHEAD,50.7,"111,698","36,811"
2002,Jan,Alabama,SHEEPSHEAD,17.7,"38,985","13,415"
2003,Jan,Alabama,SHEEPSHEAD,24.2,"53,266","21,191"
2004,Jan,Alabama,SHEEPSHEAD,7.4,"16,343","7,800"
2005,Jan,Alabama,SHEEPSHEAD,9.1,"20,030","8,184"
2006,Jan,Alabama,SHEEPSHEAD,5.2,"11,379","6,485"
2007,Jan,Alabama,SHEEPSHEAD,6.1,"13,465","7,856"
2008,Jan,Alabama,SHEEPSHEAD,0.6,"1,422",898
2009,Jan,Alabama,SHEEPSHEAD,3.1,"6,836","3,941"
2010,Jan,Alabama,SHEEPSHEAD,20.7,"45,553","16,547"
2011,Jan,Alabama,SHEEPSHEAD,2.3,"5,056","3,056"
2012,Jan,Alabama,SHEEPSHEAD,15.5,"34,231","17,813"
2013,Jan,Alabama,SHEEPSHEAD,5.4,"11,806","8,885"
2014,Jan,Alabama,SHEEPSHEAD,4.3,"9,440","6,363"
2015,Jan,Alabama,SHEEPSHEAD,3,"6,721","4,525"
2016,Jan,Alabama,SHEEPSHEAD,3.2,"7,071","5,450"
1990,Jan,Florida West Coast,SHEEPSHEAD,27.9,"61,606","21,708"
1991,Jan,Florida West Coast,SHEEPSHEAD,17.5,"38,556","15,897"
1992,Jan,Florida West Coast,SHEEPSHEAD,58.1,"128,038","53,733"
1993,Jan,Florida West Coast,SHEEPSHEAD,26.6,"58,583","23,901"
1994,Jan,Florida West Coast,SHEEPSHEAD,52.1,"114,803","50,055"
1995,Jan,Florida West Coast,SHEEPSHEAD,58.4,"128,726","59,000"
1996,Jan,Florida West Coast,SHEEPSHEAD,6.1,"13,467","9,526"
1997,Jan,Florida West Coast,SHEEPSHEAD,10.1,"22,221","17,248"
1998,Jan,Florida West Coast,SHEEPSHEAD,9.7,"21,308","14,953"
1999,Jan,Florida West Coast,SHEEPSHEAD,10.5,"23,052","17,285"
2000,Jan,Florida West Coast,SHEEPSHEAD,9.5,"20,990","14,881"
2001,Jan,Florida West Coast,SHEEPSHEAD,17.3,"38,247","25,413"
2002,Jan,Florida West Coast,SHEEPSHEAD,12.1,"26,691","19,520"
2003,Jan,Florida West Coast,SHEEPSHEAD,22.1,"48,636","31,698"
2004,Jan,Florida West Coast,SHEEPSHEAD,15.7,"34,665","23,360"
2005,Jan,Florida West Coast,SHEEPSHEAD,10.6,"23,350","16,884"
2006,Jan,Florida West Coast,SHEEPSHEAD,6.2,"13,654","10,716"
2007,Jan,Florida West Coast,SHEEPSHEAD,6.8,"14,921","11,627"
2008,Jan,Florida West Coast,SHEEPSHEAD,6.2,"13,663","11,069"
2009,Jan,Florida West Coast,SHEEPSHEAD,9,"19,755","14,658"
2010,Jan,Florida West Coast,SHEEPSHEAD,17,"37,547","27,343"
2011,Jan,Florida West Coast,SHEEPSHEAD,18.7,"41,159","28,730"
2012,Jan,Florida West Coast,SHEEPSHEAD,13.2,"29,064","23,039"
2013,Jan,Florida West Coast,SHEEPSHEAD,12.8,"28,189","24,597"
2014,Jan,Florida West Coast,SHEEPSHEAD,16.2,"35,606","29,262"
2015,Jan,Florida West Coast,SHEEPSHEAD,31.8,"69,999","56,096"
2016,Jan,Florida West Coast,SHEEPSHEAD,8.6,"18,928","17,680"
1990,Jan,Louisiana,SHEEPSHEAD,188.2,"414,895","55,847"
1991,Jan,Louisiana,SHEEPSHEAD,80,"176,318","39,901"
1992,Jan,Louisiana,SHEEPSHEAD,228.4,"503,474","136,390"
1993,Jan,Louisiana,SHEEPSHEAD,262.9,"579,501","145,038"
1994,Jan,Louisiana,SHEEPSHEAD,331.7,"731,265","203,332"
1995,Jan,Louisiana,SHEEPSHEAD,231,"509,236","127,626"
1996,Jan,Louisiana,SHEEPSHEAD,127.3,"280,545","73,949"
1997,Jan,Louisiana,SHEEPSHEAD,194.2,"428,143","131,644"
1998,Jan,Louisiana,SHEEPSHEAD,106.8,"235,457","59,988"
1999,Jan,Louisiana,SHEEPSHEAD,196.1,"432,355","95,427"
2000,Jan,Louisiana,SHEEPSHEAD,53.9,"118,851","29,989"
2001,Jan,Louisiana,SHEEPSHEAD,108.3,"238,716","52,158"
2002,Jan,Louisiana,SHEEPSHEAD,130.4,"287,558","66,567"
2003,Jan,Louisiana,SHEEPSHEAD,105,"231,399","38,223"
2004,Jan,Louisiana,SHEEPSHEAD,73.6,"162,241","42,869"
2005,Jan,Louisiana,SHEEPSHEAD,92.5,"203,848","41,542"
2006,Jan,Louisiana,SHEEPSHEAD,3.1,"6,775","2,748"
2007,Jan,Louisiana,SHEEPSHEAD,70.7,"155,779","39,344"
2008,Jan,Louisiana,SHEEPSHEAD,144.6,"318,770","91,423"
2009,Jan,Louisiana,SHEEPSHEAD,87,"191,856","67,740"
2010,Jan,Louisiana,SHEEPSHEAD,131.1,"288,922","81,032"
2011,Jan,Louisiana,SHEEPSHEAD,17,"37,376","14,693"
2012,Jan,Louisiana,SHEEPSHEAD,67.2,"148,156","62,882"
