Year,Month,State,Species,Metric Tons,Pounds,$
1990,Jan,Alabama,"SHRIMP, BROWN",111.2,"245,147","564,002"
1991,Jan,Alabama,"SHRIMP, BROWN",172.4,"380,147","1,136,575"
1992,Jan,Alabama,"SHRIMP, BROWN",172.5,"380,284","1,044,488"
1993,Jan,Alabama,"SHRIMP, BROWN",160.3,"353,504","1,070,249"
1994,Jan,Alabama,"SHRIMP, BROWN",98.8,"217,824","696,871"
1995,Jan,Alabama,"SHRIMP, BROWN",57.7,"127,214","485,153"
1996,Jan,Alabama,"SHRIMP, BROWN",119.1,"262,483","936,847"
1997,Jan,Alabama,"SHRIMP, BROWN",135.1,"297,779","1,082,132"
1998,Jan,Alabama,"SHRIMP, BROWN",74,"163,108","675,689"
1999,Jan,Alabama,"SHRIMP, BROWN",104.5,"230,381","737,806"
2000,Jan,Alabama,"SHRIMP, BROWN",127.5,"281,123","898,512"
2001,Jan,Alabama,"SHRIMP, BROWN",167,"368,140","1,220,400"
2002,Jan,Alabama,"SHRIMP, BROWN",135.3,"298,227","803,405"
2003,Jan,Alabama,"SHRIMP, BROWN",142,"313,162","769,694"
2004,Jan,Alabama,"SHRIMP, BROWN",103.2,"227,499","530,441"
2005,Jan,Alabama,"SHRIMP, BROWN",102.1,"225,146","603,003"
2006,Jan,Alabama,"SHRIMP, BROWN",100,"220,545","432,840"
2007,Jan,Alabama,"SHRIMP, BROWN",83.7,"184,517","359,301"
2008,Jan,Alabama,"SHRIMP, BROWN",152.9,"337,044","849,617"
2009,Jan,Alabama,"SHRIMP, BROWN",117.7,"259,456","454,830"
2010,Jan,Alabama,"SHRIMP, BROWN",78,"172,036","321,469"
2011,Jan,Alabama,"SHRIMP, BROWN",54.4,"119,894","343,471"
2012,Jan,Alabama,"SHRIMP, BROWN",66,"145,607","375,108"
2013,Jan,Alabama,"SHRIMP, BROWN",196.9,"434,127","1,194,199"
2014,Jan,Alabama,"SHRIMP, BROWN",87.9,"193,834","792,005"
2015,Jan,Alabama,"SHRIMP, BROWN",125.7,"277,058","1,042,215"
2016,Jan,Alabama,"SHRIMP, BROWN",60,"132,253","421,470"
1994,Jan,Alabama,"SHRIMP, MARINE, OTHER",2.4,"5,207","2,603"
1995,Jan,Alabama,"SHRIMP, MARINE, OTHER",0.4,990,742
1996,Jan,Alabama,"SHRIMP, MARINE, OTHER",1.4,"3,040","2,280"
2003,Jan,Alabama,"SHRIMP, MARINE, OTHER",2.7,"5,917","4,070"
1990,Jan,Alabama,"SHRIMP, PINK",76.6,"168,793","265,488"
1991,Jan,Alabama,"SHRIMP, PINK",14.7,"32,338","51,073"
1992,Jan,Alabama,"SHRIMP, PINK",5.4,"11,910","18,768"
1993,Jan,Alabama,"SHRIMP, PINK",1.7,"3,661","7,054"
1994,Jan,Alabama,"SHRIMP, PINK",129.1,"284,659","591,388"
1995,Jan,Alabama,"SHRIMP, PINK",85.8,"189,185","517,322"
1996,Jan,Alabama,"SHRIMP, PINK",171.4,"377,900","670,134"
1997,Jan,Alabama,"SHRIMP, PINK",88.4,"194,915","557,707"
1998,Jan,Alabama,"SHRIMP, PINK",97.3,"214,560","608,330"
1999,Jan,Alabama,"SHRIMP, PINK",56.6,"124,878","298,200"
2000,Jan,Alabama,"SHRIMP, PINK",42.9,"94,664","269,504"
2001,Jan,Alabama,"SHRIMP, PINK",101.5,"223,796","649,429"
2002,Jan,Alabama,"SHRIMP, PINK",41.5,"91,490","184,374"
2003,Jan,Alabama,"SHRIMP, PINK",45.7,"100,733","195,715"
2004,Jan,Alabama,"SHRIMP, PINK",4.6,"10,050","19,095"
2005,Jan,Alabama,"SHRIMP, PINK",13.7,"30,179","51,603"
2006,Jan,Alabama,"SHRIMP, PINK",0.6,"1,403","3,402"
2007,Jan,Alabama,"SHRIMP, PINK",1.6,"3,560","3,857"
2009,Jan,Alabama,"SHRIMP, PINK",24.3,"53,583","81,381"
2010,Jan,Alabama,"SHRIMP, PINK",0.3,584,931
2011,Jan,Alabama,"SHRIMP, PINK",1,"2,280","4,762"
2013,Jan,Alabama,"SHRIMP, PINK",1.2,"2,555","4,177"
2014,Jan,Alabama,"SHRIMP, PINK",85.8,"189,200","654,413"
2015,Jan,Alabama,"SHRIMP, PINK",75.1,"165,458","344,056"
2016,Jan,Alabama,"SHRIMP, PINK",2.1,"4,717","12,860"
1991,Jan,Alabama,"SHRIMP, ROCK",0.1,165,74
1992,Jan,Alabama,"SHRIMP, ROCK",0.1,177,106
1993,Jan,Alabama,"SHRIMP, ROCK",20,"44,046","38,659"
1995,Jan,Alabama,"SHRIMP, ROCK",0.2,481,649
1996,Jan,Alabama,"SHRIMP, ROCK",0.2,338,400
1997,Jan,Alabama,"SHRIMP, ROCK",5.8,"12,879","14,036"
1998,Jan,Alabama,"SHRIMP, ROCK",7.1,"15,690","21,995"
1999,Jan,Alabama,"SHRIMP, ROCK",14.2,"31,380","46,916"
2000,Jan,Alabama,"SHRIMP, ROCK",3.2,"7,040","12,180"
2001,Jan,Alabama,"SHRIMP, ROCK",1,"2,127","3,868"
2002,Jan,Alabama,"SHRIMP, ROCK",1.6,"3,443","5,202"
2003,Jan,Alabama,"SHRIMP, ROCK",8,"17,570","38,613"
2004,Jan,Alabama,"SHRIMP, ROCK",6.7,"14,749","17,508"
2005,Jan,Alabama,"SHRIMP, ROCK",1.6,"3,424","2,064"
2006,Jan,Alabama,"SHRIMP, ROCK",1.2,"2,753","4,405"
2007,Jan,Alabama,"SHRIMP, ROCK",0.2,369,527
2008,Jan,Alabama,"SHRIMP, ROCK",0.1,176,349
2015,Jan,Alabama,"SHRIMP, ROCK",0,23,72
1990,Jan,Alabama,"SHRIMP, ROYAL RED",1.7,"3,690","6,841"
1992,Jan,Alabama,"SHRIMP, ROYAL RED",3.1,"6,892","13,613"
1993,Jan,Alabama,"SHRIMP, ROYAL RED",12.6,"27,697","50,527"
1994,Jan,Alabama,"SHRIMP, ROYAL RED",15.2,"33,470","62,723"
1995,Jan,Alabama,"SHRIMP, ROYAL RED",0.4,810,"1,665"
1996,Jan,Alabama,"SHRIMP, ROYAL RED",11.9,"26,256","52,131"
1997,Jan,Alabama,"SHRIMP, ROYAL RED",11.6,"25,475","55,875"
1998,Jan,Alabama,"SHRIMP, ROYAL RED",4,"8,892","18,993"
1999,Jan,Alabama,"SHRIMP, ROYAL RED",4,"8,892","18,993"
2000,Jan,Alabama,"SHRIMP, ROYAL RED",21.7,"47,848","100,943"
2001,Jan,Alabama,"SHRIMP, ROYAL RED",10.7,"23,596","49,733"
2002,Jan,Alabama,"SHRIMP, ROYAL RED",23.4,"51,664","109,457"
2003,Jan,Alabama,"SHRIMP, ROYAL RED",9.3,"20,469","46,601"
2004,Jan,Alabama,"SHRIMP, ROYAL RED",26,"57,258","129,151"
2005,Jan,Alabama,"SHRIMP, ROYAL RED",12.2,"26,970","70,119"
2006,Jan,Alabama,"SHRIMP, ROYAL RED",10.4,"23,035","71,614"
2007,Jan,Alabama,"SHRIMP, ROYAL RED",9.2,"20,380","58,531"
2008,Jan,Alabama,"SHRIMP, ROYAL RED",9.3,"20,451","62,953"
2009,Jan,Alabama,"SHRIMP, ROYAL RED",7.9,"17,379","49,531"
2010,Jan,Alabama,"SHRIMP, ROYAL RED",9.5,"20,969","62,101"
2011,Jan,Alabama,"SHRIMP, ROYAL RED",9.5,"20,916","75,108"
2012,Jan,Alabama,"SHRIMP, ROYAL RED",8.7,"19,143","67,707"
2013,Jan,Alabama,"SHRIMP, ROYAL RED",6.1,"13,450","53,843"
2016,Jan,Alabama,"SHRIMP, ROYAL RED",10.6,"23,472","75,831"
1990,Jan,Alabama,"SHRIMP, WHITE",14,"30,900","64,517"
1991,Jan,Alabama,"SHRIMP, WHITE",50,"110,252","318,396"
1992,Jan,Alabama,"SHRIMP, WHITE",29.6,"65,148","171,501"
1993,Jan,Alabama,"SHRIMP, WHITE",39.6,"87,259","251,786"
1994,Jan,Alabama,"SHRIMP, WHITE",16.6,"36,706","123,449"
1995,Jan,Alabama,"SHRIMP, WHITE",27.4,"60,457","201,526"
1996,Jan,Alabama,"SHRIMP, WHITE",43.7,"96,324","279,270"
1997,Jan,Alabama,"SHRIMP, WHITE",2.7,"5,918","18,061"
1998,Jan,Alabama,"SHRIMP, WHITE",6,"13,245","41,349"
1999,Jan,Alabama,"SHRIMP, WHITE",67.9,"149,682","438,078"
2000,Jan,Alabama,"SHRIMP, WHITE",33.4,"73,675","273,924"
2001,Jan,Alabama,"SHRIMP, WHITE",85.7,"188,848","648,264"
2002,Jan,Alabama,"SHRIMP, WHITE",55.2,"121,606","288,282"
2003,Jan,Alabama,"SHRIMP, WHITE",58.5,"128,882","299,395"
2004,Jan,Alabama,"SHRIMP, WHITE",21.4,"47,094","113,311"
2005,Jan,Alabama,"SHRIMP, WHITE",95.9,"211,371","463,269"
2006,Jan,Alabama,"SHRIMP, WHITE",411.1,"906,273","1,488,280"
2007,Jan,Alabama,"SHRIMP, WHITE",226.1,"498,409","863,119"
