Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,"SNAPPER, GRAY",0,27,27
2009,Jan,Alabama,"SNAPPER, GRAY",0,23,40
2004,Jan,Alabama,"SNAPPER, LANE",0.1,139,256
2010,Jan,Alabama,"SNAPPER, LANE",0.2,420,885
1990,Jan,Alabama,"SNAPPER, RED",1,"2,294","5,375"
1991,Jan,Alabama,"SNAPPER, RED",3,"6,651","16,172"
1992,Jan,Alabama,"SNAPPER, RED",10.4,"22,964","48,195"
2009,Jan,Alabama,"SNAPPER, RED",3.4,"7,590","33,068"
2012,Jan,Alabama,"SNAPPER, RED",2.2,"4,898","19,934"
2016,Jan,Alabama,"SNAPPER, RED",9.1,"20,083","86,820"
1990,Jan,Alabama,"SNAPPER, VERMILION",0.2,407,586
1992,Jan,Alabama,"SNAPPER, VERMILION",0.2,503,806
1993,Jan,Alabama,"SNAPPER, VERMILION",1.8,"3,947","6,517"
2002,Jan,Alabama,"SNAPPER, VERMILION",0.6,"1,383","2,642"
2004,Jan,Alabama,"SNAPPER, VERMILION",4,"8,729","21,019"
2009,Jan,Alabama,"SNAPPER, VERMILION",5.4,"11,829","32,290"
2010,Jan,Alabama,"SNAPPER, VERMILION",10.1,"22,356","59,350"
2011,Jan,Alabama,"SNAPPER, VERMILION",2.2,"4,940","13,753"
2012,Jan,Alabama,"SNAPPER, VERMILION",4.8,"10,565","30,750"
2016,Jan,Alabama,"SNAPPER, VERMILION",0.6,"1,235","4,568"
1993,Jan,Florida West Coast,"SNAPPER, BLACK",0.4,990,"1,783"
2002,Jan,Florida West Coast,"SNAPPER, BLACK",0.1,160,126
1993,Jan,Florida West Coast,"SNAPPER, BLACKFIN",0.2,513,924
1997,Jan,Florida West Coast,"SNAPPER, BLACKFIN",0.1,125,186
2001,Jan,Florida West Coast,"SNAPPER, BLACKFIN",0.1,296,740
2002,Jan,Florida West Coast,"SNAPPER, BLACKFIN",0.1,122,219
2004,Jan,Florida West Coast,"SNAPPER, BLACKFIN",0.2,518,797
2006,Jan,Florida West Coast,"SNAPPER, BLACKFIN",0.2,542,"1,045"
2009,Jan,Florida West Coast,"SNAPPER, BLACKFIN",0.1,292,708
2002,Jan,Florida West Coast,"SNAPPER, CUBERA",0,53,48
2004,Jan,Florida West Coast,"SNAPPER, CUBERA",0.1,141,130
2012,Jan,Florida West Coast,"SNAPPER, CUBERA",0.1,114,171
2013,Jan,Florida West Coast,"SNAPPER, CUBERA",0.1,185,210
2016,Jan,Florida West Coast,"SNAPPER, CUBERA",0.1,202,419
1996,Jan,Florida West Coast,"SNAPPER, DOG",0,50,77
1999,Jan,Florida West Coast,"SNAPPER, DOG",0.1,163,197
2002,Jan,Florida West Coast,"SNAPPER, DOG",0,19,41
2003,Jan,Florida West Coast,"SNAPPER, DOG",0,50,53
1990,Jan,Florida West Coast,"SNAPPER, GRAY",20.3,"44,812","73,734"
1991,Jan,Florida West Coast,"SNAPPER, GRAY",10.8,"23,913","42,481"
1992,Jan,Florida West Coast,"SNAPPER, GRAY",11.2,"24,623","41,968"
1993,Jan,Florida West Coast,"SNAPPER, GRAY",12,"26,386","44,277"
1994,Jan,Florida West Coast,"SNAPPER, GRAY",11.6,"25,486","46,449"
1995,Jan,Florida West Coast,"SNAPPER, GRAY",10.8,"23,733","45,466"
1996,Jan,Florida West Coast,"SNAPPER, GRAY",8.6,"18,900","35,536"
1997,Jan,Florida West Coast,"SNAPPER, GRAY",10.2,"22,494","44,915"
1998,Jan,Florida West Coast,"SNAPPER, GRAY",7.5,"16,502","30,106"
1999,Jan,Florida West Coast,"SNAPPER, GRAY",7,"15,503","29,239"
2000,Jan,Florida West Coast,"SNAPPER, GRAY",5.8,"12,752","24,957"
2001,Jan,Florida West Coast,"SNAPPER, GRAY",8.1,"17,836","35,419"
2002,Jan,Florida West Coast,"SNAPPER, GRAY",9.9,"21,790","42,137"
2003,Jan,Florida West Coast,"SNAPPER, GRAY",6.3,"13,849","26,758"
2004,Jan,Florida West Coast,"SNAPPER, GRAY",8.2,"18,027","35,824"
2005,Jan,Florida West Coast,"SNAPPER, GRAY",6.9,"15,247","30,629"
2006,Jan,Florida West Coast,"SNAPPER, GRAY",7.9,"17,345","36,188"
2007,Jan,Florida West Coast,"SNAPPER, GRAY",3.3,"7,345","17,151"
2008,Jan,Florida West Coast,"SNAPPER, GRAY",2.9,"6,495","14,916"
2009,Jan,Florida West Coast,"SNAPPER, GRAY",4.3,"9,545","20,933"
2010,Jan,Florida West Coast,"SNAPPER, GRAY",2.5,"5,458","13,997"
2011,Jan,Florida West Coast,"SNAPPER, GRAY",4.9,"10,747","25,290"
2012,Jan,Florida West Coast,"SNAPPER, GRAY",6.1,"13,499","34,014"
2013,Jan,Florida West Coast,"SNAPPER, GRAY",3.4,"7,455","17,572"
2014,Jan,Florida West Coast,"SNAPPER, GRAY",2.5,"5,481","13,921"
2015,Jan,Florida West Coast,"SNAPPER, GRAY",4.7,"10,396","27,980"
2016,Jan,Florida West Coast,"SNAPPER, GRAY",2.9,"6,474","16,516"
1990,Jan,Florida West Coast,"SNAPPER, LANE",3.1,"6,832","7,306"
1991,Jan,Florida West Coast,"SNAPPER, LANE",2.7,"5,939","7,661"
1992,Jan,Florida West Coast,"SNAPPER, LANE",2.7,"5,872","7,172"
1993,Jan,Florida West Coast,"SNAPPER, LANE",4.1,"8,937","10,898"
1994,Jan,Florida West Coast,"SNAPPER, LANE",2.6,"5,763","6,541"
1995,Jan,Florida West Coast,"SNAPPER, LANE",2.1,"4,610","5,415"
1996,Jan,Florida West Coast,"SNAPPER, LANE",1.3,"2,924","3,712"
1997,Jan,Florida West Coast,"SNAPPER, LANE",2.9,"6,321","8,808"
1998,Jan,Florida West Coast,"SNAPPER, LANE",1.2,"2,655","3,528"
1999,Jan,Florida West Coast,"SNAPPER, LANE",1.3,"2,826","3,238"
2000,Jan,Florida West Coast,"SNAPPER, LANE",1.1,"2,380","3,544"
2001,Jan,Florida West Coast,"SNAPPER, LANE",0.8,"1,815","2,853"
2002,Jan,Florida West Coast,"SNAPPER, LANE",1,"2,243","3,570"
2003,Jan,Florida West Coast,"SNAPPER, LANE",0.4,989,"1,542"
2004,Jan,Florida West Coast,"SNAPPER, LANE",1.4,"3,170","5,323"
2005,Jan,Florida West Coast,"SNAPPER, LANE",0.6,"1,290","2,325"
2006,Jan,Florida West Coast,"SNAPPER, LANE",0.5,"1,011","1,875"
2007,Jan,Florida West Coast,"SNAPPER, LANE",0.4,878,"1,862"
2008,Jan,Florida West Coast,"SNAPPER, LANE",0.4,957,"2,413"
2009,Jan,Florida West Coast,"SNAPPER, LANE",0.6,"1,362","3,067"
2010,Jan,Florida West Coast,"SNAPPER, LANE",1.8,"4,010","10,245"
2011,Jan,Florida West Coast,"SNAPPER, LANE",0.2,524,"1,051"
2012,Jan,Florida West Coast,"SNAPPER, LANE",0.4,789,"1,749"
2013,Jan,Florida West Coast,"SNAPPER, LANE",1.3,"2,840","7,859"
2014,Jan,Florida West Coast,"SNAPPER, LANE",0.4,772,"1,860"
2015,Jan,Florida West Coast,"SNAPPER, LANE",0.6,"1,427","3,358"
2016,Jan,Florida West Coast,"SNAPPER, LANE",1.2,"2,600","5,832"
1990,Jan,Florida West Coast,"SNAPPER, MUTTON",9.5,"20,842","38,025"
1991,Jan,Florida West Coast,"SNAPPER, MUTTON",10.6,"23,432","44,522"
1992,Jan,Florida West Coast,"SNAPPER, MUTTON",8.4,"18,428","31,964"
1993,Jan,Florida West Coast,"SNAPPER, MUTTON",7.4,"16,366","29,106"
1994,Jan,Florida West Coast,"SNAPPER, MUTTON",9.7,"21,457","43,760"
1995,Jan,Florida West Coast,"SNAPPER, MUTTON",7.2,"15,831","31,490"
1996,Jan,Florida West Coast,"SNAPPER, MUTTON",6,"13,252","27,380"
1997,Jan,Florida West Coast,"SNAPPER, MUTTON",5.9,"12,932","25,397"
1998,Jan,Florida West Coast,"SNAPPER, MUTTON",6.6,"14,564","28,134"
1999,Jan,Florida West Coast,"SNAPPER, MUTTON",8.8,"19,504","39,439"
2000,Jan,Florida West Coast,"SNAPPER, MUTTON",4.7,"10,332","20,337"
2001,Jan,Florida West Coast,"SNAPPER, MUTTON",5.5,"12,152","24,108"
2002,Jan,Florida West Coast,"SNAPPER, MUTTON",10.2,"22,463","44,919"
2003,Jan,Florida West Coast,"SNAPPER, MUTTON",7.4,"16,338","31,267"
2004,Jan,Florida West Coast,"SNAPPER, MUTTON",15.1,"33,340","63,658"
2005,Jan,Florida West Coast,"SNAPPER, MUTTON",8.4,"18,509","37,402"
2006,Jan,Florida West Coast,"SNAPPER, MUTTON",6.3,"13,939","29,786"
2007,Jan,Florida West Coast,"SNAPPER, MUTTON",4.6,"10,053","22,586"
2008,Jan,Florida West Coast,"SNAPPER, MUTTON",2.8,"6,217","14,678"
2009,Jan,Florida West Coast,"SNAPPER, MUTTON",3.9,"8,545","21,370"
2010,Jan,Florida West Coast,"SNAPPER, MUTTON",1.3,"2,941","7,356"
2011,Jan,Florida West Coast,"SNAPPER, MUTTON",1.6,"3,433","8,181"
2012,Jan,Florida West Coast,"SNAPPER, MUTTON",3.5,"7,677","19,885"
2013,Jan,Florida West Coast,"SNAPPER, MUTTON",5.6,"12,426","32,297"
2014,Jan,Florida West Coast,"SNAPPER, MUTTON",3.6,"7,917","22,718"
2015,Jan,Florida West Coast,"SNAPPER, MUTTON",2.5,"5,510","16,168"
2016,Jan,Florida West Coast,"SNAPPER, MUTTON",1.7,"3,703","11,226"
1993,Jan,Florida West Coast,"SNAPPER, QUEEN",0.1,225,406
1994,Jan,Florida West Coast,"SNAPPER, QUEEN",0.1,211,371
1995,Jan,Florida West Coast,"SNAPPER, QUEEN",0.1,276,617
1996,Jan,Florida West Coast,"SNAPPER, QUEEN",1.4,"3,073","5,689"
1997,Jan,Florida West Coast,"SNAPPER, QUEEN",3.7,"8,236","20,016"
1999,Jan,Florida West Coast,"SNAPPER, QUEEN",2.1,"4,599","10,756"
2000,Jan,Florida West Coast,"SNAPPER, QUEEN",1.2,"2,677","6,180"
2001,Jan,Florida West Coast,"SNAPPER, QUEEN",0.8,"1,680","3,925"
2002,Jan,Florida West Coast,"SNAPPER, QUEEN",1.4,"3,015","6,828"
2003,Jan,Florida West Coast,"SNAPPER, QUEEN",0,76,177
2004,Jan,Florida West Coast,"SNAPPER, QUEEN",0.4,890,"2,106"
2005,Jan,Florida West Coast,"SNAPPER, QUEEN",0.5,"1,089","2,620"
2006,Jan,Florida West Coast,"SNAPPER, QUEEN",0.4,831,"2,144"
2007,Jan,Florida West Coast,"SNAPPER, QUEEN",1.8,"4,010","10,493"
2008,Jan,Florida West Coast,"SNAPPER, QUEEN",0.9,"1,888","5,097"
2009,Jan,Florida West Coast,"SNAPPER, QUEEN",0.6,"1,431","4,195"
2010,Jan,Florida West Coast,"SNAPPER, QUEEN",0.2,401,"1,232"
2011,Jan,Florida West Coast,"SNAPPER, QUEEN",0.1,203,624
2012,Jan,Florida West Coast,"SNAPPER, QUEEN",0.1,261,607
2013,Jan,Florida West Coast,"SNAPPER, QUEEN",0.3,754,"2,120"
2014,Jan,Florida West Coast,"SNAPPER, QUEEN",0.2,379,"1,177"
2015,Jan,Florida West Coast,"SNAPPER, QUEEN",0.5,"1,057","3,477"
1990,Jan,Florida West Coast,"SNAPPER, RED",25.6,"56,332","172,778"
1991,Jan,Florida West Coast,"SNAPPER, RED",21.6,"47,703","145,417"
1992,Jan,Florida West Coast,"SNAPPER, RED",117.6,"259,283","497,338"
1993,Jan,Florida West Coast,"SNAPPER, RED",3,"6,552","15,898"
1994,Jan,Florida West Coast,"SNAPPER, RED",0.9,"1,956","5,116"
1995,Jan,Florida West Coast,"SNAPPER, RED",0.8,"1,859","4,543"
1996,Jan,Florida West Coast,"SNAPPER, RED",2.3,"5,077","12,683"
1997,Jan,Florida West Coast,"SNAPPER, RED",1.3,"2,922","7,819"
1998,Jan,Florida West Coast,"SNAPPER, RED",0.1,313,747
1999,Jan,Florida West Coast,"SNAPPER, RED",0.5,"1,058","2,422"
2000,Jan,Florida West Coast,"SNAPPER, RED",0.3,693,"1,548"
2001,Jan,Florida West Coast,"SNAPPER, RED",0.1,288,651
2002,Jan,Florida West Coast,"SNAPPER, RED",0.2,420,"1,113"
2003,Jan,Florida West Coast,"SNAPPER, RED",0.2,424,"1,154"
2004,Jan,Florida West Coast,"SNAPPER, RED",0.5,"1,122","3,081"
2005,Jan,Florida West Coast,"SNAPPER, RED",0.2,331,752
2006,Jan,Florida West Coast,"SNAPPER, RED",0.4,902,"2,576"
2007,Jan,Florida West Coast,"SNAPPER, RED",18.2,"40,068","137,225"
2008,Jan,Florida West Coast,"SNAPPER, RED",51.9,"114,403","387,547"
2009,Jan,Florida West Coast,"SNAPPER, RED",54.6,"120,317","424,451"
2010,Jan,Florida West Coast,"SNAPPER, RED",47.5,"104,632","346,885"
2011,Jan,Florida West Coast,"SNAPPER, RED",51.6,"113,773","390,625"
2012,Jan,Florida West Coast,"SNAPPER, RED",65.7,"144,772","525,983"
2013,Jan,Florida West Coast,"SNAPPER, RED",76.8,"169,388","659,103"
2014,Jan,Florida West Coast,"SNAPPER, RED",62.4,"137,648","500,187"
2015,Jan,Florida West Coast,"SNAPPER, RED",78.9,"173,866","677,228"
2016,Jan,Florida West Coast,"SNAPPER, RED",82.1,"180,901","651,352"
2002,Jan,Florida West Coast,"SNAPPER, SCHOOLMASTER",0,58,21
1990,Jan,Florida West Coast,"SNAPPER, SILK",1,"2,296","3,625"
1991,Jan,Florida West Coast,"SNAPPER, SILK",1.2,"2,625","4,591"
1992,Jan,Florida West Coast,"SNAPPER, SILK",11.2,"24,766","45,346"
1993,Jan,Florida West Coast,"SNAPPER, SILK",3,"6,691","14,304"
1994,Jan,Florida West Coast,"SNAPPER, SILK",2.3,"5,007","10,955"
1995,Jan,Florida West Coast,"SNAPPER, SILK",1.8,"3,995","9,190"
1996,Jan,Florida West Coast,"SNAPPER, SILK",4.6,"10,063","19,781"
1997,Jan,Florida West Coast,"SNAPPER, SILK",3.5,"7,658","18,316"
1998,Jan,Florida West Coast,"SNAPPER, SILK",4.9,"10,836","25,199"
1999,Jan,Florida West Coast,"SNAPPER, SILK",1.2,"2,632","6,307"
2000,Jan,Florida West Coast,"SNAPPER, SILK",1.5,"3,297","7,649"
2001,Jan,Florida West Coast,"SNAPPER, SILK",2.2,"4,828","12,413"
2002,Jan,Florida West Coast,"SNAPPER, SILK",1.8,"3,879","9,675"
2003,Jan,Florida West Coast,"SNAPPER, SILK",0.6,"1,223","3,295"
