Year,Month,State,Species,Metric Tons,Pounds,$
1992,Jan,Florida West Coast,SPADEFISHES,0.1,302,64
1993,Jan,Florida West Coast,SPADEFISHES,0.3,732,181
1994,Jan,Florida West Coast,SPADEFISHES,0.4,978,244
1995,Jan,Florida West Coast,SPADEFISHES,1,"2,304",909
1996,Jan,Florida West Coast,SPADEFISHES,0.7,"1,652",464
1997,Jan,Florida West Coast,SPADEFISHES,0.4,952,309
1998,Jan,Florida West Coast,SPADEFISHES,0.5,"1,021",404
1999,Jan,Florida West Coast,SPADEFISHES,0.3,617,255
2000,Jan,Florida West Coast,SPADEFISHES,0.4,853,444
2001,Jan,Florida West Coast,SPADEFISHES,1.3,"2,905","1,095"
2002,Jan,Florida West Coast,SPADEFISHES,0.3,585,244
2003,Jan,Florida West Coast,SPADEFISHES,0.1,230,93
2004,Jan,Florida West Coast,SPADEFISHES,0.1,291,201
2005,Jan,Florida West Coast,SPADEFISHES,0.2,502,260
2006,Jan,Florida West Coast,SPADEFISHES,0.2,381,281
2007,Jan,Florida West Coast,SPADEFISHES,0.2,434,246
2008,Jan,Florida West Coast,SPADEFISHES,0.5,"1,128",491
2009,Jan,Florida West Coast,SPADEFISHES,0.3,762,282
2010,Jan,Florida West Coast,SPADEFISHES,1.3,"2,795",967
2011,Jan,Florida West Coast,SPADEFISHES,0.1,152,77
2012,Jan,Florida West Coast,SPADEFISHES,0.1,139,61
2013,Jan,Florida West Coast,SPADEFISHES,0.2,445,176
2014,Jan,Florida West Coast,SPADEFISHES,0.1,242,138
2015,Jan,Florida West Coast,SPADEFISHES,0.1,167,81
2016,Jan,Florida West Coast,SPADEFISHES,0.3,635,366
2002,Jan,Louisiana,SPADEFISHES,0,37,14
2003,Jan,Louisiana,SPADEFISHES,0,81,37
1992,Feb,Florida West Coast,SPADEFISHES,0.1,248,60
1993,Feb,Florida West Coast,SPADEFISHES,0.3,636,158
1994,Feb,Florida West Coast,SPADEFISHES,0.6,"1,322",322
1995,Feb,Florida West Coast,SPADEFISHES,0.6,"1,368",373
1996,Feb,Florida West Coast,SPADEFISHES,0.4,836,314
1997,Feb,Florida West Coast,SPADEFISHES,0.8,"1,809",878
1998,Feb,Florida West Coast,SPADEFISHES,0.1,289,130
1999,Feb,Florida West Coast,SPADEFISHES,0.3,641,258
2000,Feb,Florida West Coast,SPADEFISHES,0.4,946,388
2001,Feb,Florida West Coast,SPADEFISHES,0.3,638,388
2002,Feb,Florida West Coast,SPADEFISHES,0.2,429,155
2003,Feb,Florida West Coast,SPADEFISHES,0.2,406,146
2004,Feb,Florida West Coast,SPADEFISHES,0.4,869,278
2005,Feb,Florida West Coast,SPADEFISHES,0.2,418,136
2006,Feb,Florida West Coast,SPADEFISHES,0.1,243,93
2007,Feb,Florida West Coast,SPADEFISHES,0.3,735,381
2008,Feb,Florida West Coast,SPADEFISHES,0.5,995,406
2009,Feb,Florida West Coast,SPADEFISHES,0.2,369,190
2010,Feb,Florida West Coast,SPADEFISHES,0.1,120,59
2011,Feb,Florida West Coast,SPADEFISHES,0,98,45
2012,Feb,Florida West Coast,SPADEFISHES,0,109,47
2013,Feb,Florida West Coast,SPADEFISHES,0.1,258,137
2014,Feb,Florida West Coast,SPADEFISHES,0.1,213,107
2015,Feb,Florida West Coast,SPADEFISHES,0.1,157,57
2016,Feb,Florida West Coast,SPADEFISHES,1.1,"2,364","1,303"
2002,Feb,Louisiana,SPADEFISHES,0,10,3
1992,Mar,Florida West Coast,SPADEFISHES,0.7,"1,545",385
1993,Mar,Florida West Coast,SPADEFISHES,0.8,"1,757",441
1994,Mar,Florida West Coast,SPADEFISHES,0.7,"1,520",455
1995,Mar,Florida West Coast,SPADEFISHES,0.8,"1,660",417
1996,Mar,Florida West Coast,SPADEFISHES,0.2,498,160
1997,Mar,Florida West Coast,SPADEFISHES,1.1,"2,456","1,667"
1998,Mar,Florida West Coast,SPADEFISHES,0.7,"1,433",596
1999,Mar,Florida West Coast,SPADEFISHES,0.2,457,177
2000,Mar,Florida West Coast,SPADEFISHES,0.3,691,291
2001,Mar,Florida West Coast,SPADEFISHES,0.5,"1,189",574
2002,Mar,Florida West Coast,SPADEFISHES,0.2,458,155
2003,Mar,Florida West Coast,SPADEFISHES,0.4,828,364
2004,Mar,Florida West Coast,SPADEFISHES,0.3,588,242
2005,Mar,Florida West Coast,SPADEFISHES,0.1,284,102
