Year,Month,State,Species,Metric Tons,Pounds,$
1991,Jan,Alabama,SPOT,0.7,"1,600",404
1992,Jan,Alabama,SPOT,0.3,569,134
1993,Jan,Alabama,SPOT,0.5,"1,169",238
1994,Jan,Alabama,SPOT,0.3,700,160
1995,Jan,Alabama,SPOT,0.3,674,112
1998,Jan,Alabama,SPOT,0.3,662,217
1999,Jan,Alabama,SPOT,1.1,"2,427",835
2000,Jan,Alabama,SPOT,2.3,"5,169","1,813"
2001,Jan,Alabama,SPOT,0.8,"1,772",615
2002,Jan,Alabama,SPOT,0.1,217,65
2003,Jan,Alabama,SPOT,0.1,329,99
2004,Jan,Alabama,SPOT,0.6,"1,312",198
2006,Jan,Alabama,SPOT,0.2,406,126
2007,Jan,Alabama,SPOT,0.1,275,90
2008,Jan,Alabama,SPOT,0.1,209,79
2009,Jan,Alabama,SPOT,0.1,286,116
2010,Jan,Alabama,SPOT,0,32,14
2012,Jan,Alabama,SPOT,0,89,42
1990,Jan,Florida West Coast,SPOT,0.2,440,97
1991,Jan,Florida West Coast,SPOT,0.5,"1,112",285
1992,Jan,Florida West Coast,SPOT,1.2,"2,708",827
1993,Jan,Florida West Coast,SPOT,0.6,"1,338",362
1994,Jan,Florida West Coast,SPOT,0.8,"1,780",666
1995,Jan,Florida West Coast,SPOT,0.5,"1,145",375
1996,Jan,Florida West Coast,SPOT,0.2,392,187
1998,Jan,Florida West Coast,SPOT,5.2,"11,402","1,076"
1999,Jan,Florida West Coast,SPOT,0.3,589,320
2000,Jan,Florida West Coast,SPOT,0.7,"1,605",862
2001,Jan,Florida West Coast,SPOT,0.1,188,83
2002,Jan,Florida West Coast,SPOT,0.8,"1,821",743
2003,Jan,Florida West Coast,SPOT,0.2,407,348
2004,Jan,Florida West Coast,SPOT,0.2,345,251
2005,Jan,Florida West Coast,SPOT,0,38,24
2006,Jan,Florida West Coast,SPOT,0.1,263,209
2008,Jan,Florida West Coast,SPOT,0.6,"1,398",676
2010,Jan,Florida West Coast,SPOT,0.2,430,511
2012,Jan,Florida West Coast,SPOT,0.1,113,157
2013,Jan,Florida West Coast,SPOT,0.1,286,213
2016,Jan,Florida West Coast,SPOT,0,39,28
1994,Jan,Mississippi,SPOT,0.2,342,80
1995,Jan,Mississippi,SPOT,0.5,"1,102",265
1996,Jan,Mississippi,SPOT,0.1,142,34
1998,Jan,Mississippi,SPOT,0.1,301,92
2001,Jan,Mississippi,SPOT,0.1,238,69
1990,Feb,Alabama,SPOT,2.1,"4,609","1,362"
1991,Feb,Alabama,SPOT,0.9,"2,057",518
1992,Feb,Alabama,SPOT,1.3,"2,891",512
1993,Feb,Alabama,SPOT,0.4,955,210
1996,Feb,Alabama,SPOT,0.5,"1,212",376
1997,Feb,Alabama,SPOT,0.6,"1,401",506
1998,Feb,Alabama,SPOT,1.1,"2,433",854
1999,Feb,Alabama,SPOT,1.8,"3,962","1,214"
2000,Feb,Alabama,SPOT,0.6,"1,307",513
2001,Feb,Alabama,SPOT,1.3,"2,865",989
2002,Feb,Alabama,SPOT,1,"2,213",603
2003,Feb,Alabama,SPOT,0.1,304,97
2004,Feb,Alabama,SPOT,0,43,13
2007,Feb,Alabama,SPOT,0.3,612,219
