Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,SQUIDS,0.1,111,56
1990,Jan,Florida West Coast,SQUIDS,0.8,"1,691",607
1991,Jan,Florida West Coast,SQUIDS,0.1,327,161
1992,Jan,Florida West Coast,SQUIDS,0.3,749,304
1993,Jan,Florida West Coast,SQUIDS,0.3,708,339
1994,Jan,Florida West Coast,SQUIDS,0.6,"1,257",714
1995,Jan,Florida West Coast,SQUIDS,0.3,598,416
1996,Jan,Florida West Coast,SQUIDS,0.1,201,128
1997,Jan,Florida West Coast,SQUIDS,0.2,550,473
1998,Jan,Florida West Coast,SQUIDS,0.5,"1,084",660
1999,Jan,Florida West Coast,SQUIDS,0.3,758,238
2000,Jan,Florida West Coast,SQUIDS,0.6,"1,230","1,210"
2002,Jan,Florida West Coast,SQUIDS,0.4,809,585
2005,Jan,Florida West Coast,SQUIDS,0.8,"1,841",988
2007,Jan,Florida West Coast,SQUIDS,0.5,"1,084",382
2009,Jan,Florida West Coast,SQUIDS,7.8,"17,112",924
2015,Jan,Florida West Coast,SQUIDS,0.2,456,559
1990,Jan,Texas,SQUIDS,0.2,430,116
1992,Jan,Texas,SQUIDS,0,52,46
1993,Jan,Texas,SQUIDS,0.3,658,297
1994,Jan,Texas,SQUIDS,0.1,233,216
1995,Jan,Texas,SQUIDS,0.1,112,107
1996,Jan,Texas,SQUIDS,0.2,339,325
1997,Jan,Texas,SQUIDS,0.1,262,167
1998,Jan,Texas,SQUIDS,0.4,801,609
1999,Jan,Texas,SQUIDS,1.1,"2,449","1,262"
2000,Jan,Texas,SQUIDS,0.3,552,462
2001,Jan,Texas,SQUIDS,0.1,145,119
2002,Jan,Texas,SQUIDS,0.2,348,308
2003,Jan,Texas,SQUIDS,0.3,577,448
2004,Jan,Texas,SQUIDS,0.9,"2,025","2,030"
2005,Jan,Texas,SQUIDS,0.2,476,507
2006,Jan,Texas,SQUIDS,0.2,437,502
2007,Jan,Texas,SQUIDS,0.2,380,521
2008,Jan,Texas,SQUIDS,0.2,391,386
2009,Jan,Texas,SQUIDS,0,102,149
2011,Jan,Texas,SQUIDS,0.3,748,401
2013,Jan,Texas,SQUIDS,0.1,136,290
2014,Jan,Texas,SQUIDS,0.1,113,195
2015,Jan,Texas,SQUIDS,0.1,229,381
2016,Jan,Texas,SQUIDS,0.1,216,445
1990,Feb,Florida West Coast,SQUIDS,0.9,"1,989",701
1991,Feb,Florida West Coast,SQUIDS,0.2,436,170
1992,Feb,Florida West Coast,SQUIDS,0.7,"1,437",509
1993,Feb,Florida West Coast,SQUIDS,0.3,720,382
1994,Feb,Florida West Coast,SQUIDS,0.6,"1,364",872
1995,Feb,Florida West Coast,SQUIDS,0.1,263,103
1996,Feb,Florida West Coast,SQUIDS,0.5,"1,110",372
1997,Feb,Florida West Coast,SQUIDS,0.9,"1,979","1,205"
1998,Feb,Florida West Coast,SQUIDS,1,"2,151","1,155"
1999,Feb,Florida West Coast,SQUIDS,0.4,917,545
2000,Feb,Florida West Coast,SQUIDS,0.6,"1,215","1,066"
2001,Feb,Florida West Coast,SQUIDS,0.1,284,203
2002,Feb,Florida West Coast,SQUIDS,0.3,698,399
2003,Feb,Florida West Coast,SQUIDS,0.7,"1,478",732
2004,Feb,Florida West Coast,SQUIDS,0.4,821,440
2007,Feb,Florida West Coast,SQUIDS,0.4,980,772
2012,Feb,Florida West Coast,SQUIDS,0.1,131,131
2015,Feb,Florida West Coast,SQUIDS,0,77,94
1990,Feb,Texas,SQUIDS,0.5,"1,043",258
1992,Feb,Texas,SQUIDS,0.2,513,178
1993,Feb,Texas,SQUIDS,0.3,665,405
1994,Feb,Texas,SQUIDS,0.5,"1,090",525
1995,Feb,Texas,SQUIDS,0.1,329,153
1996,Feb,Texas,SQUIDS,0.1,327,292
1997,Feb,Texas,SQUIDS,0.2,459,295
1998,Feb,Texas,SQUIDS,0.4,859,660
1999,Feb,Texas,SQUIDS,0.6,"1,398",734
2000,Feb,Texas,SQUIDS,0.5,"1,204",622
2001,Feb,Texas,SQUIDS,0.5,"1,046",873
2002,Feb,Texas,SQUIDS,0.3,656,470
2003,Feb,Texas,SQUIDS,0.1,281,225
2004,Feb,Texas,SQUIDS,0.5,993,"1,010"
2005,Feb,Texas,SQUIDS,0.4,962,"1,184"
2006,Feb,Texas,SQUIDS,0.1,285,494
2007,Feb,Texas,SQUIDS,0.2,482,780
2008,Feb,Texas,SQUIDS,0,102,160
2009,Feb,Texas,SQUIDS,0.1,158,292
2010,Feb,Texas,SQUIDS,0.1,324,407
2011,Feb,Texas,SQUIDS,1.3,"2,799","1,474"
2012,Feb,Texas,SQUIDS,0.5,"1,063",888
2013,Feb,Texas,SQUIDS,1.1,"2,357","2,336"
2014,Feb,Texas,SQUIDS,0,63,107
2015,Feb,Texas,SQUIDS,0.3,723,638
2016,Feb,Texas,SQUIDS,0,34,98
1990,Mar,Alabama,SQUIDS,1.2,"2,694",665
1996,Mar,Alabama,SQUIDS,0.4,776,375
2012,Mar,Alabama,SQUIDS,0.1,302,127
1990,Mar,Florida West Coast,SQUIDS,7.8,"17,246","6,192"
1991,Mar,Florida West Coast,SQUIDS,0.7,"1,642",654
1992,Mar,Florida West Coast,SQUIDS,1.4,"3,127","1,114"
1993,Mar,Florida West Coast,SQUIDS,0.7,"1,529",708
1994,Mar,Florida West Coast,SQUIDS,2.1,"4,698","1,677"
1995,Mar,Florida West Coast,SQUIDS,0.6,"1,266",418
1996,Mar,Florida West Coast,SQUIDS,0.7,"1,478",826
1997,Mar,Florida West Coast,SQUIDS,2.3,"5,067","2,572"
1998,Mar,Florida West Coast,SQUIDS,1.6,"3,431","1,863"
1999,Mar,Florida West Coast,SQUIDS,0.7,"1,593",779
2000,Mar,Florida West Coast,SQUIDS,1.6,"3,460",914
2001,Mar,Florida West Coast,SQUIDS,2,"4,502","1,746"
2002,Mar,Florida West Coast,SQUIDS,1.7,"3,685","1,981"
2003,Mar,Florida West Coast,SQUIDS,1.5,"3,329","1,538"
2004,Mar,Florida West Coast,SQUIDS,0.6,"1,376",643
2005,Mar,Florida West Coast,SQUIDS,0.9,"1,943",705
2006,Mar,Florida West Coast,SQUIDS,0.5,"1,137","1,437"
2007,Mar,Florida West Coast,SQUIDS,0.4,851,427
2008,Mar,Florida West Coast,SQUIDS,0,39,13
2009,Mar,Florida West Coast,SQUIDS,0.1,301,285
2010,Mar,Florida West Coast,SQUIDS,0.2,464,235
2011,Mar,Florida West Coast,SQUIDS,0.9,"2,059",614
2013,Mar,Florida West Coast,SQUIDS,0.1,131,130
2014,Mar,Florida West Coast,SQUIDS,0.1,202,292
2016,Mar,Florida West Coast,SQUIDS,0.5,"1,194",374
2002,Mar,Louisiana,SQUIDS,0.2,387,207
2016,Mar,Louisiana,SQUIDS,0,98,98
1990,Mar,Mississippi,SQUIDS,0.6,"1,251",720
2016,Mar,Texas,"SQUID,ATLANTIC BRIEF",0.1,172,282
1990,Mar,Texas,SQUIDS,1.5,"3,392","1,702"
1991,Mar,Texas,SQUIDS,0.4,785,525
1992,Mar,Texas,SQUIDS,0.3,725,549
1993,Mar,Texas,SQUIDS,0.5,"1,155",857
1994,Mar,Texas,SQUIDS,0.8,"1,708","1,512"
1995,Mar,Texas,SQUIDS,0.6,"1,358","1,437"
1996,Mar,Texas,SQUIDS,1,"2,201","1,471"
1997,Mar,Texas,SQUIDS,1.9,"4,221","2,751"
1998,Mar,Texas,SQUIDS,0.5,"1,189",839
1999,Mar,Texas,SQUIDS,1.2,"2,623","1,776"
2000,Mar,Texas,SQUIDS,2.9,"6,437","4,700"
2001,Mar,Texas,SQUIDS,1.8,"3,946","3,774"
2002,Mar,Texas,SQUIDS,1.5,"3,368","2,706"
2003,Mar,Texas,SQUIDS,0.3,739,795
2004,Mar,Texas,SQUIDS,0.7,"1,638","1,828"
2005,Mar,Texas,SQUIDS,0.6,"1,371","1,610"
2006,Mar,Texas,SQUIDS,0.4,963,"1,206"
2007,Mar,Texas,SQUIDS,0.7,"1,512","1,940"
2008,Mar,Texas,SQUIDS,0.1,305,338
2009,Mar,Texas,SQUIDS,0.3,745,971
2010,Mar,Texas,SQUIDS,0.2,368,463
2011,Mar,Texas,SQUIDS,0.5,"1,039","1,253"
2012,Mar,Texas,SQUIDS,0.5,"1,016","1,313"
2013,Mar,Texas,SQUIDS,0.2,377,436
2014,Mar,Texas,SQUIDS,0.3,566,846
2015,Mar,Texas,SQUIDS,0.6,"1,431","2,121"
2016,Mar,Texas,SQUIDS,0.3,558,"1,135"
1990,Apr,Alabama,SQUIDS,1.5,"3,230",662
1992,Apr,Alabama,SQUIDS,0.3,610,211
1994,Apr,Alabama,SQUIDS,0.3,717,314
1995,Apr,Alabama,SQUIDS,0.2,502,252
1997,Apr,Alabama,SQUIDS,0.4,789,346
2000,Apr,Alabama,SQUIDS,0.8,"1,848",770
2002,Apr,Alabama,SQUIDS,0.3,659,395
2004,Apr,Alabama,SQUIDS,0.1,322,207
2010,Apr,Alabama,SQUIDS,0.5,"1,078",546
2011,Apr,Alabama,SQUIDS,0.1,164,128
1990,Apr,Florida West Coast,SQUIDS,3.7,"8,247","2,725"
1991,Apr,Florida West Coast,SQUIDS,1.2,"2,540",779
1992,Apr,Florida West Coast,SQUIDS,3,"6,650","2,549"
1993,Apr,Florida West Coast,SQUIDS,0.6,"1,395",772
1994,Apr,Florida West Coast,SQUIDS,3.5,"7,735","2,448"
1995,Apr,Florida West Coast,SQUIDS,1.6,"3,591","1,998"
1996,Apr,Florida West Coast,SQUIDS,0.9,"2,082","1,528"
1997,Apr,Florida West Coast,SQUIDS,1.6,"3,446","1,230"
1998,Apr,Florida West Coast,SQUIDS,2.9,"6,376","3,742"
1999,Apr,Florida West Coast,SQUIDS,1.1,"2,483","1,108"
2000,Apr,Florida West Coast,SQUIDS,1.5,"3,238","1,205"
2001,Apr,Florida West Coast,SQUIDS,4.3,"9,583","2,910"
2002,Apr,Florida West Coast,SQUIDS,5.2,"11,564","8,162"
2003,Apr,Florida West Coast,SQUIDS,1.5,"3,233","1,018"
2004,Apr,Florida West Coast,SQUIDS,0.5,"1,066",431
