Year,Month,State,Species,Metric Tons,Pounds,$
1997,Jan,Florida West Coast,SQUIRRELFISHES,0,60,38
2001,Jan,Florida West Coast,SQUIRRELFISHES,0,33,23
2002,Jan,Florida West Coast,SQUIRRELFISHES,0,1,1
2014,Jan,Florida West Coast,SQUIRRELFISHES,0.1,112,"1,058"
2015,Jan,Florida West Coast,SQUIRRELFISHES,0.1,131,678
2016,Jan,Florida West Coast,SQUIRRELFISHES,0,59,377
2000,Jan,Louisiana,SQUIRRELFISHES,0,34,20
2002,Jan,Louisiana,SQUIRRELFISHES,0,6,4
2000,Feb,Florida West Coast,SQUIRRELFISHES,0.1,132,99
2002,Feb,Florida West Coast,SQUIRRELFISHES,0,52,42
2009,Feb,Florida West Coast,SQUIRRELFISHES,0,13,12
2014,Feb,Florida West Coast,SQUIRRELFISHES,0.1,128,"2,341"
2015,Feb,Florida West Coast,SQUIRRELFISHES,0.1,127,513
2016,Feb,Florida West Coast,SQUIRRELFISHES,0,74,"1,709"
2002,Feb,Louisiana,SQUIRRELFISHES,0,6,3
1997,Mar,Florida West Coast,SQUIRRELFISHES,0.1,179,79
1998,Mar,Florida West Coast,SQUIRRELFISHES,0,52,31
2002,Mar,Florida West Coast,SQUIRRELFISHES,0,9,5
2014,Mar,Florida West Coast,SQUIRRELFISHES,0.2,408,709
2015,Mar,Florida West Coast,SQUIRRELFISHES,0.1,115,"1,372"
2016,Mar,Florida West Coast,SQUIRRELFISHES,0,106,895
2002,Mar,Louisiana,SQUIRRELFISHES,0,4,2
1998,Apr,Florida West Coast,SQUIRRELFISHES,0,68,47
1999,Apr,Florida West Coast,SQUIRRELFISHES,0.1,123,101
2000,Apr,Florida West Coast,SQUIRRELFISHES,0,70,86
2001,Apr,Florida West Coast,SQUIRRELFISHES,0,64,56
2002,Apr,Florida West Coast,SQUIRRELFISHES,0,13,10
2014,Apr,Florida West Coast,SQUIRRELFISHES,0,46,189
2015,Apr,Florida West Coast,SQUIRRELFISHES,0.1,303,595
2016,Apr,Florida West Coast,SQUIRRELFISHES,0.1,166,"1,935"
2002,Apr,Louisiana,SQUIRRELFISHES,0,15,4
1996,May,Florida West Coast,SQUIRRELFISHES,0,87,54
1997,May,Florida West Coast,SQUIRRELFISHES,0.1,191,88
1998,May,Florida West Coast,SQUIRRELFISHES,0,30,27
1999,May,Florida West Coast,SQUIRRELFISHES,0.1,138,149
2000,May,Florida West Coast,SQUIRRELFISHES,0,17,15
2001,May,Florida West Coast,SQUIRRELFISHES,0,38,28
2002,May,Florida West Coast,SQUIRRELFISHES,0,7,6
2003,May,Florida West Coast,SQUIRRELFISHES,0,69,40
2014,May,Florida West Coast,SQUIRRELFISHES,0.1,147,346
2015,May,Florida West Coast,SQUIRRELFISHES,0.1,194,827
2016,May,Florida West Coast,SQUIRRELFISHES,0.1,161,195
2002,May,Louisiana,SQUIRRELFISHES,0,19,9
1998,Jun,Florida West Coast,SQUIRRELFISHES,0.1,145,128
2000,Jun,Florida West Coast,SQUIRRELFISHES,0,24,17
2004,Jun,Florida West Coast,SQUIRRELFISHES,0,23,19
2006,Jun,Florida West Coast,SQUIRRELFISHES,0,5,5
2012,Jun,Florida West Coast,SQUIRRELFISHES,0,11,9
2014,Jun,Florida West Coast,SQUIRRELFISHES,0.1,136,"1,237"
2015,Jun,Florida West Coast,SQUIRRELFISHES,0.1,174,"2,135"
2016,Jun,Florida West Coast,SQUIRRELFISHES,0,33,62
2002,Jun,Louisiana,SQUIRRELFISHES,0,10,5
1997,Jul,Florida West Coast,SQUIRRELFISHES,0.1,118,67
1998,Jul,Florida West Coast,SQUIRRELFISHES,0,70,61
1999,Jul,Florida West Coast,SQUIRRELFISHES,0.1,181,81
2000,Jul,Florida West Coast,SQUIRRELFISHES,0,19,13
2001,Jul,Florida West Coast,SQUIRRELFISHES,0.4,897,320
2004,Jul,Florida West Coast,SQUIRRELFISHES,0,26,21
2013,Jul,Florida West Coast,SQUIRRELFISHES,0,15,31
2014,Jul,Florida West Coast,SQUIRRELFISHES,0.1,119,377
2015,Jul,Florida West Coast,SQUIRRELFISHES,0,36,78
2016,Jul,Florida West Coast,SQUIRRELFISHES,0,47,73
1996,Aug,Florida West Coast,SQUIRRELFISHES,0.1,209,115
1999,Aug,Florida West Coast,SQUIRRELFISHES,0.1,251,183
2001,Aug,Florida West Coast,SQUIRRELFISHES,0.1,136,186
2002,Aug,Florida West Coast,SQUIRRELFISHES,0,54,33
2003,Aug,Florida West Coast,SQUIRRELFISHES,0,38,21
2014,Aug,Florida West Coast,SQUIRRELFISHES,0,68,231
2015,Aug,Florida West Coast,SQUIRRELFISHES,0.1,166,398
2016,Aug,Florida West Coast,SQUIRRELFISHES,0.1,276,393
2002,Aug,Louisiana,SQUIRRELFISHES,0,28,16
1999,Sep,Florida West Coast,SQUIRRELFISHES,0,40,32
2002,Sep,Florida West Coast,SQUIRRELFISHES,0,45,24
2003,Sep,Florida West Coast,SQUIRRELFISHES,0,23,18
2013,Sep,Florida West Coast,SQUIRRELFISHES,0,96,102
2014,Sep,Florida West Coast,SQUIRRELFISHES,0,52,248
2015,Sep,Florida West Coast,SQUIRRELFISHES,0,84,78
2016,Sep,Florida West Coast,SQUIRRELFISHES,0.1,183,388
2002,Sep,Louisiana,SQUIRRELFISHES,0,39,18
1996,Oct,Florida West Coast,SQUIRRELFISHES,0,25,20
2002,Oct,Florida West Coast,SQUIRRELFISHES,0,64,44
2014,Oct,Florida West Coast,SQUIRRELFISHES,0,93,201
2015,Oct,Florida West Coast,SQUIRRELFISHES,0,73,42
2016,Oct,Florida West Coast,SQUIRRELFISHES,0,89,764
2002,Oct,Louisiana,SQUIRRELFISHES,0,2,1
1996,Nov,Florida West Coast,SQUIRRELFISHES,0,53,38
2002,Nov,Florida West Coast,SQUIRRELFISHES,0,49,32
2014,Nov,Florida West Coast,SQUIRRELFISHES,0.1,122,578
2015,Nov,Florida West Coast,SQUIRRELFISHES,0,59,570
2016,Nov,Florida West Coast,SQUIRRELFISHES,0,78,100
2002,Nov,Louisiana,SQUIRRELFISHES,0,6,3
2001,Dec,Florida West Coast,SQUIRRELFISHES,0.1,133,78
2002,Dec,Florida West Coast,SQUIRRELFISHES,0,2,2
2013,Dec,Florida West Coast,SQUIRRELFISHES,0.2,342,372
2014,Dec,Florida West Coast,SQUIRRELFISHES,0.1,311,"2,846"
2015,Dec,Florida West Coast,SQUIRRELFISHES,0.1,135,202
2016,Dec,Florida West Coast,SQUIRRELFISHES,0,67,184
2002,Dec,Louisiana,SQUIRRELFISHES,0,2,2
2017,NSP,Florida West Coast,SQUIRRELFISHES,0.2,459,433
