Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,"TILEFISH, GOLDEN",1,"2,132","3,130"
2009,Jan,Alabama,"TILEFISH, GOLDEN",2.5,"5,599","11,852"
1992,Jan,Florida West Coast,"TILEFISH, BLUELINE",3.6,"7,968","7,368"
1993,Jan,Florida West Coast,"TILEFISH, BLUELINE",4.5,"9,893","10,115"
1994,Jan,Florida West Coast,"TILEFISH, BLUELINE",0.9,"1,940","2,171"
1995,Jan,Florida West Coast,"TILEFISH, BLUELINE",5.8,"12,865","18,406"
1996,Jan,Florida West Coast,"TILEFISH, BLUELINE",1.1,"2,480","2,620"
1997,Jan,Florida West Coast,"TILEFISH, BLUELINE",1.8,"4,031","4,447"
1998,Jan,Florida West Coast,"TILEFISH, BLUELINE",0.9,"1,975","2,497"
1999,Jan,Florida West Coast,"TILEFISH, BLUELINE",2,"4,308","3,884"
2000,Jan,Florida West Coast,"TILEFISH, BLUELINE",2.5,"5,549","5,778"
2001,Jan,Florida West Coast,"TILEFISH, BLUELINE",2.7,"5,972","7,340"
2002,Jan,Florida West Coast,"TILEFISH, BLUELINE",2,"4,328","4,182"
2003,Jan,Florida West Coast,"TILEFISH, BLUELINE",0.7,"1,456","1,524"
2004,Jan,Florida West Coast,"TILEFISH, BLUELINE",4.5,"10,020","8,504"
2005,Jan,Florida West Coast,"TILEFISH, BLUELINE",5.5,"12,198","11,341"
2006,Jan,Florida West Coast,"TILEFISH, BLUELINE",4.3,"9,446","8,369"
2007,Jan,Florida West Coast,"TILEFISH, BLUELINE",14.9,"32,845","28,876"
2008,Jan,Florida West Coast,"TILEFISH, BLUELINE",14.3,"31,602","27,348"
2009,Jan,Florida West Coast,"TILEFISH, BLUELINE",15.2,"33,409","27,477"
2010,Jan,Florida West Coast,"TILEFISH, BLUELINE",0.6,"1,359","1,157"
2011,Jan,Florida West Coast,"TILEFISH, BLUELINE",1.8,"3,879","3,805"
2012,Jan,Florida West Coast,"TILEFISH, BLUELINE",2,"4,402","4,156"
2013,Jan,Florida West Coast,"TILEFISH, BLUELINE",1.3,"2,960","6,211"
2014,Jan,Florida West Coast,"TILEFISH, BLUELINE",2.9,"6,400","14,282"
2015,Jan,Florida West Coast,"TILEFISH, BLUELINE",4.4,"9,726","16,661"
2016,Jan,Florida West Coast,"TILEFISH, BLUELINE",0.8,"1,817","3,606"
1990,Jan,Florida West Coast,"TILEFISH, GOLDEN",4.5,"9,827","12,084"
1991,Jan,Florida West Coast,"TILEFISH, GOLDEN",3.5,"7,759","8,691"
1992,Jan,Florida West Coast,"TILEFISH, GOLDEN",1.3,"2,809","2,932"
1993,Jan,Florida West Coast,"TILEFISH, GOLDEN",1.9,"4,091","5,405"
1994,Jan,Florida West Coast,"TILEFISH, GOLDEN",3.3,"7,178","11,981"
1995,Jan,Florida West Coast,"TILEFISH, GOLDEN",7.4,"16,211","22,880"
1996,Jan,Florida West Coast,"TILEFISH, GOLDEN",1.2,"2,709","4,432"
1997,Jan,Florida West Coast,"TILEFISH, GOLDEN",0.6,"1,432","1,783"
1998,Jan,Florida West Coast,"TILEFISH, GOLDEN",7.4,"16,312","21,372"
1999,Jan,Florida West Coast,"TILEFISH, GOLDEN",4.4,"9,653","12,735"
2000,Jan,Florida West Coast,"TILEFISH, GOLDEN",11.9,"26,182","47,526"
2001,Jan,Florida West Coast,"TILEFISH, GOLDEN",6.9,"15,305","32,712"
2002,Jan,Florida West Coast,"TILEFISH, GOLDEN",1.3,"2,762","4,806"
2003,Jan,Florida West Coast,"TILEFISH, GOLDEN",5.6,"12,423","18,915"
2004,Jan,Florida West Coast,"TILEFISH, GOLDEN",3,"6,599","9,464"
2005,Jan,Florida West Coast,"TILEFISH, GOLDEN",4.5,"9,997","14,168"
2006,Jan,Florida West Coast,"TILEFISH, GOLDEN",6.3,"13,789","22,999"
2007,Jan,Florida West Coast,"TILEFISH, GOLDEN",23.9,"52,636","94,855"
2008,Jan,Florida West Coast,"TILEFISH, GOLDEN",20.1,"44,333","75,281"
2009,Jan,Florida West Coast,"TILEFISH, GOLDEN",27.4,"60,389","89,665"
2010,Jan,Florida West Coast,"TILEFISH, GOLDEN",4,"8,820","19,946"
2011,Jan,Florida West Coast,"TILEFISH, GOLDEN",4.7,"10,257","22,128"
2012,Jan,Florida West Coast,"TILEFISH, GOLDEN",5,"10,988","23,876"
2013,Jan,Florida West Coast,"TILEFISH, GOLDEN",0.8,"1,813","5,409"
2014,Jan,Florida West Coast,"TILEFISH, GOLDEN",4.1,"8,949","23,764"
2015,Jan,Florida West Coast,"TILEFISH, GOLDEN",9.9,"21,858","62,152"
2016,Jan,Florida West Coast,"TILEFISH, GOLDEN",6.6,"14,502","45,187"
2002,Jan,Florida West Coast,"TILEFISH, GOLDFACE",0,9,16
2009,Jan,Florida West Coast,"TILEFISH, SAND",0,22,16
1990,Jan,Louisiana,"TILEFISH, GOLDEN",3.6,"7,836","14,991"
1993,Jan,Louisiana,"TILEFISH, GOLDEN",3.3,"7,241","7,123"
1994,Jan,Louisiana,"TILEFISH, GOLDEN",0.8,"1,692","3,033"
1995,Jan,Louisiana,"TILEFISH, GOLDEN",6.6,"14,527","19,678"
1996,Jan,Louisiana,"TILEFISH, GOLDEN",2,"4,332","6,256"
1997,Jan,Louisiana,"TILEFISH, GOLDEN",0,73,76
1998,Jan,Louisiana,"TILEFISH, GOLDEN",0.3,670,880
1999,Jan,Louisiana,"TILEFISH, GOLDEN",0,87,101
2000,Jan,Louisiana,"TILEFISH, GOLDEN",2.1,"4,556","11,090"
2001,Jan,Louisiana,"TILEFISH, GOLDEN",2.7,"6,012","9,559"
2002,Jan,Louisiana,"TILEFISH, GOLDEN",1.2,"2,686","6,065"
2004,Jan,Louisiana,"TILEFISH, GOLDEN",0.3,727,293
2005,Jan,Louisiana,"TILEFISH, GOLDEN",0.2,374,319
2008,Jan,Louisiana,"TILEFISH, GOLDEN",0.1,114,111
2013,Jan,Louisiana,"TILEFISH, GOLDEN",5.5,"12,217","20,923"
