Year,Month,State,Species,Metric Tons,Pounds,$
2002,Jan,Alabama,"TRIGGERFISH, GRAY",0.2,550,713
2004,Jan,Alabama,"TRIGGERFISH, GRAY",0.8,"1,870","2,504"
2009,Jan,Alabama,"TRIGGERFISH, GRAY",0.1,151,232
2010,Jan,Alabama,"TRIGGERFISH, GRAY",0.2,411,759
2016,Jan,Alabama,"TRIGGERFISH, GRAY",0.1,239,523
1990,Jan,Alabama,TRIGGERFISHES,0.1,323,173
1992,Jan,Alabama,TRIGGERFISHES,0.2,417,341
1993,Jan,Alabama,TRIGGERFISHES,0.5,"1,016",803
2015,Jan,Florida West Coast,"TRIGGERFISH, GRAY",1.5,"3,324","6,481"
2016,Jan,Florida West Coast,"TRIGGERFISH, GRAY",2.2,"4,759","8,739"
2015,Jan,Florida West Coast,"TRIGGERFISH, OCEAN",0,98,175
2016,Jan,Florida West Coast,"TRIGGERFISH, OCEAN",0,93,152
1990,Jan,Florida West Coast,TRIGGERFISHES,5.9,"13,063","9,848"
1991,Jan,Florida West Coast,TRIGGERFISHES,8.5,"18,820","16,097"
1992,Jan,Florida West Coast,TRIGGERFISHES,12.6,"27,789","25,242"
1993,Jan,Florida West Coast,TRIGGERFISHES,21.8,"47,987","43,751"
1994,Jan,Florida West Coast,TRIGGERFISHES,4.2,"9,315","9,225"
1995,Jan,Florida West Coast,TRIGGERFISHES,8,"17,674","18,192"
1996,Jan,Florida West Coast,TRIGGERFISHES,3.4,"7,456","8,075"
1997,Jan,Florida West Coast,TRIGGERFISHES,3.5,"7,809","8,283"
1998,Jan,Florida West Coast,TRIGGERFISHES,2.7,"5,860","7,433"
1999,Jan,Florida West Coast,TRIGGERFISHES,5.2,"11,378","12,279"
2000,Jan,Florida West Coast,TRIGGERFISHES,1.1,"2,499","2,383"
2001,Jan,Florida West Coast,TRIGGERFISHES,1.1,"2,398","2,850"
2002,Jan,Florida West Coast,TRIGGERFISHES,2.8,"6,166","6,649"
2003,Jan,Florida West Coast,TRIGGERFISHES,3.5,"7,768","9,829"
2004,Jan,Florida West Coast,TRIGGERFISHES,3.8,"8,395","9,915"
2005,Jan,Florida West Coast,TRIGGERFISHES,3.5,"7,740","9,857"
2006,Jan,Florida West Coast,TRIGGERFISHES,1.6,"3,624","4,423"
2007,Jan,Florida West Coast,TRIGGERFISHES,1.1,"2,335","3,013"
2008,Jan,Florida West Coast,TRIGGERFISHES,1.1,"2,437","3,460"
2009,Jan,Florida West Coast,TRIGGERFISHES,1.7,"3,819","5,618"
2010,Jan,Florida West Coast,TRIGGERFISHES,1.7,"3,665","5,489"
2011,Jan,Florida West Coast,TRIGGERFISHES,0.8,"1,805","2,860"
2012,Jan,Florida West Coast,TRIGGERFISHES,5.1,"11,167","17,832"
2013,Jan,Florida West Coast,TRIGGERFISHES,4.1,"9,062","14,869"
2014,Jan,Florida West Coast,TRIGGERFISHES,1.1,"2,362","4,672"
2015,Jan,Florida West Coast,TRIGGERFISHES,0.1,134,176
2016,Jan,Florida West Coast,TRIGGERFISHES,0.1,126,923
1999,Jan,Louisiana,"TRIGGERFISH, GRAY",1,"2,131","2,146"
2000,Jan,Louisiana,"TRIGGERFISH, GRAY",1.9,"4,221","4,728"
2001,Jan,Louisiana,"TRIGGERFISH, GRAY",0.6,"1,251","1,341"
2002,Jan,Louisiana,"TRIGGERFISH, GRAY",1.5,"3,214","3,929"
2003,Jan,Louisiana,"TRIGGERFISH, GRAY",1.5,"3,219","3,190"
2004,Jan,Louisiana,"TRIGGERFISH, GRAY",1,"2,169","1,893"
2005,Jan,Louisiana,"TRIGGERFISH, GRAY",1.9,"4,163","4,036"
2006,Jan,Louisiana,"TRIGGERFISH, GRAY",0.5,"1,141","1,245"
2007,Jan,Louisiana,"TRIGGERFISH, GRAY",0.4,909,868
2008,Jan,Louisiana,"TRIGGERFISH, GRAY",0.2,364,373
2009,Jan,Louisiana,"TRIGGERFISH, GRAY",0.2,411,443
2012,Jan,Louisiana,"TRIGGERFISH, GRAY",0.5,"1,150","1,242"
2013,Jan,Louisiana,"TRIGGERFISH, GRAY",0,76,119
2015,Jan,Louisiana,"TRIGGERFISH, GRAY",0.1,115,143
2016,Jan,Louisiana,"TRIGGERFISH, GRAY",0,106,96
1990,Jan,Louisiana,TRIGGERFISHES,2.3,"5,065","1,722"
1991,Jan,Louisiana,TRIGGERFISHES,1.3,"2,761","1,550"
1992,Jan,Louisiana,TRIGGERFISHES,2.7,"6,020","4,606"
1993,Jan,Louisiana,TRIGGERFISHES,2.5,"5,408","4,530"
1994,Jan,Louisiana,TRIGGERFISHES,0.3,674,493
1995,Jan,Louisiana,TRIGGERFISHES,0.6,"1,293","1,097"
1996,Jan,Louisiana,TRIGGERFISHES,0.1,248,221
1997,Jan,Louisiana,TRIGGERFISHES,0.1,299,283
1998,Jan,Louisiana,TRIGGERFISHES,0.3,657,613
2002,Jan,Mississippi,"TRIGGERFISH, GRAY",0,22,20
1991,Jan,Mississippi,TRIGGERFISHES,0.4,851,425
