Year,Month,State,Species,Metric Tons,Pounds
2002,Jan,Florida West Coast,WENCHMAN,0.90,1943.00
2002,Jan,Mississippi,WENCHMAN,0.40,834.00
2002,Feb,Florida West Coast,WENCHMAN,1.20,2719.00
1999,Feb,Louisiana,WENCHMAN,0.00,63.00
2002,Feb,Louisiana,WENCHMAN,0.00,11.00
2002,Feb,Mississippi,WENCHMAN,0.40,840.00
2002,Mar,Florida West Coast,WENCHMAN,4.70,10300.00
1999,Mar,Louisiana,WENCHMAN,0.10,182.00
2000,Mar,Louisiana,WENCHMAN,0.00,84.00
2001,Mar,Louisiana,WENCHMAN,0.00,40.00
2002,Mar,Mississippi,WENCHMAN,0.30,635.00
2002,Apr,Florida West Coast,WENCHMAN,2.00,4406.00
1999,Apr,Louisiana,WENCHMAN,0.00,20.00
2000,Apr,Louisiana,WENCHMAN,0.00,87.00
2002,Apr,Louisiana,WENCHMAN,0.00,26.00
2002,Apr,Mississippi,WENCHMAN,0.20,390.00
2002,May,Florida West Coast,WENCHMAN,2.70,5995.00
2004,May,Florida West Coast,WENCHMAN,0.30,676.00
2002,May,Louisiana,WENCHMAN,0.00,89.00
2002,May,Mississippi,WENCHMAN,0.00,41.00
2002,Jun,Florida West Coast,WENCHMAN,2.20,4753.00
2003,Jun,Florida West Coast,WENCHMAN,2.20,4930.00
2016,Jun,Florida West Coast,WENCHMAN,2.40,5330.00
2002,Jun,Mississippi,WENCHMAN,1.70,3788.00
2002,Jul,Florida West Coast,WENCHMAN,3.10,6793.00
2002,Jul,Louisiana,WENCHMAN,0.00,51.00
2002,Jul,Mississippi,WENCHMAN,3.50,7624.00
2002,Aug,Florida West Coast,WENCHMAN,1.50,3358.00
1999,Aug,Louisiana,WENCHMAN,0.00,86.00
2002,Aug,Louisiana,WENCHMAN,0.00,7.00
2002,Aug,Mississippi,WENCHMAN,2.60,5656.00
2002,Sep,Florida West Coast,WENCHMAN,0.40,947.00
2003,Sep,Florida West Coast,WENCHMAN,0.80,1798.00
1999,Sep,Louisiana,WENCHMAN,0.20,490.00
2002,Sep,Louisiana,WENCHMAN,0.00,85.00
2002,Sep,Mississippi,WENCHMAN,0.80,1699.00
2002,Oct,Florida West Coast,WENCHMAN,0.50,1027.00
2011,Oct,Florida West Coast,WENCHMAN,3.00,6542.00
2002,Oct,Louisiana,WENCHMAN,0.00,62.00
2004,Oct,Louisiana,WENCHMAN,0.00,63.00
2002,Oct,Mississippi,WENCHMAN,0.40,849.00
2001,Nov,Louisiana,WENCHMAN,0.00,23.00
2002,Nov,Louisiana,WENCHMAN,0.00,3.00
2002,Nov,Mississippi,WENCHMAN,0.20,513.00
2002,Dec,Mississippi,WENCHMAN,0.40,773.00
2017,NSP,Florida West Coast,WENCHMAN,5.10,11270.00
