ID,FisheriesGrp,RegionName,DepthName,AvgOfBiomassDensity,Relative_Contribution,RegionDepthArea_km2
1,large pelagics,1_Tex,1_inshore,2.83007088,0.127466238,"19,975"
2,large jellyfish,1_Tex,1_inshore,39.12191032,0.292665048,"19,975"
3,offshore sharks,1_Tex,1_inshore,0.0003058,0.000501828,"19,975"
4,large demersal,1_Tex,1_inshore,0.04355404,0.055541344,"19,975"
5,large coastal sharks,1_Tex,1_inshore,0.35812856,0.17121754,"19,975"
6,small coastal sharks,1_Tex,1_inshore,1.05353656,0.100576537,"19,975"
7,reef invert feeder,1_Tex,1_inshore,0.22573336,0.009071103,"19,975"
8,blue crab,1_Tex,1_inshore,0.25851136,0.131638875,"19,975"
9,snapper_grouper,1_Tex,1_inshore,0.05640532,0.006103204,"19,975"
10,red drum,1_Tex,1_inshore,0.03314676,0.207799845,"19,975"
11,small demersal,1_Tex,1_inshore,29.25236348,0.116768759,"19,975"
12,reef piscivore,1_Tex,1_inshore,0.10390648,0.050190553,"19,975"
13,eels,1_Tex,1_inshore,0.00227476,0.002472639,"19,975"
14,large flatfish,1_Tex,1_inshore,0.01506864,0.041019063,"19,975"
15,small pelagics,1_Tex,1_inshore,3.78386856,0.019155032,"19,975"
16,small flatfish,1_Tex,1_inshore,0.0868794,0.006453129,"19,975"
17,skates and rays,1_Tex,1_inshore,0.08126024,0.026320204,"19,975"
18,mullet,1_Tex,1_inshore,0.00415534,0.965123679,"19,975"
19,menhaden,1_Tex,1_inshore,0.82004752,0.472471025,"19,975"
20,anchovies,1_Tex,1_inshore,1.15236352,0.093295149,"19,975"
21,herrings,1_Tex,1_inshore,3.91927428,0.210952249,"19,975"
22,Atlantic bumper,1_Tex,1_inshore,3.84669952,0.296541102,"19,975"
23,butterfishes,1_Tex,1_inshore,6.11226336,0.070575478,"19,975"
24,penaeid shrimp,1_Tex,1_inshore,0.20165224,0.107549328,"19,975"
25,small squids,1_Tex,1_inshore,3.50042136,0.05031723,"19,975"
26,mesopelagic,1_Tex,1_inshore,0,0,"19,975"
27,large pelagics,1_Tex,2_shelf,5.5499454,0.249969237,"46,191"
28,large jellyfish,1_Tex,2_shelf,5.63219336,0.04213358,"46,191"
29,offshore sharks,1_Tex,2_shelf,0.11732344,0.192531546,"46,191"
30,large demersal,1_Tex,2_shelf,0.12603224,0.160719878,"46,191"
31,large coastal sharks,1_Tex,2_shelf,0.14957296,0.071509277,"46,191"
32,small coastal sharks,1_Tex,2_shelf,3.1153838,0.297412094,"46,191"
33,reef invert feeder,1_Tex,2_shelf,4.14711092,0.16665179,"46,191"
34,blue crab,1_Tex,2_shelf,0.4196306,0.213683841,"46,191"
35,snapper_grouper,1_Tex,2_shelf,3.22853252,0.349335727,"46,191"
36,red drum,1_Tex,2_shelf,0.02648872,0.166060028,"46,191"
37,small demersal,1_Tex,2_shelf,29.25115528,0.116763936,"46,191"
38,reef piscivore,1_Tex,2_shelf,0.64062128,0.309443036,"46,191"
39,eels,1_Tex,2_shelf,0.17301784,0.188068477,"46,191"
40,large flatfish,1_Tex,2_shelf,0.04932196,0.134261658,"46,191"
41,small pelagics,1_Tex,2_shelf,131.8762066,0.667595317,"46,191"
42,small flatfish,1_Tex,2_shelf,1.09480768,0.081318873,"46,191"
43,skates and rays,1_Tex,2_shelf,0.12248232,0.039672041,"46,191"
44,mullet,1_Tex,2_shelf,0.00002992,0.006949251,"46,191"
45,menhaden,1_Tex,2_shelf,0.08353492,0.04812871,"46,191"
46,anchovies,1_Tex,2_shelf,1.7142788,0.138787712,"46,191"
47,herrings,1_Tex,2_shelf,3.92220468,0.211109976,"46,191"
48,Atlantic bumper,1_Tex,2_shelf,4.02074076,0.309957898,"46,191"
49,butterfishes,1_Tex,2_shelf,27.97790476,0.323047928,"46,191"
50,penaeid shrimp,1_Tex,2_shelf,0.85072896,0.4537283,"46,191"
51,small squids,1_Tex,2_shelf,15.10586236,0.217141044,"46,191"
52,mesopelagic,1_Tex,2_shelf,0.000692,1,"46,191"
53,large pelagics,1_Tex,3_oceanic,,,"59,829"
54,large jellyfish,1_Tex,3_oceanic,,0,"59,829"
55,offshore sharks,1_Tex,3_oceanic,,0,"59,829"
56,large demersal,1_Tex,3_oceanic,,0,"59,829"
57,large coastal sharks,1_Tex,3_oceanic,,0,"59,829"
58,small coastal sharks,1_Tex,3_oceanic,,,"59,829"
59,reef invert feeder,1_Tex,3_oceanic,,,"59,829"
60,blue crab,1_Tex,3_oceanic,,,"59,829"
61,snapper_grouper,1_Tex,3_oceanic,,,"59,829"
62,red drum,1_Tex,3_oceanic,,,"59,829"
63,small demersal,1_Tex,3_oceanic,,,"59,829"
64,reef piscivore,1_Tex,3_oceanic,,,"59,829"
65,eels,1_Tex,3_oceanic,,,"59,829"
66,large flatfish,1_Tex,3_oceanic,,,"59,829"
67,small pelagics,1_Tex,3_oceanic,,,"59,829"
68,small flatfish,1_Tex,3_oceanic,,,"59,829"
69,skates and rays,1_Tex,3_oceanic,,,"59,829"
70,mullet,1_Tex,3_oceanic,,,"59,829"
71,menhaden,1_Tex,3_oceanic,,,"59,829"
72,anchovies,1_Tex,3_oceanic,,,"59,829"
73,herrings,1_Tex,3_oceanic,,,"59,829"
74,Atlantic bumper,1_Tex,3_oceanic,,,"59,829"
75,butterfishes,1_Tex,3_oceanic,,,"59,829"
76,penaeid shrimp,1_Tex,3_oceanic,,,"59,829"
77,small squids,1_Tex,3_oceanic,,,"59,829"
78,mesopelagic,1_Tex,3_oceanic,,,"59,829"
79,large pelagics,2_Lou,1_inshore,4.14785892,0.186819339,"42,310"
80,large jellyfish,2_Lou,1_inshore,29.20848672,0.218504237,"42,310"
81,offshore sharks,2_Lou,1_inshore,0.00072448,0.001188895,"42,310"
82,large demersal,2_Lou,1_inshore,0.0545138,0.06951754,"42,310"
83,large coastal sharks,2_Lou,1_inshore,0.14571944,0.069666949,"42,310"
84,small coastal sharks,2_Lou,1_inshore,1.35426652,0.129285914,"42,310"
85,reef invert feeder,2_Lou,1_inshore,0.36883224,0.014821536,"42,310"
86,blue crab,2_Lou,1_inshore,0.37253152,0.189700098,"42,310"
87,snapper_grouper,2_Lou,1_inshore,0.05134496,0.00555566,"42,310"
88,red drum,2_Lou,1_inshore,0.0474048,0.297184705,"42,310"
89,small demersal,2_Lou,1_inshore,31.05583744,0.123967816,"42,310"
90,reef piscivore,2_Lou,1_inshore,0.21876168,0.105669731,"42,310"
91,eels,2_Lou,1_inshore,0.0046244,0.005026672,"42,310"
92,large flatfish,2_Lou,1_inshore,0.0239454,0.065182915,"42,310"
93,small pelagics,2_Lou,1_inshore,2.92057728,0.014784803,"42,310"
94,small flatfish,2_Lou,1_inshore,0.1208066,0.008973134,"42,310"
95,skates and rays,2_Lou,1_inshore,0.14474536,0.046883043,"42,310"
96,mullet,2_Lou,1_inshore,0.00011974,0.027810939,"42,310"
97,menhaden,2_Lou,1_inshore,0.77528812,0.446682861,"42,310"
98,anchovies,2_Lou,1_inshore,3.67080496,0.297187729,"42,310"
99,herrings,2_Lou,1_inshore,4.33773716,0.233475726,"42,310"
100,Atlantic bumper,2_Lou,1_inshore,2.99116568,0.230588213,"42,310"
101,butterfishes,2_Lou,1_inshore,7.19459636,0.083072677,"42,310"
102,penaeid shrimp,2_Lou,1_inshore,0.07643908,0.040768065,"42,310"
103,small squids,2_Lou,1_inshore,4.72087392,0.067860773,"42,310"
104,mesopelagic,2_Lou,1_inshore,0,0,"42,310"
105,large pelagics,2_Lou,2_shelf,5.61067132,0.252704329,"52,918"
106,large jellyfish,2_Lou,2_shelf,2.81029808,0.021023412,"52,918"
107,offshore sharks,2_Lou,2_shelf,0.30669512,0.503296576,"52,918"
108,large demersal,2_Lou,2_shelf,0.51799824,0.660566009,"52,918"
109,large coastal sharks,2_Lou,2_shelf,1.3426006,0.641883384,"52,918"
110,small coastal sharks,2_Lou,2_shelf,2.2424826,0.214080026,"52,918"
111,reef invert feeder,2_Lou,2_shelf,6.2548228,0.251350262,"52,918"
112,blue crab,2_Lou,2_shelf,0.73841844,0.37601664,"52,918"
113,snapper_grouper,2_Lou,2_shelf,1.741317,0.188415088,"52,918"
114,red drum,2_Lou,2_shelf,0.05247264,0.328955423,"52,918"
115,small demersal,2_Lou,2_shelf,98.46689572,0.393057376,"52,918"
116,reef piscivore,2_Lou,2_shelf,0.70804276,0.342010027,"52,918"
117,eels,2_Lou,2_shelf,0.41418,0.450209075,"52,918"
118,large flatfish,2_Lou,2_shelf,0.129118,0.351478262,"52,918"
119,small pelagics,2_Lou,2_shelf,41.24013784,0.208769448,"52,918"
120,small flatfish,2_Lou,2_shelf,1.61030812,0.119608625,"52,918"
121,skates and rays,2_Lou,2_shelf,0.3867372,0.125264235,"52,918"
122,mullet,2_Lou,2_shelf,0.0000005,0.000116131,"52,918"
